kernel,coreF,memF,real,predict
BlackScholes,1700,3500,1.323261,1.324619
BlackScholes,1700,4000,1.138532,1.122292
BlackScholes,1700,4500,0.996442,1.014923
BlackScholes,1700,5000,0.892558,0.956383
BlackScholes,1600,3500,1.322762,1.332809
BlackScholes,1600,4000,1.134349,1.136060
BlackScholes,1600,4500,0.997628,1.040143
BlackScholes,1600,5000,0.893682,0.983227
BlackScholes,1800,3500,1.323074,1.322666
BlackScholes,1800,4000,1.135036,1.118677
BlackScholes,1800,4500,1.000000,0.993413
BlackScholes,1800,5000,0.890873,0.935757
BlackScholes,1900,3500,1.323886,1.322001
BlackScholes,1900,4000,1.139406,1.112823
BlackScholes,1900,4500,1.002622,0.979767
BlackScholes,1900,5000,0.890124,0.922985
BlackScholes,2000,3500,1.323012,1.316924
BlackScholes,2000,4000,1.139718,1.101693
BlackScholes,2000,4500,1.001186,0.969976
BlackScholes,2000,5000,0.889499,0.908660
SobolQRNG,1700,3500,1.276948,1.236220
SobolQRNG,1700,4000,1.115599,1.118959
SobolQRNG,1700,4500,1.015782,1.025229
SobolQRNG,1700,5000,0.895510,0.950203
SobolQRNG,1600,3500,1.278487,1.261346
SobolQRNG,1600,4000,1.136680,1.148462
SobolQRNG,1600,4500,1.015782,1.035557
SobolQRNG,1600,5000,0.880583,0.968007
SobolQRNG,1800,3500,1.277461,1.228391
SobolQRNG,1800,4000,1.105515,1.117143
SobolQRNG,1800,4500,1.000000,1.005740
SobolQRNG,1800,5000,0.906278,0.933254
SobolQRNG,1900,3500,1.276436,1.215521
SobolQRNG,1900,4000,1.103179,1.110912
SobolQRNG,1900,4500,0.987409,0.991834
SobolQRNG,1900,5000,0.906165,0.916949
SobolQRNG,2000,3500,1.270169,1.187419
SobolQRNG,2000,4000,1.100729,1.076561
SobolQRNG,2000,4500,0.976983,0.986632
SobolQRNG,2000,5000,0.896023,0.908461
backpropBackward,1700,3500,1.055968,1.302801
backpropBackward,1700,4000,1.046415,1.130040
backpropBackward,1700,4500,1.048056,1.006910
backpropBackward,1700,5000,1.050179,0.897853
backpropBackward,1600,3500,1.086461,1.303144
backpropBackward,1600,4000,1.111744,1.138328
backpropBackward,1600,4500,1.111937,1.007680
backpropBackward,1600,5000,1.115025,0.907893
backpropBackward,1800,3500,1.000096,1.302801
backpropBackward,1800,4000,0.999807,1.129111
backpropBackward,1800,4500,1.000000,1.003051
backpropBackward,1800,5000,0.998842,0.904115
backpropBackward,1900,3500,0.956296,1.300796
backpropBackward,1900,4000,0.959037,1.128878
backpropBackward,1900,4500,0.958361,0.984317
backpropBackward,1900,5000,0.959326,0.893397
backpropBackward,2000,3500,0.915034,1.301056
backpropBackward,2000,4000,0.915372,1.128280
backpropBackward,2000,4500,0.911502,0.980335
backpropBackward,2000,5000,0.919010,0.889453
backpropForward,1700,3500,1.062570,1.143980
backpropForward,1700,4000,1.053566,1.083804
backpropForward,1700,4500,1.052941,1.053713
backpropForward,1700,5000,1.056234,1.046383
backpropForward,1600,3500,1.115553,1.162184
backpropForward,1600,4000,1.116949,1.123448
backpropForward,1600,4500,1.119159,1.106609
backpropForward,1600,5000,1.121306,1.093245
backpropForward,1800,3500,1.007358,1.093762
backpropForward,1800,4000,0.997791,1.027746
backpropForward,1800,4500,1.000000,1.007208
backpropForward,1800,5000,1.002814,0.995155
backpropForward,1900,3500,0.968652,1.072196
backpropForward,1900,4000,0.965276,1.003927
backpropForward,1900,4500,0.966339,0.974841
backpropForward,1900,5000,0.957314,0.958509
backpropForward,2000,3500,0.929614,1.057459
backpropForward,2000,4000,0.926174,0.976847
backpropForward,2000,4500,0.917087,0.948139
backpropForward,2000,5000,0.915107,0.922101
cfd,1700,3500,1.161883,1.146991
cfd,1700,4000,1.083540,1.086901
cfd,1700,4500,1.033748,1.041649
cfd,1700,5000,0.999925,1.008563
cfd,1600,3500,1.194802,1.167349
cfd,1600,4000,1.127232,1.117397
cfd,1600,4500,1.079473,1.084273
cfd,1600,5000,1.044595,1.052994
cfd,1800,3500,1.129040,1.116726
cfd,1800,4000,1.052655,1.051242
cfd,1800,4500,1.000000,1.000526
cfd,1800,5000,0.966554,0.959858
cfd,1900,3500,1.104934,1.090852
cfd,1900,4000,1.026817,1.021397
cfd,1900,4500,0.976949,0.978698
cfd,1900,5000,0.939510,0.930235
cfd,2000,3500,1.084972,1.075757
cfd,2000,4000,1.007006,0.998968
cfd,2000,4500,0.951563,0.958438
cfd,2000,5000,0.908098,0.906934
conjugateGradient,1700,3500,1.266619,1.318625
conjugateGradient,1700,4000,1.109466,1.130347
conjugateGradient,1700,4500,1.010193,1.038354
conjugateGradient,1700,5000,0.954175,0.980863
conjugateGradient,1600,3500,1.277522,1.321427
conjugateGradient,1600,4000,1.124180,1.148865
conjugateGradient,1600,4500,1.025350,1.055160
conjugateGradient,1600,5000,0.971636,1.005210
conjugateGradient,1800,3500,1.256692,1.319678
conjugateGradient,1800,4000,1.100425,1.129850
conjugateGradient,1800,4500,1.000000,1.003397
conjugateGradient,1800,5000,0.939107,0.935396
conjugateGradient,1900,3500,1.251728,1.320645
conjugateGradient,1900,4000,1.093246,1.130968
conjugateGradient,1900,4500,0.991136,0.987447
conjugateGradient,1900,5000,0.929268,0.909887
conjugateGradient,2000,3500,1.246144,1.318382
conjugateGradient,2000,4000,1.086687,1.124577
conjugateGradient,2000,4500,0.982627,0.982129
conjugateGradient,2000,5000,0.916504,0.905872
convolutionSeparable,1700,3500,1.335918,1.159798
convolutionSeparable,1700,4000,1.139179,1.093759
convolutionSeparable,1700,4500,1.035648,1.049128
convolutionSeparable,1700,5000,1.031940,1.009929
convolutionSeparable,1600,3500,1.334106,1.185896
convolutionSeparable,1600,4000,1.138505,1.125297
convolutionSeparable,1600,4500,1.098390,1.078638
convolutionSeparable,1600,5000,1.096031,1.055520
convolutionSeparable,1800,3500,1.337055,1.108203
convolutionSeparable,1800,4000,1.138926,1.038734
convolutionSeparable,1800,4500,1.000000,1.009613
convolutionSeparable,1800,5000,0.980364,0.963158
convolutionSeparable,1900,3500,1.337266,1.087986
convolutionSeparable,1900,4000,1.137662,1.027718
convolutionSeparable,1900,4500,0.999199,0.987108
convolutionSeparable,1900,5000,0.940460,0.928096
convolutionSeparable,2000,3500,1.336676,1.067832
convolutionSeparable,2000,4000,1.143561,1.000589
