kernel,m1_error
BlackScholes,0.061880
SobolQRNG,0.216697
backpropBackward,0.555392
backpropForward,0.024806
cfd,1.479497
conjugateGradient,0.273275
convolutionSeparable,0.212209
convolutionTexture,0.770297
dxtc,1.507925
fastWalshTransform,0.231254
gaussian,0.239472
histogram,0.800802
hotspot,0.304808
matrixMulShared,0.156256
mergeSort,0.249821
nn,0.709907
pathfinder,0.491677
scalarProd,0.550146
scanScanExclusiveShared,0.116223
scanUniformUpdate,0.356688
sortingNetworks,0.379176
srad,0.436499
transpose,0.153396
vectorAdd,0.209731
average,0.436993
