,appName,n_dm,n_l2,n_shm,tex_trans,n_flop_sp,n_flop_dp,n_int,branch,act_util,warp_eff,sm_act,coreF,memF,avg_power
0,BlackScholes,0.105534947818,0.13715719776,0.0,0.0765136385439,0.484864925348,0.0,0.119552560225,0.00254049190478,0.929137,1.0,0.9968,0.457078313253,1.0,0.4772071349351981
1,BlackScholes,0.102441008778,0.135171454242,0.0,0.075799765304,0.480341129306,0.0,0.118437133288,0.00251678908236,0.91792,1.0,0.9965,0.609939759036,1.0,0.5688978752539878
2,BlackScholes,0.102523628536,0.135552729388,0.0,0.07615326949,0.482581276082,0.0,0.118989483578,0.00252852652603,0.921277,1.0,0.9968,0.762048192771,1.0,0.6670083277499682
3,BlackScholes,0.0996643551123,0.134692399875,0.0,0.0760460068778,0.481901555716,0.0,0.118821885747,0.00252496507211,0.917689,1.0,0.9956,0.905120481928,1.0,0.7912587014439119
4,BlackScholes,0.0996836722323,0.134622962055,0.0,0.0760789273116,0.482110171643,0.0,0.118873323924,0.00252605813339,0.916737,1.0,0.9969,1.0,1.0,1.0
5,SobolQRNG,0.0812682051135,0.0818507829274,0.0198697840828,1.9342695627e-05,0.019806920322,0.0,0.277780451899,0.000623046359922,0.487014,1.0,0.9881,0.457078313253,1.0,0.6113196151429431
6,SobolQRNG,0.0834457274997,0.0833154365083,0.020463484581,1.99206469516e-05,0.0203987424784,0.0,0.286080410872,0.000641662713917,0.520549,1.0,0.9497,0.609939759036,1.0,0.6823936313334362
7,SobolQRNG,0.0853435346114,0.0843694427678,0.0209354467418,2.03800893082e-05,0.0208692114516,0.0,0.292678462555,0.000656461782951,0.5379,1.0,0.9386,0.762048192771,1.0,0.7254530279094992
8,SobolQRNG,0.0856701160739,0.0852547793152,0.0211285793697,2.05680986806e-05,0.021061733049,0.0,0.295378465152,0.000662517741095,0.541447,1.0,0.9404,0.905120481928,1.0,0.827417612090267
9,SobolQRNG,0.0861750202893,0.0847008331617,0.0212263770837,2.06633021014e-05,0.0211592213519,0.0,0.296745681479,0.000665584332533,0.543002,1.0,0.9405,1.0,1.0,1.0
10,backpropBackward,0.16719494705,0.185668112928,0.0,0.27113773749,0.0,0.0871514261761,0.213036632792,0.000907827163607,0.939566,1.0,0.9846,0.457078313253,1.0,0.6277007843294551
11,backpropBackward,0.167736918052,0.186152835472,0.0,0.272004264651,0.0,0.087429952797,0.213717475046,0.000910728481961,0.942945,1.0,0.9841,0.609939759036,1.0,0.6766812702652298
12,backpropBackward,0.168597460099,0.187176133928,0.0,0.273388798092,0.0,0.0878749814569,0.214805321928,0.000915364196186,0.947251,1.0,0.9847,0.762048192771,1.0,0.7242494447136659
13,backpropBackward,0.169799335048,0.188535924633,0.0,0.275320117571,0.0,0.0884957627934,0.216322786087,0.00092183066707,0.953024,1.0,0.9857,0.905120481928,1.0,0.826308531378506
14,backpropBackward,0.170379961281,0.189185257831,0.0,0.276262241809,0.0,0.088798588478,0.217063026,0.000924985100617,0.956095,1.0,0.9859,1.0,1.0,1.0
15,backpropForward,0.0497833095952,0.0594129110242,0.0642463378437,0.0331594001774,0.0328139897589,0.0,0.658697668108,0.00567768375434,0.978934,0.9276,0.9953,0.457078313253,1.0,0.5101465846889643
16,backpropForward,0.0496299078146,0.0592224491977,0.0640398814213,0.0330528420239,0.0327085415862,0.0,0.656580934788,0.0056594384455,0.977072,0.9276,0.994,0.609939759036,1.0,0.5774723129320003
17,backpropForward,0.0495710089653,0.0591489109389,0.0639610647872,0.0330121624708,0.0326682857784,0.0,0.655772852415,0.0056524731314,0.976264,0.9276,0.9936,0.762048192771,1.0,0.656732306140212
18,backpropForward,0.0495725119242,0.0591424591069,0.0639537703467,0.0330083975983,0.0326645601233,0.0,0.655698064791,0.00565182849502,0.976259,0.9276,0.9935,0.905120481928,1.0,0.8044737265701822
19,backpropForward,0.0496150320639,0.0591921419214,0.0640078128951,0.0330362905265,0.0326921625002,0.0,0.656252146188,0.0056566044326,0.9762,0.9276,0.9944,1.0,1.0,1.0
20,binomialOptions,0.0134508289328,0.0304577915989,0.460537512416,0.0170906823447,0.000754475540968,0.22623219735,0.112492679872,0.00650802778455,0.901688,0.9997,0.9624,0.457078313253,1.0,0.49592890329232664
21,binomialOptions,0.0133499819996,0.0301256518014,0.455483963158,0.0169031436475,0.000746196564322,0.223749716505,0.11125828032,0.00643661419045,0.902061,0.9997,0.9515,0.609939759036,1.0,0.5702535626250939
22,binomialOptions,0.0134825421918,0.0303910702259,0.459494933496,0.0170519919348,0.00075276753614,0.225720045976,0.112238015499,0.00649329471201,0.901869,0.9997,0.9601,0.762048192771,1.0,0.6488032761308578
23,binomialOptions,0.0132965411691,0.0300501394138,0.454360925157,0.0168614673775,0.000744356747411,0.223198040805,0.1109839627,0.00642074412055,0.903422,0.9997,0.9477,0.905120481928,1.0,0.8008075720318437
24,binomialOptions,0.0134869289431,0.0303768157924,0.459269272062,0.0170436175727,0.000752397846315,0.225609193156,0.112182894562,0.00649010580591,0.90219,0.9997,0.9593,1.0,1.0,1.0
