appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,achieved_occupancy,warp_execution_efficiency,sm_activity,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,flop_count_sp_special,inst_integer,inst_fp_32,inst_fp_64,inst_executed,inst_per_warp,executed_ipc
BlackScholes,1328,715,input00,BlackScholesGPU,1.2569,(224000 1 1) (128 1 1),896000.0,0.916814,1.0,0.9952,2.932173,1.0,15232000,519.64,21504000,8.000000,172.9,7168000,4.000000,0.5,10752104,258.6,7933953,190.98,14336267,345.73,11071031,266.98,0,0.0,0.000000,0,0.0,0.000000,346.49,14336000,259.87,260.19,0.5,346.92,14336000,0,0,2907099420,974848000,258048000,716800000,2505691420,0,147840000,165.000000,1.618680
SobolQRNG,1328,715,input00,sobolGPU_kernel,1.1368,(1 1000 1) (64 1 1),2000.0,0.543174,1.0,0.94,1.501924,1.0,4123000,0.21267,8000,8.000000,428.13,16384000,4.000000,0.5,3337,0.087738,16854118,439.46,4219,0.11158,16692095,437.58,4108000,429.96,1.000000,1000,0.10586,1.000000,0.10777,4000,434.07,433.7,0.5,0.10777,4000,0,0,131072000,0,0,1838208000,131072000,0,86187000,4.3094e+04,1.080347
backpropBackward,1328,715,input00,bpnn_adjust_weights_cuda,0.3315,(1 32768 1) (16 16 1),262144.0,0.956119,1.0,0.9858,1.114666,1.0,786433,1336.9,14811161,8.071420,235.83,2621446,4.999992,0.8376,2292730,206.15,2234107,201.4,2405030,216.27,2621459,235.74,0,0.0,0.000000,0,0.0,0.000000,216.97,2404831,236.51,236.47,0.746,662.12,7340042,75497584,16777248,0,0,0,184549488,0,58720336,16515100,63.000107,0.680287
backpropForward,1328,715,input00,bpnn_layerforward_CUDA,0.78119,(1 32768 1) (16 16 1),262144.0,0.976223,0.9276000000000001,0.9944,1.997254,1.0,8617984,118.61,3014656,5.750000,61.791,1572864,3.000000,0.5870000000000001,1177546,46.344,1184628,46.625,1245302,48.889,1572877,61.75,1769472,278.05,1.000000,1277952,200.8,1.000000,48.904,1245145,61.776,61.844,0.5326,61.844,1572864,0,0,49807360,0,67108864,999817216,217579520,0,74645504,284.750000,1.330000
binomialOptions,1328,715,input00,binomialOptionsKernel,17.089,(1024 1 1) (256 1 1),8192.0,0.901842,0.9997,0.9512,0.784054,1.0,235282432,33.601,19243008,7.813721,30.102,17106944,6.266317,0.1027,4297589,7.5549,10984468,19.245,17272692,30.431,17139816,30.196,344982528,2402.9,1.993462,175319040,1227.9,2.000000,30.505,17266134,30.281,30.099,0.0552,33.909,19308544,8178892800,2726297600,27276288,8392704,4196352,4066908160,35668992,5452595200,907610112,1.1079e+05,0.755232
cfd,1328,715,input00,cuda_compute_flux,1.232,(1212 1 1) (192 1 1),7272.0,0.911321,0.9695,0.9166,0.149880,0.9934999999999999,1353918,100.27,4168816,13.983591,3.5008,145440,4.000000,0.3333,6021805,144.78,8378688,200.56,13498478,322.8,10148027,242.68,0,0.0,0.000000,0,0.0,0.000000,322.72,13495644,242.67,242.64,0.48200000000000004,284.96,11918034,0,0,150331499,55777012,5610493,73701840,115570115,0,14597869,2.0074e+03,0.172251
conjugateGradient,1328,715,input00,csrMv_kernel,0.9710599999999999,(262144 1 1) (4 32 1),1048576.0,0.900369,0.8764,0.9951000000000001,2.104140,1.0,14680064,715.09,22020094,6.999999,34.109,1048576,1.000000,0.6311,8388678,272.13,1247949,40.377,9693687,315.43,1048589,34.12,6291456,817.5,1.000000,2097152,272.46,1.000000,314.85,9693480,34.058,34.112,0.7073,682.27,20971520,0,0,134217722,25165822,0,1199570930,142606332,0,95420416,91.000000,1.403558
convolutionSeparable,1328,715,input00,convolutionRowsKernel,1.6051,(80 2560 1) (16 4 1),409600.0,0.746238,1.0,0.9965,1.223283,1.0,2048000,595.59,32686080,8.000000,240.0,13107200,4.000000,0.5012,13522400,239.09,14507916,257.04,16305954,299.21,13584666,249.09,105676800,7813.5,2.000000,8192000,602.6,2.000000,298.59,16323726,239.76,239.7,0.5005,298.87,16343040,0,0,3565158400,1782579200,0,275251200,1782579200,0,134748160,328.975000,1.133241
convolutionTexture,1328,715,input00,convolutionRowsKernel,7.3156,(640 854 1) (16 12 1),3279360.0,0.869017,1.0,0.9992,0.686305,1.0,6556160,0.0,0,0.000000,53.454,13107200,4.000000,0.0,13107586,53.409,13882305,56.513,25437046,103.76,13107213,53.459,0,0.0,0.000000,0,0.0,0.000000,103.76,25437801,53.464,53.466,0.951,1817.9,445644800,0,0,5557452800,1782579200,0,2202992640,3774873600,0,311347200,94.941452,0.572937
dxtc,1328,715,input00,compress,13.989,(16384 1 1) (64 1 1),32768.0,0.993341,0.9716,0.9795999999999999,0.214304,0.9922,24018993,8.7945,4128759,7.875000,0.035286000000000005,16383,1.000000,0.6943,138873067,295.78,63768694,136.81,183106373,392.86,64225138,137.8,3555321,30.296,1.391026,1378415,11.745,0.751179,392.87,183104122,137.8,137.8,0.5036999999999999,397.89,185450330,0,0,3660571608,1413149985,20971478,1472891776,2301947467,0,244565135,7.4636e+03,0.239768
