appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,achieved_occupancy,warp_execution_efficiency,sm_activity,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,flop_count_sp_special,inst_integer,inst_fp_32,inst_fp_64,inst_executed,inst_per_warp,executed_ipc
cachebench-l2-only,1328,715,input00,benchmark_func,3.2153,(448 1 1) (256 1 1),3584.0,0.366047,1.0,0.8923000000000001,1.183757,1.0,15608320,540.52,117440512,8.000000,540.65,58720256,4.000000,0.5,15322,0.14305,9451501,87.067,58725500,540.61,58720269,540.56,0,0.0,0.000000,0,0.0,0.000000,540.68,58720256,540.68,540.82,0.5,540.82,58720256,0,0,0,0,114688,4034953216,114688,0,203997696,5.6919e+04,0.953988
cachebench-l2-only,1328,715,input01,benchmark_func,3.2261,(448 1 1) (256 1 1),3584.0,0.367380,1.0,0.8906000000000001,1.186105,1.0,15608320,539.15,117440512,8.000000,539.33,58720256,4.000000,0.5,29662,0.27752,6417345,58.888,58725521,538.91,58720269,538.86,0,0.0,0.000000,0,0.0,0.000000,539.08,58720256,539.08,538.83,0.5,538.83,58720256,0,0,0,0,114688,4031283200,114688,0,203997696,5.6919e+04,0.952917
cachebench-l2-only,1328,715,input02,benchmark_func,3.2345,(448 1 1) (256 1 1),3584.0,0.368052,1.0,0.8895000000000001,1.185349,1.0,15608320,537.41,117440512,8.000000,537.15,58720256,4.000000,0.5,43995,0.41103,9772765,89.482,58725440,537.84,58720269,537.8,0,0.0,0.000000,0,0.0,0.000000,537.55,58720256,537.55,537.49,0.5,537.49,58720256,0,0,0,0,114688,4030136320,114688,0,203997696,5.6919e+04,0.951248
cachebench-l2-only,1328,715,input03,benchmark_func,3.233,(448 1 1) (256 1 1),3584.0,0.366403,1.0,0.8957999999999999,1.177305,1.0,15608320,538.12,117440512,8.000000,538.34,58720256,4.000000,0.5,58340,0.5464600000000001,10967694,100.52,58725522,538.05,58720269,538.0,0,0.0,0.000000,0,0.0,0.000000,537.81,58720256,537.81,538.11,0.5,538.11,58720256,0,0,0,0,114688,4029448192,114688,0,203997696,5.6919e+04,0.947595
cachebench-l2-only,1328,715,input04,benchmark_func,3.2489,(448 1 1) (256 1 1),3584.0,0.369777,1.0,0.8862000000000001,1.182565,1.0,15608320,536.47,117440512,8.000000,536.32,58720256,4.000000,0.5,72644,0.67806,11485953,104.89,58725503,536.22,58720269,536.17,0,0.0,0.000000,0,0.0,0.000000,536.05,58720256,536.05,536.36,0.5,536.36,58720256,0,0,0,0,114688,4029218816,114688,0,203997696,5.6919e+04,0.948397
cachebench-l2-only,1328,715,input05,benchmark_func,3.2557,(448 1 1) (256 1 1),3584.0,0.369481,1.0,0.8872,1.186579,1.0,15608320,536.41,117440512,8.000000,536.58,58720256,4.000000,0.5,87064,0.81348,10661104,97.426,58725495,536.55,58720269,536.5,0,0.0,0.000000,0,0.0,0.000000,536.3,58720256,536.3,536.53,0.5,536.53,58720256,0,0,0,0,114688,4028989440,114688,0,203997696,5.6919e+04,0.948712
cachebench-l2-only,1328,715,input06,benchmark_func,3.2561,(448 1 1) (256 1 1),3584.0,0.368855,1.0,0.8902,1.182779,1.0,15608320,536.99,117440512,8.000000,537.2,58720256,4.000000,0.5,101359,0.9479500000000001,10260852,93.731,58725472,537.04,58720269,536.99,0,0.0,0.000000,0,0.0,0.000000,536.88,58720256,536.88,537.03,0.5,537.03,58720256,0,0,0,0,114688,4028760064,114688,0,203997696,5.6919e+04,0.945239
cachebench-l2-only,1328,715,input07,benchmark_func,3.2658,(448 1 1) (256 1 1),3584.0,0.371022,1.0,0.8826,1.188793,1.0,15608320,534.6,117440512,8.000000,534.82,58720256,4.000000,0.5,115708,1.0524,9757397,88.819,58725568,534.89,58720269,534.84,0,0.0,0.000000,0,0.0,0.000000,534.69,58720256,534.69,534.9,0.5,534.9,58720256,0,0,0,0,114688,4028530688,114688,0,203997696,5.6919e+04,0.948715
cachebench-l2-only,1328,715,input08,benchmark_func,3.2598,(448 1 1) (256 1 1),3584.0,0.369542,1.0,0.8874,1.185081,1.0,15608320,536.05,117440512,8.000000,536.15,58720256,4.000000,0.5,130263,1.1884,7836368,71.509,58725487,536.13,58720269,536.09,0,0.0,0.000000,0,0.0,0.000000,535.8,58720256,535.8,536.02,0.5,536.02,58720256,0,0,0,0,114688,4028530688,114688,0,203997696,5.6919e+04,0.948117
cachebench-l2-only,1328,715,input09,benchmark_func,3.2653,(448 1 1) (256 1 1),3584.0,0.370529,1.0,0.8841,1.186508,1.0,15608320,535.03,117440512,8.000000,535.18,58720256,4.000000,0.5,145816,1.3281,6646202,60.557,58725503,535.11,58720269,535.06,0,0.0,0.000000,0,0.0,0.000000,535.12,58720256,535.12,535.16,0.5,535.16,58720256,0,0,0,0,114688,4028530688,114688,0,203997696,5.6919e+04,0.946896
cachebench-l2-only,1328,715,input10,benchmark_func,3.2641,(448 1 1) (256 1 1),3584.0,0.371678,1.0,0.8824,1.188615,1.0,15608320,534.92,117440512,8.000000,534.66,58720256,4.000000,0.5,164633,1.4985,4391868,40.008,58725452,534.7,58720269,534.65,0,0.0,0.000000,0,0.0,0.000000,534.75,58720256,534.75,534.99,0.5,534.99,58720256,0,0,0,0,114688,4028301312,114688,0,203997696,5.6919e+04,0.948866
cachebench-l2-only,1328,715,input11,benchmark_func,3.6439,(448 1 1) (256 1 1),3584.0,0.372235,1.0,0.8753,1.053729,1.0,15608320,466.21,117440512,8.000000,465.65,58720256,4.000000,0.5,1977826,15.71,11364614,90.343,58725507,464.95,58720269,464.9,0,0.0,0.000000,0,0.0,0.000000,467.26,58720256,467.26,466.45,0.5,466.45,58720256,0,0,0,0,114688,4028301312,114688,0,203997696,5.6919e+04,0.835838
cachebench-l2-only,1328,715,input12,benchmark_func,5.0026,(448 1 1) (256 1 1),3584.0,0.372796,1.0,0.8916,0.735757,1.0,15608320,335.48,117440512,8.000000,334.29,58720256,4.000000,0.5,12131867,69.248,17799187,101.53,58725598,334.39,58720269,334.36,0,0.0,0.000000,0,0.0,0.000000,335.05,58720256,335.05,334.95,0.5,334.95,58720256,0,0,0,0,114688,4028301312,114688,0,203997696,5.6919e+04,0.587401
cachebench-l2-only,1328,715,input13,benchmark_func,6.1226,(448 1 1) (256 1 1),3584.0,0.373156,1.0,0.9092,0.607593,1.0,15608320,282.65,117440512,8.000000,282.79,58720256,4.000000,0.5,21514071,103.79,26673166,128.68,58725733,282.49,58720269,282.46,0,0.0,0.000000,0,0.0,0.000000,283.12,58720256,283.12,282.7,0.5,282.7,58720256,0,0,0,0,114688,4028301312,114688,0,203997696,5.6919e+04,0.487901
cachebench-l2-only,1328,715,input14,benchmark_func,6.9909,(448 1 1) (256 1 1),3584.0,0.372349,1.0,0.9431,0.511532,1.0,15608320,249.89,117440512,8.000000,249.89,58720256,4.000000,0.5,33926087,144.46,36585888,155.71,58725701,249.95,58720269,249.93,0,0.0,0.000000,0,0.0,0.000000,249.89,58720256,249.89,249.98,0.5,249.98,58720256,0,0,0,0,114688,4028301312,114688,0,203997696,5.6919e+04,0.415474
cachebench-l2-only,1328,715,input15,benchmark_func,7.4662,(448 1 1) (256 1 1),3584.0,0.371662,1.0,0.9523,0.473782,1.0,15608320,234.93,117440512,8.000000,234.93,58720256,4.000000,0.5,42890447,171.56,43158857,172.66,58725627,234.86,58720285,234.84,0,0.0,0.000000,0,0.0,0.000000,234.88,58720256,234.88,234.97,0.5,234.97,58720256,0,0,0,0,114688,4028071936,114688,0,203997696,5.6919e+04,0.386159
cachebench-l2-only,1328,715,input16,benchmark_func,9.2317,(448 1 1) (256 1 1),3584.0,0.368678,1.0,0.9085,0.397778,1.0,15608320,189.48,117440512,8.000000,189.43,58720256,4.000000,0.5,58620706,189.13,58646104,189.09,58725745,189.33,58720297,189.31,0,0.0,0.000000,0,0.0,0.000000,189.35,58720256,189.35,189.31,0.5,189.31,58720256,0,0,0,0,114688,4027842560,114688,0,203997696,5.6919e+04,0.326047
cachebench-l2-only,1328,715,input17,benchmark_func,4.7957,(448 1 1) (256 1 1),3584.0,0.367080,1.0,0.8858,0.843820,1.0,15608320,723.58,117440512,8.000000,726.66,117440512,8.000000,0.0,29745,0.18787,11017703,68.282,117445838,725.83,117440525,725.8,0,0.0,0.000000,0,0.0,0.000000,728.82,117440512,728.82,727.84,0.0,727.84,117440512,0,0,0,0,114688,4034953216,114688,0,203997696,5.6919e+04,0.644603
cachebench-l2-only,1328,715,input18,benchmark_func,4.7668,(448 1 1) (256 1 1),3584.0,0.366424,1.0,0.8891,0.850830,1.0,15608320,725.0,117440512,8.000000,724.04,117440512,8.000000,0.0,58421,0.36716000000000004,27315143,167.95,117445892,723.56,117440525,723.53,0,0.0,0.000000,0,0.0,0.000000,723.07,117440512,723.07,722.19,0.0,722.19,117440512,0,0,0,0,114688,4031283200,114688,0,203997696,5.6919e+04,0.640974
cachebench-l2-only,1328,715,input19,benchmark_func,4.8304,(448 1 1) (256 1 1),3584.0,0.366111,1.0,0.8870999999999999,0.840026,1.0,15608320,724.01,117440512,8.000000,723.43,117440512,8.000000,0.0,89009,0.5598099999999999,30556741,187.69,117445878,723.46,117440525,723.43,0,0.0,0.000000,0,0.0,0.000000,722.21,117440512,722.21,723.24,0.0,723.24,117440512,0,0,0,0,114688,4030136320,114688,0,203997696,5.6919e+04,0.637988
