appName,coreF,memF,kernel,achieved_occupancy,eligible_warps_per_cycle,dram_read_transactions,dram_write_transactions,l2_read_transactions,l2_write_transactions,shared_load_transactions,shared_store_transactions,branch_efficiency,cf_executed,flop_count_sp,time/ms,time(pred)/ms,power/W,power(pred)/W
backprop,500,500,bpnn_layerforward_CUDA,0.966543,4.217977,147418,148668,209190,196614,221184,159744,1,520192,6225920,0.43198,0.432959208,41.9402,39.49177001
backprop,500,600,bpnn_layerforward_CUDA,0.963326,4.961361,144464,149784,204964,196614,221184,159744,1,520192,6225920,0.39201,0.407132821,43.13076364,42.84850852
backprop,500,700,bpnn_layerforward_CUDA,0.9632,4.989804,150067,148519,209033,196614,221184,159744,1,520192,6225920,0.3902,0.38864417,43.57112727,44.07527051
backprop,500,800,bpnn_layerforward_CUDA,0.963186,5.032923,148006,148674,206605,196614,221184,159744,1,520192,6225920,0.38887,0.37480168,44.06945455,45.0867222
backprop,500,900,bpnn_layerforward_CUDA,0.963094,5.058018,144484,149793,204985,196614,221184,159744,1,520192,6225920,0.38789,0.364012153,44.65407407,45.63813115
backprop,500,1000,bpnn_layerforward_CUDA,0.963015,5.064093,148201,148561,208885,196614,221184,159744,1,520192,6225920,0.38769,0.355405232,45.89248148,46.71814471
backprop,600,500,bpnn_layerforward_CUDA,0.968018,3.588184,144622,149670,204986,196614,221184,159744,1,520192,6225920,0.40197,0.38648861,42.19588889,41.22468135
backprop,600,600,bpnn_layerforward_CUDA,0.962483,4.69289,145958,143814,205803,196614,221184,159744,1,520192,6225920,0.33502,0.360685076,45.30748148,44.46809201
backprop,600,700,bpnn_layerforward_CUDA,0.961319,4.934528,146349,148680,208624,196614,221184,159744,1,520192,6225920,0.32696,0.34221962,45.58814815,45.34286795
backprop,600,800,bpnn_layerforward_CUDA,0.961174,4.990857,144466,149798,204999,196614,221184,159744,1,520192,6225920,0.32524,0.328390527,46.13746296,45.87824963
backprop,600,900,bpnn_layerforward_CUDA,0.961124,5.018321,144461,149781,205004,196614,221184,159744,1,520192,6225920,0.32411,0.317615277,46.73575926,46.2260723
backprop,600,1000,bpnn_layerforward_CUDA,0.96106,5.039778,144468,149781,204958,196614,221184,159744,1,520192,6225920,0.32364,0.309015662,47.02564815,46.2887231
