appName,coreF,memF,argNo,kernel,power/W
BlackScholes,1880,5800,input00,BlackScholesGPU,185.79910000000007
BlackScholes,1880,6300,input00,BlackScholesGPU,197.31981
BlackScholes,1880,6800,input00,BlackScholesGPU,207.8917
BlackScholes,1880,7300,input00,BlackScholesGPU,217.19846999999993
BlackScholes,1780,5800,input00,BlackScholesGPU,184.64624999999995
BlackScholes,1780,6300,input00,BlackScholesGPU,184.90592000000004
BlackScholes,1780,6800,input00,BlackScholesGPU,203.51595000000006
BlackScholes,1780,7300,input00,BlackScholesGPU,212.39172
BlackScholes,1680,5800,input00,BlackScholesGPU,183.27302000000003
BlackScholes,1680,6300,input00,BlackScholesGPU,191.36022999999997
BlackScholes,1680,6800,input00,BlackScholesGPU,194.61506000000006
BlackScholes,1680,7300,input00,BlackScholesGPU,212.56165999999996
BlackScholes,1980,5800,input00,BlackScholesGPU,189.44155000000003
BlackScholes,1980,6300,input00,BlackScholesGPU,190.97113000000004
BlackScholes,1980,6800,input00,BlackScholesGPU,202.02466999999996
BlackScholes,1980,7300,input00,BlackScholesGPU,212.16422999999995
BlackScholes,2080,5800,input00,BlackScholesGPU,185.47321999999997
BlackScholes,2080,6300,input00,BlackScholesGPU,198.61282
BlackScholes,2080,6800,input00,BlackScholesGPU,206.32748000000004
BlackScholes,2080,7300,input00,BlackScholesGPU,214.49960000000007
SobolQRNG,1880,5800,input00,sobolGPU_kernel,144.12266000000002
SobolQRNG,1880,6300,input00,sobolGPU_kernel,150.93935999999997
SobolQRNG,1880,6800,input00,sobolGPU_kernel,153.69949
SobolQRNG,1880,7300,input00,sobolGPU_kernel,160.25516
SobolQRNG,1780,5800,input00,sobolGPU_kernel,142.01288000000002
SobolQRNG,1780,6300,input00,sobolGPU_kernel,143.79127
SobolQRNG,1780,6800,input00,sobolGPU_kernel,148.28778000000003
SobolQRNG,1780,7300,input00,sobolGPU_kernel,160.7925
SobolQRNG,1680,5800,input00,sobolGPU_kernel,139.69766
SobolQRNG,1680,6300,input00,sobolGPU_kernel,142.04962
SobolQRNG,1680,6800,input00,sobolGPU_kernel,150.61568
SobolQRNG,1680,7300,input00,sobolGPU_kernel,152.87921999999998
SobolQRNG,1980,5800,input00,sobolGPU_kernel,144.33563999999998
SobolQRNG,1980,6300,input00,sobolGPU_kernel,149.47397
SobolQRNG,1980,6800,input00,sobolGPU_kernel,152.54337999999998
SobolQRNG,1980,7300,input00,sobolGPU_kernel,159.30463
SobolQRNG,2080,5800,input00,sobolGPU_kernel,149.02505000000002
SobolQRNG,2080,6300,input00,sobolGPU_kernel,150.97645
SobolQRNG,2080,6800,input00,sobolGPU_kernel,155.95427
SobolQRNG,2080,7300,input00,sobolGPU_kernel,163.52874999999997
backpropForward,1880,5800,input00,bpnn_layerforward_CUDA,145.00926000000004
backpropForward,1880,6300,input00,bpnn_layerforward_CUDA,147.30060999999998
backpropForward,1880,6800,input00,bpnn_layerforward_CUDA,149.50745999999998
backpropForward,1880,7300,input00,bpnn_layerforward_CUDA,152.43600999999998
backpropForward,1780,5800,input00,bpnn_layerforward_CUDA,141.72516
backpropForward,1780,6300,input00,bpnn_layerforward_CUDA,144.01037
backpropForward,1780,6800,input00,bpnn_layerforward_CUDA,146.76412999999997
backpropForward,1780,7300,input00,bpnn_layerforward_CUDA,151.07500999999996
backpropForward,1680,5800,input00,bpnn_layerforward_CUDA,138.19033
backpropForward,1680,6300,input00,bpnn_layerforward_CUDA,140.37413999999995
backpropForward,1680,6800,input00,bpnn_layerforward_CUDA,144.04281
backpropForward,1680,7300,input00,bpnn_layerforward_CUDA,145.6665
backpropForward,1980,5800,input00,bpnn_layerforward_CUDA,148.31128999999999
backpropForward,1980,6300,input00,bpnn_layerforward_CUDA,152.80062999999996
backpropForward,1980,6800,input00,bpnn_layerforward_CUDA,155.73284999999998
backpropForward,1980,7300,input00,bpnn_layerforward_CUDA,158.67047999999997
backpropForward,2080,5800,input00,bpnn_layerforward_CUDA,154.54520000000002
backpropForward,2080,6300,input00,bpnn_layerforward_CUDA,157.31141000000002
backpropForward,2080,6800,input00,bpnn_layerforward_CUDA,161.08096999999998
backpropForward,2080,7300,input00,bpnn_layerforward_CUDA,151.83648000000002
conjugateGradient,1880,5800,input00,gpuConjugateGradient,71.74652999999998
conjugateGradient,1880,6300,input00,gpuConjugateGradient,72.43419
conjugateGradient,1880,6800,input00,gpuConjugateGradient,73.67571
conjugateGradient,1880,7300,input00,gpuConjugateGradient,74.86552999999999
conjugateGradient,1780,5800,input00,gpuConjugateGradient,70.98666000000001
conjugateGradient,1780,6300,input00,gpuConjugateGradient,71.5212
conjugateGradient,1780,6800,input00,gpuConjugateGradient,72.75907999999998
conjugateGradient,1780,7300,input00,gpuConjugateGradient,74.20613999999999
conjugateGradient,1680,5800,input00,gpuConjugateGradient,68.56873999999998
conjugateGradient,1680,6300,input00,gpuConjugateGradient,70.13179
conjugateGradient,1680,6800,input00,gpuConjugateGradient,72.13059999999999
conjugateGradient,1680,7300,input00,gpuConjugateGradient,73.63221
conjugateGradient,1980,5800,input00,gpuConjugateGradient,72.38821000000002
conjugateGradient,1980,6300,input00,gpuConjugateGradient,73.09832999999999
conjugateGradient,1980,6800,input00,gpuConjugateGradient,75.67054
conjugateGradient,1980,7300,input00,gpuConjugateGradient,76.44058999999999
conjugateGradient,2080,5800,input00,gpuConjugateGradient,73.67451
conjugateGradient,2080,6300,input00,gpuConjugateGradient,75.06088999999999
conjugateGradient,2080,6800,input00,gpuConjugateGradient,77.70433999999999
conjugateGradient,2080,7300,input00,gpuConjugateGradient,76.18766000000001
convolutionSeparable,1880,5800,input00,convolutionRowsKernel,160.71365
convolutionSeparable,1880,6300,input00,convolutionRowsKernel,164.07424
convolutionSeparable,1880,6800,input00,convolutionRowsKernel,167.74144999999996
convolutionSeparable,1880,7300,input00,convolutionRowsKernel,171.24290000000002
convolutionSeparable,1780,5800,input00,convolutionRowsKernel,157.08266
convolutionSeparable,1780,6300,input00,convolutionRowsKernel,159.09681999999998
convolutionSeparable,1780,6800,input00,convolutionRowsKernel,163.35377000000003
convolutionSeparable,1780,7300,input00,convolutionRowsKernel,166.6205
convolutionSeparable,1680,5800,input00,convolutionRowsKernel,151.82277
convolutionSeparable,1680,6300,input00,convolutionRowsKernel,154.78900000000002
convolutionSeparable,1680,6800,input00,convolutionRowsKernel,157.95352
convolutionSeparable,1680,7300,input00,convolutionRowsKernel,160.81531999999999
