,appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,achieved_occupancy,sm_efficiency,warp_execution_efficiency,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput.1,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,flop_count_sp_special,inst_integer,inst_fp_32,inst_fp_64,inst_executed,inst_per_warp,ipc,power/W
7,BlackScholes,500,500,input00,BlackScholesGPU,0.35499,(3584 1 1) (128 1 1),14336.0,0.896668,0.9706,1.0,1.1736719999999998,1.0,243712,14.517000000000001,344064,8.0,9.6401,114688,4.0,0.5,178136,14.695,112289,9.2657,175409,14.902999999999999,114704,9.6681,0,0.0,0.0,0,0.0,0.0,14.567,172032,9.7482,9.7398,0.5,14.286,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.0,0.830075,38.43042990654205
8,BlackScholes,500,600,input00,BlackScholesGPU,0.28872000000000003,(3584 1 1) (128 1 1),14336.0,0.881057,0.9679,1.0,1.517061,1.0,243712,17.628,344064,8.0,11.745,114688,4.0,0.5,172102,17.660999999999998,113183,11.657,172354,17.883,114694,11.895999999999999,0,0.0,0.0,0,0.0,0.0,17.852,172032,11.890999999999998,11.898,0.5,17.573,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.0,1.018428,40.4196111111111
9,BlackScholes,500,700,input00,BlackScholesGPU,0.24336,(3584 1 1) (128 1 1),14336.0,0.873793,0.9631,1.0,1.8372680000000001,1.0,243712,20.840999999999998,344064,8.0,13.91,114688,4.0,0.5,172098,20.828000000000003,113975,13.915,172342,21.129,114694,14.079,0,0.0,0.0,0,0.0,0.0,21.093000000000004,172032,14.074000000000002,14.06,0.5,20.811,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.0,1.213006,41.60153153153153
10,BlackScholes,500,800,input00,BlackScholesGPU,0.21045999999999998,(3584 1 1) (128 1 1),14336.0,0.868648,0.9581,1.0,2.1648560000000003,1.0,243712,23.996,344064,8.0,16.002,114688,4.0,0.5,172099,24.023000000000003,114250,16.136,172387,24.386,114694,16.229,0,0.0,0.0,0,0.0,0.0,24.24,172032,16.222,16.197,0.5,24.003,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.0,1.4073069999999999,42.629921052631566
11,BlackScholes,500,900,input00,BlackScholesGPU,0.18566,(3584 1 1) (128 1 1),14336.0,0.8681200000000001,0.9541,1.0,2.51054,1.0,243712,27.146,344064,8.0,18.054000000000002,114688,4.0,0.5,172093,27.156,114322,18.303,172291,27.528000000000002,114694,18.362000000000002,0,0.0,0.0,0,0.0,0.0,27.428,172032,18.314,18.311,0.5,27.156999999999996,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.0,1.601725,43.70603478260869
6,BlackScholes,500,1000,input00,BlackScholesGPU,0.16699999999999998,(3584 1 1) (128 1 1),14336.0,0.860716,0.9504,1.0,2.831658,1.0,243712,30.069000000000003,344064,8.0,20.035999999999998,114688,4.0,0.5,172097,30.119,114317,20.326,172354,30.570999999999998,114694,20.399,0,0.0,0.0,0,0.0,0.0,30.432,172032,20.305999999999997,20.34,0.5,30.145,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.0,1.787066,44.887593220338964
13,BlackScholes,600,500,input00,BlackScholesGPU,0.35291999999999996,(3584 1 1) (128 1 1),14336.0,0.900495,0.9724,1.0,0.975016,1.0,243712,14.424000000000001,344064,8.0,9.6131,114688,4.0,0.5,172101,14.431,113163,9.4306,172303,14.625,114694,9.7407,0,0.0,0.0,0,0.0,0.0,14.6,172032,9.7314,9.7407,0.5,14.436,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.0,0.698788,39.03963302752294
14,BlackScholes,600,600,input00,BlackScholesGPU,0.28792,(3584 1 1) (128 1 1),14336.0,0.8871760000000001,0.9692,1.0,1.2516120000000002,1.0,243712,17.69,344064,8.0,11.794,114688,4.0,0.5,172095,17.72,112906,11.627,172318,17.974,114695,11.960999999999999,0,0.0,0.0,0,0.0,0.0,17.933,172032,11.96,11.947000000000001,0.5,17.644000000000002,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.0,0.8559260000000001,41.05337614678899
15,BlackScholes,600,700,input00,BlackScholesGPU,0.24244000000000002,(3584 1 1) (128 1 1),14336.0,0.8803479999999999,0.966,1.0,1.5335159999999999,1.0,243712,20.976999999999997,344064,8.0,13.970999999999998,114688,4.0,0.5,172098,20.995,113663,13.909,172303,21.291,114694,14.187999999999999,0,0.0,0.0,0,0.0,0.0,21.249000000000002,172032,14.169,14.168,0.5,20.88,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.0,1.0342040000000001,41.76436036036034
16,BlackScholes,600,800,input00,BlackScholesGPU,0.20969000000000002,(3584 1 1) (128 1 1),14336.0,0.8759899999999999,0.9617,1.0,1.806836,1.0,243712,24.171999999999997,344064,8.0,16.128,114688,4.0,0.5,172096,24.212,113796,16.16,172354,24.543000000000003,114694,16.375,0,0.0,0.0,0,0.0,0.0,24.515,172032,16.344,16.319000000000003,0.5,24.118000000000002,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.0,1.1991379999999998,42.80090178571428
