appName,coreF,memF,argNo,kernel,power/W
BlackScholes,1000,1000,input00,BlackScholesGPU,52.59139999999999
BlackScholes,1000,500,input00,BlackScholesGPU,44.88423000000001
BlackScholes,1000,600,input00,BlackScholesGPU,47.53236999999999
BlackScholes,1000,700,input00,BlackScholesGPU,48.98889000000001
BlackScholes,1000,800,input00,BlackScholesGPU,50.22031999999997
BlackScholes,1000,900,input00,BlackScholesGPU,51.64303999999999
BlackScholes,500,1000,input00,BlackScholesGPU,44.917999999999985
BlackScholes,500,500,input00,BlackScholesGPU,38.532569999999986
BlackScholes,500,600,input00,BlackScholesGPU,40.42107
BlackScholes,500,700,input00,BlackScholesGPU,41.608999999999995
BlackScholes,500,800,input00,BlackScholesGPU,42.78561999999998
BlackScholes,500,900,input00,BlackScholesGPU,44.115410000000004
BlackScholes,600,1000,input00,BlackScholesGPU,45.14784
BlackScholes,600,500,input00,BlackScholesGPU,39.259359999999994
BlackScholes,600,600,input00,BlackScholesGPU,41.340819999999994
BlackScholes,600,700,input00,BlackScholesGPU,41.859359999999995
BlackScholes,600,800,input00,BlackScholesGPU,43.10516000000001
BlackScholes,600,900,input00,BlackScholesGPU,44.45715999999999
BlackScholes,700,1000,input00,BlackScholesGPU,46.14717
BlackScholes,700,500,input00,BlackScholesGPU,39.65211999999999
BlackScholes,700,600,input00,BlackScholesGPU,41.693720000000006
BlackScholes,700,700,input00,BlackScholesGPU,42.83046
BlackScholes,700,800,input00,BlackScholesGPU,43.98511999999999
BlackScholes,700,900,input00,BlackScholesGPU,45.02966000000001
BlackScholes,800,1000,input00,BlackScholesGPU,48.58172000000001
BlackScholes,800,500,input00,BlackScholesGPU,41.66022
BlackScholes,800,600,input00,BlackScholesGPU,43.554230000000004
BlackScholes,800,700,input00,BlackScholesGPU,44.969220000000014
BlackScholes,800,800,input00,BlackScholesGPU,46.39191999999999
BlackScholes,800,900,input00,BlackScholesGPU,47.62321
BlackScholes,900,1000,input00,BlackScholesGPU,51.120279999999994
BlackScholes,900,500,input00,BlackScholesGPU,44.11639000000001
BlackScholes,900,600,input00,BlackScholesGPU,46.17385999999998
BlackScholes,900,700,input00,BlackScholesGPU,47.78663
BlackScholes,900,800,input00,BlackScholesGPU,48.78749
BlackScholes,900,900,input00,BlackScholesGPU,50.01357
SobolQRNG,1000,1000,input00,sobolGPU_kernel,54.95116000000001
