appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,achieved_occupancy,sm_efficiency,warp_execution_efficiency,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,flop_count_sp_special,inst_integer,inst_fp_32,inst_fp_64,inst_executed,inst_per_warp,ipc
BlackScholes,1100,3600,input00,BlackScholesGPU,0.048982,(3584 1 1) (128 1 1),14336.0,0.841159,0.9103,1.0,5.049239,1.0,243712,102.69,344064,8.000000,68.35,114688,4.000000,0.5,172503,102.92,111501,67.079,172652,102.81,114694,68.628,0,0.0,0.000000,0,0.0,0.000000,102.23,172032,68.287,68.262,0.5,102.91,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.000000,2.936885
SobolQRNG,1100,3600,input00,sobolGPU_kernel,0.66603,(1 1000 1) (64 1 1),2000.0,0.939311,0.9756999999999999,1.0,2.548369,1.0,1047000,0.18311000000000002,8000,8.000000,184.07,4096000,4.000000,0.5,12050,0.36716000000000004,4090313,184.67,16162,0.58365,4096006,185.15,1036000,186.25,1.000000,1000,0.18024,1.000000,0.18311000000000002,4000,184.96,185.13,0.5,0.18311000000000002,4000,0,0,32768000,0,0,461952000,32768000,0,21671000,1.0836e+04,1.925266
backpropBackward,1100,3600,input00,bpnn_adjust_weights_cuda,0.26237,(1 4096 1) (16 16 1),32768.0,0.974975,0.9739,1.0,0.470725,1.0,32769,89.984,1851417,8.071362,38.286,327686,4.999939,0.5841,287873,33.868,278305,32.637,778342,90.949,327692,38.304,0,0.0,0.000000,0,0.0,0.000000,89.984,770063,38.305,38.262,0.5563,107.2,917514,9437296,2097184,0,0,0,23068784,0,7340112,1867803,57.000824,0.431450
backpropForward,1100,3600,input00,bpnn_layerforward_CUDA,0.17462,(1 4096 1) (16 16 1),32768.0,0.955938,0.9743999999999999,0.9262,5.095039,1.0,520192,35.763,376832,5.750000,34.286,196608,3.000000,0.45649999999999996,146024,26.012,147007,25.827,211496,36.429,196614,34.288,221184,154.33,1.000000,159744,111.47,1.000000,35.741,204800,34.317,34.298,0.46740000000000004,34.293,196608,0,0,6225920,0,8388608,124977152,27197440,0,8740864,266.750000,3.031607
binomialOptions,1100,3600,input00,binomialOptionsKernel,3.8011,(28 1 1) (256 1 1),224.0,0.227130,0.9059999999999999,0.9997,0.293477,1.0,1483104,4.1286,526176,7.813721,3.6685,467768,6.266317,0.0,63662,0.52071,15394,0.13161,585172,4.5449,467774,3.6703,9433116,296.17,1.993462,4793880,150.59,2.000000,4.1295,526176,3.6722,3.6722,0.0,4.1453,527968,223641600,74547200,745836,229488,114744,106538152,975324,149094400,20670580,9.2279e+04,0.345627
cfd,1100,3600,input00,cuda_compute_flux,0.13366999999999998,(506 1 1) (192 1 1),3036.0,0.359053,0.9582999999999999,0.9677,2.069950,0.9937999999999999,564907,267.18,1724738,13.858772,13.334,60720,4.000000,0.2973,258565,56.71,76207,16.87,1214732,267.73,60726,13.511,0,0.0,0.000000,0,0.0,0.000000,266.77,1211984,13.378,13.371,0.3106,110.65,497704,0,0,63204541,23233320,2336700,27545545,48728915,0,3628951,1.1953e+03,1.617265
conjugateGradient,1100,3600,input00,csrMv_kernel,0.31049,(32768 1 1) (4 32 1),131072.0,0.899577,0.9854,0.8929,3.730261,1.0,1310720,128.26,2752510,3.499997,12.822,131072,1.000000,0.5238,1055757,103.72,151885,14.984,1607407,157.3,131078,12.806,786432,307.91,1.000000,262144,102.58,1.000000,157.27,1604762,12.819,12.821,0.6215999999999999,256.38,2621440,0,0,16777210,3145726,0,149946354,17825788,0,12845056,98.000000,2.475391
convolutionSeparable,1100,3600,input00,convolutionRowsKernel,0.61027,(24 768 1) (16 4 1),36864.0,0.959308,0.9915999999999999,1.0,2.431894,1.0,36864,71.761,2924544,7.933333,57.857,1179648,4.000000,0.5,1183623,58.236,1180111,57.966,1465998,72.624,1179655,57.879,9510912,1866.5,2.000000,737280,144.72,2.000000,71.732,1462272,57.884,57.891,0.5,71.77,1462272,0,0,320864256,160432128,0,24772608,160432128,0,12091392,328.000000,1.161626
convolutionTexture,1100,3600,input00,convolutionRowsKernel,1.2479,(192 256 1) (16 12 1),294912.0,0.834802,0.9964,1.0,1.482094,1.0,589824,0.0,0,0.000000,28.088,1179648,4.000000,0.0,1196613,28.589,1181208,28.117,2369150,56.574,1179654,28.099,0,0.0,0.000000,0,0.0,0.000000,56.018,2353152,28.085,28.078,0.95,955.54,40108032,0,0,500170752,160432128,0,198180864,339738624,0,28016640,95.000000,1.303091
dxtc,1100,3600,input00,compress,2.4435,(12288 1 1) (64 1 1),24576.0,0.307064,0.9971,0.9627,4.061353,0.9895,16844829,18.951,3032056,7.875000,0.15259,12031,1.000000,0.5,44935,0.57316,8079,0.099182,1552600,19.305,12045,0.15259,2610937,130.62,1.391026,1012302,50.546,0.751198,18.959,1516028,0.15259,0.15259,0.498,18.924,1516028,0,0,2688230586,1037781368,15400920,1080884556,1690491609,0,122462331,5.0890e+03,2.983449
eigenvalues,1100,3600,input00,bisectKernel,1.3872,(1 1 1) (512 1 1),16.0,0.249990,0.0616,0.7203,0.800799,0.9981,153861,0.03624,3328,4.000000,0.0009765599999999999,64,4.000000,0.5,20748,0.40817000000000003,14,0.0,30734,0.34714,70,0.0009765599999999999,73677,6.32,1.012061,3549,0.3109,1.006523,0.03624,1664,0.0009765599999999999,0.0009765599999999999,0.5,0.03624,1664,0,0,14159586,5497564,784890,6064436,11074034,6156,1304361,8.1523e+04,0.868089
fastWalshTransform,1100,3600,input00,fwtBatch2Kernel,1.3539,(32768 1 1) (256 1 1),262144.0,0.826581,0.9963,1.0,1.015901,1.0,262144,92.225,8388608,8.000000,92.261,4194304,4.000000,0.5,4216805,92.742,4191667,93.31,4219038,93.89,4194310,92.939,0,0.0,0.000000,0,0.0,0.000000,93.387,4194304,93.406,93.356,0.5,92.141,4194304,0,0,67108864,0,0,310378496,67108864,0,17039360,65.000000,0.725527
gaussian,1100,3600,input00,Fan2,0.97309,(512 512 1) (4 4 1),131072.0,0.190175,0.8354,0.49939999999999996,1.481722,1.0,786227,78.95,5003482,6.361487,71.067,2326776,8.875351,0.4844,539060,16.48,523973,16.047,2594540,79.601,2326782,71.106,0,0.0,0.000000,0,0.0,0.000000,78.966,2584926,71.076,71.071,0.33149999999999996,48.042,1571484,0,0,8370202,4185101,0,146519912,4185101,0,13099582,49.970943,0.928986
histogram,1100,3600,input00,histogram256Kernel,2.003,(240 1 1) (192 1 1),1440.0,0.890473,0.7752,0.6612,2.203110,0.773,10767200,31.225,4194304,8.000000,0.11635,7680,4.000000,0.5,2121179,31.603,35420,0.54741,2158189,31.61,7686,0.11635,17327488,1031.7,2.128810,8669504,516.12,2.127214,31.206,2097152,0.11635,0.11635,0.5,31.214,2097152,0,0,0,0,0,571370240,0,0,49261632,3.4209e+04,1.826889
hotspot,1100,3600,input00,calculate_temp,0.10207,(37 37 1) (16 16 1),10952.0,0.723752,0.9451999999999999,0.9520000000000001,1.758246,1.0,153106,36.941,212576,9.704894,16.281,56421,5.204468,0.4011,65154,18.355,39236,11.861,128356,36.944,56427,16.463,75887,87.846,1.000000,32523,37.91,0.993220,36.774,127312,16.358,16.295,0.3804,25.104,86432,2621440,786432,11562496,4556032,1401856,30518720,8758784,1835008,2077217,189.665541,1.222690
