,appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,achieved_occupancy,warp_execution_efficiency,sm_activity,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput.1,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,flop_count_sp_special,inst_integer,inst_fp_32,inst_fp_64,inst_executed,inst_per_warp,executed_ipc,power/W
3,BlackScholes,607,715,input00,BlackScholesGPU,2.4541,(224000 1 1) (128 1 1),896000.0,0.9291370000000001,1.0,0.9968,3.541295,1.0,15232000,280.53,21504000,8.0,93.52,7168000,4.0,0.5,10752137,139.8,9021449,117.65,14336296,187.2,11362202,148.37,0,0.0,0.0,0,0.0,0.0,186.76,14336000,140.07,140.79,0.5,187.72,14336000,0,0,2907099420.0,974848000,258048000,716800000.0,2505691420,0,147840000,165.0,1.882452,91.64427966101697
4,BlackScholes,810,715,input00,BlackScholesGPU,1.8514,(224000 1 1) (128 1 1),896000.0,0.9179200000000001,1.0,0.9965,3.449929,1.0,15232000,365.87,21504000,8.0,121.93,7168000,4.0,0.5,10752191,182.64,8622464,146.47,14336284,243.35,11228676,190.6,0,0.0,0.0,0,0.0,0.0,243.85,14336000,182.89,182.82,0.5,243.75,14336000,0,0,2907099420.0,974848000,258048000,716800000.0,2505691420,0,147840000,165.0,1.8499259999999997,109.25284255319148
0,BlackScholes,1012,715,input00,BlackScholesGPU,1.4961,(224000 1 1) (128 1 1),896000.0,0.921277,1.0,0.9968,3.3357080000000003,1.0,15232000,444.85,21504000,8.0,148.46,7168000,4.0,0.5,10752160,222.08,8548111,175.89,14336224,296.24,11181839,231.06,0,0.0,0.0,0,0.0,0.0,296.98,14336000,222.74,222.6,0.5,296.81,14336000,0,0,2907099420.0,974848000,258048000,716800000.0,2505691420,0,147840000,165.0,1.802789,128.09426609442062
1,BlackScholes,1202,715,input00,BlackScholesGPU,1.3157,(224000 1 1) (128 1 1),896000.0,0.917689,1.0,0.9956,3.104107,1.0,15232000,498.0,21504000,8.0,165.98,7168000,4.0,0.5,10752115,248.3,8036356,185.52,14336226,331.67,11055643,255.77,0,0.0,0.0,0,0.0,0.0,332.32,14336000,249.24,249.55,0.5,332.74,14336000,0,0,2907099420.0,974848000,258048000,716800000.0,2505691420,0,147840000,165.0,1.703122,151.95567796610166
2,BlackScholes,1328,715,input00,BlackScholesGPU,1.2569,(224000 1 1) (128 1 1),896000.0,0.9167370000000001,1.0,0.9969,2.942679,1.0,15232000,519.01,21504000,8.0,172.82,7168000,4.0,0.5,10752123,258.85,8031858,193.29,14336350,345.59,11031447,265.92,0,0.0,0.0,0,0.0,0.0,346.4,14336000,259.8,260.16,0.5,346.89,14336000,0,0,2907099420.0,974848000,258048000,716800000.0,2505691420,0,147840000,165.0,1.618366,192.04297872340427
8,SobolQRNG,607,715,input00,sobolGPU_kernel,1.4884,(1 1000 1) (64 1 1),2000.0,0.48701400000000006,1.0,0.9881,2.7353520000000002,1.0,4123000,0.16308,8000,8.0,326.31,16384000,4.0,0.5,3758,0.076294,16802215,338.14,4193,0.08678400000000001,16922255,340.06,4108000,328.72,1.0,1000,0.081062,1.0,0.081062,4000,328.22,328.22,0.5,0.081062,4000,0,0,131072000.0,0,0,1838208000.0,131072000,0,86187000,43094.0,1.693891,82.20322784810126
9,SobolQRNG,810,715,input00,sobolGPU_kernel,1.2815,(1 1000 1) (64 1 1),2000.0,0.5205489999999999,1.0,0.9497,2.31118,1.0,4123000,0.18787,8000,8.0,378.81,16384000,4.0,0.5,3606,0.08297,16752020,369.5,4278,0.094414,16725186,369.95,4108000,380.22,1.0,1000,0.09346,1.0,0.089645,4000,363.34,362.69,0.5,0.089645,4000,0,0,131072000.0,0,0,1838208000.0,131072000,0,86187000,43094.0,1.552663,91.76044375
5,SobolQRNG,1012,715,input00,sobolGPU_kernel,1.2026,(1 1000 1) (64 1 1),2000.0,0.5379,1.0,0.9386,1.903627,1.0,4123000,0.20123,8000,8.0,404.27,16384000,4.0,0.5,3750,0.09346,16746625,406.23,4300,0.103,16554890,403.64,4108000,405.26,1.0,1000,0.10013999999999999,1.0,0.099182,4000,399.66,401.81,0.5,0.099182,4000,0,0,131072000.0,0,0,1838208000.0,131072000,0,86187000,43094.0,1.332294,97.55057594936709
6,SobolQRNG,1202,715,input00,sobolGPU_kernel,1.1581,(1 1000 1) (64 1 1),2000.0,0.541447,1.0,0.9404,1.65684,1.0,4123000,0.20885,8000,8.0,419.18,16384000,4.0,0.5,3020,0.07724800000000001,16657755,424.68,4248,0.10872000000000001,16575754,423.75,4108000,420.78,1.0,1000,0.10395,1.0,0.1049,4000,421.89,422.15,0.5,0.1049,4000,0,0,131072000.0,0,0,1838208000.0,131072000,0,86187000,43094.0,1.1664889999999999,111.2616
7,SobolQRNG,1328,715,input00,sobolGPU_kernel,1.1366,(1 1000 1) (64 1 1),2000.0,0.5430020000000001,1.0,0.9405,1.499871,1.0,4123000,0.21361999999999998,8000,8.0,426.24,16384000,4.0,0.5,2771,0.072479,16678981,437.3,4173,0.11158,16392206,432.22,4108000,429.43,1.0,1000,0.10586,1.0,0.10777,4000,433.63,433.12,0.5,0.10777,4000,0,0,131072000.0,0,0,1838208000.0,131072000,0,86187000,43094.0,1.0825069999999999,134.46849375000002
