appName,coreF,memF,argNo,kernel,power/W
BlackScholes,1012,715,input00,BlackScholesGPU,128.09426609442062
BlackScholes,1202,715,input00,BlackScholesGPU,151.95567796610166
BlackScholes,1328,715,input00,BlackScholesGPU,192.04297872340427
BlackScholes,607,715,input00,BlackScholesGPU,91.644279661016967
BlackScholes,810,715,input00,BlackScholesGPU,109.25284255319148
SobolQRNG,1012,715,input00,sobolGPU_kernel,97.550575949367087
SobolQRNG,1202,715,input00,sobolGPU_kernel,111.2616
SobolQRNG,1328,715,input00,sobolGPU_kernel,134.46849375000002
SobolQRNG,607,715,input00,sobolGPU_kernel,82.203227848101264
SobolQRNG,810,715,input00,sobolGPU_kernel,91.760443750000007
backpropBackward,1012,715,input00,bpnn_adjust_weights_cuda,93.671544871794879
backpropBackward,1202,715,input00,bpnn_adjust_weights_cuda,106.87146153846156
backpropBackward,1328,715,input00,bpnn_adjust_weights_cuda,129.3360258064516
backpropBackward,607,715,input00,bpnn_adjust_weights_cuda,81.184324840764319
backpropBackward,810,715,input00,bpnn_adjust_weights_cuda,87.519266233766231
backpropForward,1012,715,input00,bpnn_layerforward_CUDA,66.89490196078431
backpropForward,1202,715,input00,bpnn_layerforward_CUDA,81.943876623376624
backpropForward,1328,715,input00,bpnn_layerforward_CUDA,101.86022727272729
backpropForward,607,715,input00,bpnn_layerforward_CUDA,51.963647058823533
backpropForward,810,715,input00,bpnn_layerforward_CUDA,58.821461038961047
binomialOptions,1012,715,input00,binomialOptionsKernel,69.204951871657755
binomialOptions,1202,715,input00,binomialOptionsKernel,85.418572192513366
binomialOptions,1328,715,input00,binomialOptionsKernel,106.66554010695187
binomialOptions,607,715,input00,binomialOptionsKernel,52.89852432432432
binomialOptions,810,715,input00,binomialOptionsKernel,60.82640425531914
cfd,1012,715,input00,cuda_compute_flux,77.289065088757397
cfd,1202,715,input00,cuda_compute_flux,86.003910714285709
cfd,1328,715,input00,cuda_compute_flux,99.91924096385543
cfd,607,715,input00,cuda_compute_flux,69.885035928143722
cfd,810,715,input00,cuda_compute_flux,72.727283132530104
conjugateGradient,1012,715,input00,csrMv_kernel,89.07454819277109
conjugateGradient,1202,715,input00,csrMv_kernel,103.94026506024098
conjugateGradient,1328,715,input00,csrMv_kernel,125.45910909090907
