appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,achieved_occupancy,warp_execution_efficiency,sm_activity,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,flop_count_sp_special,inst_integer,inst_fp_32,inst_fp_64,inst_executed,inst_per_warp,executed_ipc
BlackScholes,1800,4500,input00,BlackScholesGPU,1.6024,(224000 1 1) (128 1 1),896000.0,0.871811,1.0,0.9974,3.145111,1.0,15232000,200.25,21504000,8.000000,133.35,7168000,4.000000,0.5,10752088,200.28,7166850,133.67,10752261,200.64,7168013,133.75,0,0.0,0.000000,0,0.0,0.000000,200.56,10752000,133.7,133.65,0.5,200.48,10752000,0,0,2907097257,974848000,258048000,688128000,2505689257,0,146048000,163.000000,2.310407
SobolQRNG,1800,4500,input00,sobolGPU_kernel,1.7514,(1 1000 1) (64 1 1),2000.0,0.955975,1.0,0.8754000000000001,1.731119,1.0,4119000,0.069618,8000,8.000000,281.35,16384000,4.000000,0.5,3918,0.068665,16380083,282.22,4254,0.076294,16384013,280.05,4108000,279.7,1.000000,1000,0.067711,1.000000,0.069618,4000,280.65,284.56,0.5,0.07057200000000001,4000,0,0,131072000,0,0,1838208000,131072000,0,86183000,4.3092e+04,1.427589
backpropBackward,1800,4500,input00,bpnn_adjust_weights_cuda,1.0185,(1 32768 1) (16 16 1),262144.0,0.968623,1.0,0.9964,0.314226,1.0,262145,141.7,14811161,8.071420,60.304,2621446,4.999992,0.5841,2293825,52.784,2226732,51.226,6160574,141.77,2621459,60.324,0,0.0,0.000000,0,0.0,0.000000,141.75,6160399,60.321,60.312,0.5563,168.88,7340042,75497584,16777248,0,0,0,184549488,0,58720336,15204379,58.000103,0.296471
backpropForward,1800,4500,input00,bpnn_layerforward_CUDA,0.47497,(1 32768 1) (16 16 1),262144.0,0.961922,0.9265000000000001,0.9937,4.997268,1.0,4423680,84.165,3014656,5.750000,80.825,1572864,3.000000,0.45649999999999996,1179707,60.65,1178868,60.29,1638520,83.762,1572877,80.395,1769472,361.74,1.000000,1277952,261.25,1.000000,83.744,1638400,80.394,80.383,0.46740000000000004,80.383,1572864,0,0,49807360,0,67108864,999817216,217579520,0,70189056,267.750000,3.062006
binomialOptions,1800,4500,input00,binomialOptionsKernel,41.896,(1024 1 1) (256 1 1),8192.0,0.966720,0.9997,0.9398000000000001,0.317448,1.0,54239232,13.527,19243008,7.813721,12.174,17106944,6.266317,0.0,3799514,2.1067,12583760,6.9626,19250824,10.679,17107350,9.4892,344982528,970.83,1.993462,175319040,491.81,2.000000,13.256,19243008,11.785,11.983,0.0,13.526,19308544,8178892800,2726297600,27276288,8392704,4196352,3896252416,35668992,5452595200,713354240,8.7079e+04,0.353446
cfd,1800,4500,input00,cuda_compute_flux,0.13451,(1212 1 1) (192 1 1),7272.0,0.359460,0.9693999999999999,0.9662999999999999,1.825022,0.9934999999999999,1353878,550.22,4168816,13.983591,27.129,145440,4.000000,0.29309999999999997,613308,116.27,146680,27.82,2949211,551.2,145453,27.183,0,0.0,0.000000,0,0.0,0.000000,549.66,2946838,27.128,27.117,0.3066,222.34,1192453,0,0,151716930,55771603,5610519,67457799,116960851,0,8855624,1.2178e+03,1.469774
conjugateGradient,1800,4500,input00,csrMv_kernel,1.1244,(262144 1 1) (4 32 1),1048576.0,0.901906,0.8764,0.9968,2.362412,1.0,14680064,268.0,22020094,6.999999,26.789,1048576,1.000000,0.5238,8388733,214.34,1083379,27.684,12835028,328.02,1048589,26.798,6291456,664.75,1.000000,2097152,219.6,1.000000,327.85,12834563,26.784,26.788,0.6217,535.77,20971520,0,0,134217722,25165822,0,1199570930,142606332,0,95420416,91.000000,2.063442
convolutionSeparable,1800,4500,input00,convolutionRowsKernel,2.385,(80 2560 1) (16 4 1),409600.0,0.950200,1.0,0.9984999999999999,2.133083,1.0,1228800,184.72,32686080,8.000000,161.58,13107200,4.000000,0.5,13107593,148.2,13104027,161.74,16343498,200.84,13107213,161.06,105676800,5333.0,2.000000,8192000,412.59,2.000000,189.48,16343040,151.97,148.15,0.5,184.73,16343040,0,0,3565158400,1782579200,0,275251200,1782579200,0,133928960,326.975000,1.161366
convolutionTexture,1800,4500,input00,convolutionRowsKernel,5.5082,(640 854 1) (16 12 1),3279360.0,0.828162,1.0,0.9994,1.278063,1.0,6556160,0.0,0,0.000000,71.182,13107200,4.000000,0.0,13107556,61.455,13106188,61.448,26194353,130.64,13107213,65.366,0,0.0,0.000000,0,0.0,0.000000,141.64,26193920,70.874,61.426,0.95,2088.5,445644800,0,0,5557452800,1782579200,0,2202992640,3774873600,0,311347200,94.941452,1.230347
dxtc,1800,4500,input00,compress,1.1379,(16384 1 1) (64 1 1),32768.0,0.306692,0.9627,0.9961,4.021229,0.9895,22937651,43.388,4128759,7.875000,0.35191000000000006,16383,1.000000,0.5,38,0.0,0,0.0,2067336,43.449,16396,0.35191000000000006,3555321,298.95,1.391026,1378415,115.92,0.751179,43.394,2064379,0.35095,0.35095,0.498,43.394,2064379,0,0,3660571608,1413149985,20971478,1471843202,2301947467,0,166757284,5.0890e+03,2.965526
eigenvalues,1800,4500,input00,bisectKernel,1.731,(1 1 1) (512 1 1),16.0,0.249997,0.7147,0.035699999999999996,1.536831,0.9989,524489,0.045776000000000004,6656,8.000000,0.0009765599999999999,128,4.000000,0.5,16,0.0,0,0.0,3431,0.049591,141,0.0019073,258578,14.243,1.011089,6955,0.39101,1.256095,0.04673,3328,0.0009765599999999999,0.0009765599999999999,0.5,0.04673,3328,0,0,51391406,19969330,2851891,20909078,40071564,11162,4478945,2.7993e+05,1.448596
fastWalshTransform,1800,4500,input00,fwtBatch2Kernel,6.072,(262144 1 1) (256 1 1),2097152.0,0.842591,1.0,0.9992,0.612251,1.0,2097152,164.68,67108864,8.000000,164.6,33554432,4.000000,0.5,33554769,165.49,33553813,166.19,33554814,165.39,33554464,165.39,0,0.0,0.000000,0,0.0,0.000000,166.42,33554432,166.42,165.43,0.5,165.43,33554432,0,0,536870912,0,0,2483027968,536870912,0,136314880,65.000000,0.467625
gaussian,1800,4500,input00,Fan2,8.889,(2048 2048 1) (4 4 1),2097152.0,0.390818,0.4999,0.9690000000000001,0.472558,1.0,12582092,130.18,80175936,6.371619,118.67,37304056,8.893833,0.48469999999999996,10687591,32.727,10010649,31.822,41404378,132.63,37304069,119.5,0,0.0,0.000000,0,0.0,0.000000,133.04,41403755,119.87,122.44,0.33159999999999995,82.582,25160297,0,0,134144026,67072013,0,2347686248,67072013,0,209684696,49.992727,0.520197
histogram,1800,4500,input00,histogram256Kernel,2.3674,(240 1 1) (192 1 1),1440.0,0.803301,0.6607,0.9366,2.208614,0.7728,43015520,86.47,16777216,8.000000,0.080109,7680,4.000000,0.5,8388798,86.468,9270,0.09727500000000001,8388919,94.181,7693,0.087738,69275392,3073.8,2.130009,34643456,1539.6,2.129609,86.526,8388608,0.080109,0.080109,0.5,86.507,8388608,0,0,0,0,0,2280965120,0,0,196738368,1.3662e+05,1.829237
hotspot,1800,4500,input00,calculate_temp,0.26262,(64 64 1) (16 16 1),32768.0,0.734560,0.8401000000000001,0.9731000000000001,1.047015,1.0,1031680,34.628,516128,7.937500,2.9355,32768,2.000000,0.252,17129,1.5404,29185,2.6217,386299,34.665,32781,2.9383,684544,245.75,0.975912,244224,87.537,0.935294,34.595,386080,2.9355,2.9365,0.2799,23.313,260096,20449840,6134952,39637216,13631488,4194304,149611648,31248608,14314888,11922176,363.835938,0.925751
matrixMulGlobal,1800,4500,input00,matrixMulCUDA,36.044,(64 64 1) (32 32 1),131072.0,0.971604,1.0,0.9959,3.985897,1.0,67764224,1110.8,3221225472,6.000000,0.4425,524288,4.000000,0.5832999999999999,35164419,29.133,525874,0.4425,1342179834,1099.3,524662,0.43869,0,0.0,0.000000,0,0.0,0.000000,1099.8,1342177280,0.43869,0.44060000000000005,0.5832999999999999,1767.0,2147483648,0,0,1.7180e+10,8589934592,0,1.1388e+11,8589934592,0,4635099136,3.5363e+04,2.608265
matrixMulShared,1800,4500,input00,matrixMulCUDA,10.218,(64 64 1) (32 32 1),131072.0,0.996849,1.0,0.9954999999999999,1.811764,1.0,8650752,178.36,134217728,8.000000,1.424,524288,4.000000,0.5,34551166,82.846,525791,1.2657,67109841,161.76,524306,1.2629,402653184,4517.2,1.200000,16777216,188.73,1.000000,161.71,67108864,1.2619,1.356,0.5,173.72,67108864,0,0,1.7180e+10,8589934592,0,3615490048,8589934592,0,777650176,5.9330e+03,1.587815
mergeSort,1800,4500,input00,mergeSortSharedKernel,0.78346,(4096 1 1) (512 1 1),65536.0,0.985665,1.0,0.9904999999999999,4.679732,1.0,9306112,32.529,2097152,8.000000,32.553,1048576,4.000000,0.5,1048702,32.53,1041869,32.309,1048999,32.553,1048589,32.542,15151601,1880.4,1.501267,5716098,709.54,1.982289,32.553,1048576,32.553,32.562,0.5,32.562,1048576,0,0,0,0,0,1998585856,0,0,99483648,1.5180e+03,2.622572
nn,1800,4500,input00,euclid,0.28334,(32768 1 1) (256 1 1),262144.0,0.882329,1.0,0.9862000000000001,1.311175,1.0,1310720,436.4,4194304,8.000000,108.93,1048576,4.000000,0.0,2097198,218.3,1046105,108.88,4194468,436.97,1048589,109.24,0,0.0,0.000000,0,0.0,0.000000,435.89,4194304,108.97,109.1,0.16670000000000001,218.21,2097152,0,0,100663296,25165824,8388608,142606336,83886080,0,10747904,41.000000,0.954393
pathfinder,1800,4500,input00,dynproc_kernel,2.14,(9143 1 1) (256 1 1),73144.0,0.988133,0.9406,0.997,2.752692,1.0,34852668,290.72,36696572,6.849762,1.0021,73143,3.999945,0.36619999999999997,6468941,80.965,65840,0.84209,23257910,322.49,73156,1.0133,21136856,1169.1,0.914533,10623278,579.4,0.843211,308.2,23257551,0.99182,0.9835,0.3664,258.89,19235163,0,0,0,0,0,3739891640,0,0,259452078,3.5471e+03,2.410678
quasirandomGenerator,1800,4500,input00,quasirandomGeneratorKernel,1.5728,(128 1 1) (128 3 1),1536.0,0.655615,1.0,0.9004000000000001,8.864844,1.0,3196416,0.0,0,0.000000,188.06,12582912,4.000000,0.0,110,0.0009765599999999999,9135151,136.46,278,0.007629400000000001,12582925,188.01,0,0.0,0.000000,0,0.0,0.000000,0.0,0,188.05,187.92,0.5,0.0,0,0,0,100663296,0,0,6946603008,100663296,0,229725696,1.4956e+05,3.231353
reduction,1800,4500,input00,reduce2,1.9901,(262144 1 1) (256 1 1),2097152.0,0.913727,0.9541,0.9984000000000001,2.249943,1.0,64225280,109.77,16777216,8.000000,3.4301,262144,1.000000,0.5,8388726,109.81,34557,0.46158,8388850,111.62,262157,3.4878,6553600,372.29,1.000000,5242880,274.46,1.000000,109.81,8388608,3.431,3.4068,0.49229999999999996,109.05,8388608,0,0,66846720,0,0,2415919104,66846720,0,189005824,90.125000,2.081897
scalarProd,1800,4500,input00,scalarProdGPU,5.9315,(128 1 1) (256 1 1),1024.0,0.574639,0.9831,0.9429000000000001,0.658170,1.0,45156352,338.03,134217728,8.000000,0.3376,65536,1.000000,0.5,67109187,337.01,51776,0.26703,67109296,338.49,65549,0.3376,4784128,96.548,1.000000,4456448,89.924,1.000000,338.5,67108864,0.3376,0.3376,0.49979999999999997,338.51,67108864,0,0,603914240,268435456,0,2164359168,335478784,0,182392832,1.7812e+05,0.640412
scanScanExclusiveShared,1800,4500,input00,scanExclusiveShared,1.5093,(65536 1 1) (256 1 1),524288.0,0.958323,1.0,0.9968,0.966058,1.0,5242880,166.17,8388608,16.000000,166.17,8388608,16.000000,0.0,8388702,165.83,8385878,165.85,8388891,165.9,8388621,165.89,8912896,706.67,1.000000,5242880,415.06,1.000000,166.0,8388608,166.0,166.06,0.0,166.06,8388608,0,0,0,0,0,1023410176,0,0,63963136,122.000000,1.068225
scanUniformUpdate,1800,4500,input00,uniformUpdate,1.5051,(65536 1 1) (256 1 1),524288.0,0.867531,0.9706,0.9967,0.185332,1.0,1638400,167.2,8454144,14.333333,165.83,8388608,16.000000,0.0,8396926,165.98,8385843,166.43,8454358,167.39,8388621,166.09,524288,41.545,1.000000,65536,5.1791,1.000000,167.87,8454144,166.57,166.1,0.0,167.4,8454144,0,0,0,0,0,167903232,0,0,10813440,20.625000,0.179826
