,appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,achieved_occupancy,sm_efficiency,warp_execution_efficiency,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput.1,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,flop_count_sp_special,inst_integer,inst_fp_32,inst_fp_64,inst_executed,inst_per_warp,ipc,power/W
3,BlackScholes,802,877,input00,BlackScholesGPU,0.973,(224000 1 1) (128 1 1),896000.0,0.844461,0.9932,1.0,9.747258,1.0,73472000,333.11,10752000,4.0,220.03,7168000,4.0,0.0,10752039,332.09,7167469,239.44,10752110,329.91,7798440,221.83,0,0.0,0.0,0,0.0,0.0,332.29,10752000,220.28,220.25,0.0,443.45,3584000,0,0,2849755420.0,974848000,258048000,688128000.0,2391003420,0,141568000,158.0,2.299101,142.7021
4,BlackScholes,945,877,input00,BlackScholesGPU,0.8291299999999999,(224000 1 1) (128 1 1),896000.0,0.8448120000000001,0.993,1.0,9.4738,1.0,73472000,387.49,10752000,4.0,257.11,7168000,4.0,0.0,10752044,387.78,7167400,279.48,10752128,385.0,7803703,258.06,0,0.0,0.0,0,0.0,0.0,387.53,10752000,256.56,256.83,0.0,517.05,3584000,0,0,2849755420.0,974848000,258048000,688128000.0,2391003420,0,141568000,158.0,2.2777819999999998,161.26310000000004
0,BlackScholes,1087,877,input00,BlackScholesGPU,0.76522,(224000 1 1) (128 1 1),896000.0,0.851993,0.9931,1.0,8.568211,1.0,73472000,421.56,10752000,4.0,274.91,7168000,4.0,0.0,10752022,421.46,7167433,300.44,10752116,413.09,7819204,280.77,0,0.0,0.0,0,0.0,0.0,421.08,10752000,275.45,276.9,0.0,560.83,3584000,0,0,2849755420.0,974848000,258048000,688128000.0,2391003420,0,141568000,158.0,2.156619,185.29323
1,BlackScholes,1237,877,input00,BlackScholesGPU,0.7377600000000001,(224000 1 1) (128 1 1),896000.0,0.8634350000000001,0.9935,1.0,7.41175,1.0,73472000,434.59,10752000,4.0,279.24,7168000,4.0,0.0,10752016,434.85,7167439,311.69,10752132,424.43,7918503,290.09,0,0.0,0.0,0,0.0,0.0,434.8,10752000,283.05,286.39,0.0,579.6,3584000,0,0,2849755420.0,974848000,258048000,688128000.0,2391003420,0,141568000,158.0,1.9543700000000002,214.38769
2,BlackScholes,1380,877,input00,BlackScholesGPU,0.7295,(224000 1 1) (128 1 1),896000.0,0.871798,0.9937,1.0,6.513803,1.0,73472000,439.23,10752000,4.0,279.95,7168000,4.0,0.0,10752028,439.52,7167455,317.7,10752143,428.29,7874689,292.96,0,0.0,0.0,0,0.0,0.0,439.62,10752000,287.96,288.84,0.0,585.96,3584000,0,0,2849755420.0,974848000,258048000,688128000.0,2391003420,0,141568000,158.0,1.763468,212.20969999999997
8,SobolQRNG,802,877,input00,sobolGPU_kernel,0.8057799999999999,(1 1000 1) (64 1 1),2000.0,0.380995,0.9117,1.0,2.927221,1.0,24664000,0.15102000000000002,4000,4.0,581.17,16384000,4.0,0.0,3665,0.13126,16380781,574.69,4191,0.14603,16866169,577.77,4415458,658.0,1.0799940000000001,1001,0.15109,1.001364,0.14454,4000,557.49,553.9,0.0,603.3,4111000,0,0,131072000.0,0,0,2100320000.0,131072000,0,86170000,43085.0,1.799277,117.90865999999995
9,SobolQRNG,945,877,input00,sobolGPU_kernel,0.69562,(1 1000 1) (64 1 1),2000.0,0.38131,0.9119,1.0,2.83051,1.0,24664000,0.17493,4000,4.0,675.19,16384000,4.0,0.0,3672,0.15747999999999998,16380673,669.67,4107,0.16837000000000002,16925772,672.03,4410108,756.44,1.07807,1001,0.1751,1.001,0.16758,4000,649.45,655.57,0.0,702.81,4111000,0,0,131072000.0,0,0,2100320000.0,131072000,0,86170000,43085.0,1.775932,129.37260999999998
5,SobolQRNG,1087,877,input00,sobolGPU_kernel,0.67108,(1 1000 1) (64 1 1),2000.0,0.38239,0.9179,1.0,2.5182,1.0,24664000,0.18208,4000,4.0,702.72,16384000,4.0,0.0,3646,0.16066999999999998,16380772,704.01,4157,0.17667,16975302,701.37,4373706,774.4,1.0679319999999999,1001,0.18087,1.001455,0.17594,4000,684.5,686.86,0.0,725.98,4111000,0,0,131072000.0,0,0,2100320000.0,131072000,0,86170000,43085.0,1.5922889999999998,142.76798
6,SobolQRNG,1237,877,input00,sobolGPU_kernel,0.65446,(1 1000 1) (64 1 1),2000.0,0.383984,0.9212,1.0,2.234636,1.0,24664000,0.18604,4000,4.0,716.92,16384000,4.0,0.0,3692,0.1666,16380839,736.12,4142,0.18313,16962763,730.61,4345094,790.4,1.059739,1001,0.18645,1.0012729999999999,0.18235,4000,713.41,722.37,0.0,746.31,4111000,0,0,131072000.0,0,0,2100320000.0,131072000,0,86170000,43085.0,1.437165,162.12400999999997
7,SobolQRNG,1380,877,input00,sobolGPU_kernel,0.64423,(1 1000 1) (64 1 1),2000.0,0.384427,0.9219,1.0,2.001413,1.0,24664000,0.18879,4000,4.0,726.75,16384000,4.0,0.0,3659,0.17148,16380919,755.49,4158,0.19705999999999999,16752086,744.12,4319480,798.0,1.05313,1001,0.18893,1.002273,0.18752,4000,737.66,738.47,0.0,759.68,4111000,0,0,131072000.0,0,0,2100320000.0,131072000,0,86170000,43085.0,1.302984,189.97353
13,backpropBackward,802,877,input00,bpnn_adjust_weights_cuda,0.21197,(1 32768 1) (16 16 1),262144.0,0.9308489999999999,0.9688,1.0,1.9076419999999998,1.0,1835015,836.05,5970451,3.253707,363.26,2621446,4.999992,0.7382,2291110,321.29,2228564,312.62,2431574,339.77,2621462,367.08,0,0.0,0.0,0,0.0,0.0,340.48,2431066,366.44,366.28,0.4246,1358.0,2424605,75497584,16777248,0.0,0,0,75497520.0,0,58720336,11534359,44.000088,0.86313,110.01254000000004
14,backpropBackward,945,877,input00,bpnn_adjust_weights_cuda,0.18411,(1 32768 1) (16 16 1),262144.0,0.9330219999999999,0.9688,1.0,1.816625,1.0,1835015,956.3,5970250,3.253373,417.6,2621446,4.999992,0.7384000000000001,2290642,367.48,2228570,357.69,2433481,388.56,2621462,420.1,0,0.0,0.0,0,0.0,0.0,389.36,2428921,419.44,419.44,0.4249,1554.7,2424029,75497584,16777248,0.0,0,0,75497520.0,0,58720336,11534359,44.000088,0.83375,121.63942999999998
10,backpropBackward,1087,877,input00,bpnn_adjust_weights_cuda,0.18328,(1 32768 1) (16 16 1),262144.0,0.941106,0.9704,1.0,1.546324,1.0,1835015,962.27,5968103,3.252455,421.78,2621446,4.999992,0.7391,2291060,370.23,2228561,360.2,2428632,390.35,2621462,423.13,0,0.0,0.0,0,0.0,0.0,391.14,2428186,422.06,422.2,0.425,1563.2,2423069,75497584,16777248,0.0,0,0,75497520.0,0,58720336,11534359,44.000088,0.7327199999999999,114.62122999999998
