appName,coreF,memF,argNo,kernel,power/W
BlackScholes,1087,877,input00,BlackScholesGPU,185.29322999999997
BlackScholes,1237,877,input00,BlackScholesGPU,214.38769
BlackScholes,1380,877,input00,BlackScholesGPU,212.20969999999994
BlackScholes,802,877,input00,BlackScholesGPU,142.7021
BlackScholes,945,877,input00,BlackScholesGPU,161.26310000000004
SobolQRNG,1087,877,input00,sobolGPU_kernel,142.76798
SobolQRNG,1237,877,input00,sobolGPU_kernel,162.12400999999997
SobolQRNG,1380,877,input00,sobolGPU_kernel,189.97352999999998
SobolQRNG,802,877,input00,sobolGPU_kernel,117.90865999999997
SobolQRNG,945,877,input00,sobolGPU_kernel,129.37260999999998
backpropBackward,1087,877,input00,bpnn_adjust_weights_cuda,114.62122999999998
backpropBackward,1237,877,input00,bpnn_adjust_weights_cuda,146.16194000000004
backpropBackward,1380,877,input00,bpnn_adjust_weights_cuda,168.45702
backpropBackward,802,877,input00,bpnn_adjust_weights_cuda,110.01254000000003
backpropBackward,945,877,input00,bpnn_adjust_weights_cuda,121.63942999999998
backpropForward,1087,877,input00,bpnn_layerforward_CUDA,144.20922000000002
backpropForward,1237,877,input00,bpnn_layerforward_CUDA,174.56536
backpropForward,1380,877,input00,bpnn_layerforward_CUDA,182.84062000000003
backpropForward,802,877,input00,bpnn_layerforward_CUDA,111.05109
backpropForward,945,877,input00,bpnn_layerforward_CUDA,124.96019999999999
binomialOptions,1087,877,input00,binomialOptionsKernel,128.11773000000002
binomialOptions,1237,877,input00,binomialOptionsKernel,162.21860000000004
binomialOptions,1380,877,input00,binomialOptionsKernel,167.85745
binomialOptions,802,877,input00,binomialOptionsKernel,93.50885999999997
binomialOptions,945,877,input00,binomialOptionsKernel,107.73451000000001
cfd,1087,877,input00,cuda_compute_flux,97.79662000000002
cfd,1237,877,input00,cuda_compute_flux,110.11089000000001
cfd,1380,877,input00,cuda_compute_flux,143.075
cfd,802,877,input00,cuda_compute_flux,91.12742
cfd,945,877,input00,cuda_compute_flux,101.50267
conjugateGradient,1087,877,input00,csrMv_kernel,121.30023000000003
conjugateGradient,1237,877,input00,csrMv_kernel,122.56523000000001
conjugateGradient,1380,877,input00,csrMv_kernel,164.54781
conjugateGradient,802,877,input00,csrMv_kernel,99.96693
conjugateGradient,945,877,input00,csrMv_kernel,111.15571999999999
