appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,achieved_occupancy,sm_efficiency,warp_execution_efficiency,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,flop_count_sp_special,inst_integer,inst_fp_32,inst_fp_64,inst_executed,inst_per_warp,ipc
matrixMulGlobal,1087,877,input00,matrixMulCUDA,10.845,(64 64 1) (32 32 1),131072.0,0.990387,0.9851000000000001,1.0,13.253670,1.0,407371776,3688.2,1342177280,2.500000,1.4408,524288,4.000000,0.9521,14297886,39.31,533943,1.6728,63675751,174.72,526278,1.4545,0,0.0,0.000000,0,0.0,0.000000,175.19,63665248,1.4408,1.4407,0.9521999999999999,5905.5,537264128,0,0,1.7180e+10,8589934592,0,2.7993e+10,8589934592,0,1816657920,1.3860e+04,1.954573
matrixMulGlobal,1237,877,input00,matrixMulCUDA,9.5646,(64 64 1) (32 32 1),131072.0,0.990116,0.9852,1.0,13.085313,1.0,407371776,4181.8,1342177280,2.500000,1.6332,524288,4.000000,0.9523,14286766,44.497,533949,1.8967,63519888,197.77,526276,1.6492,0,0.0,0.000000,0,0.0,0.000000,198.23,63459036,1.6333,1.6331,0.9523999999999999,6695.1,537264128,0,0,1.7180e+10,8589934592,0,2.7993e+10,8589934592,0,1816657920,1.3860e+04,1.946893
matrixMulGlobal,1380,877,input00,matrixMulCUDA,8.5688,(64 64 1) (32 32 1),131072.0,0.989788,0.9854999999999999,1.0,12.927492,1.0,407371776,4664.5,1342177280,2.500000,1.8222,524288,4.000000,0.9526,14275796,49.605,534461,2.121,63272570,219.61,524324,1.8416,0,0.0,0.000000,0,0.0,0.000000,220.02,63208020,1.8223,1.8222,0.9525,7469.6,537264128,0,0,1.7180e+10,8589934592,0,2.7993e+10,8589934592,0,1816657920,1.3860e+04,1.941308
matrixMulGlobal,802,877,input00,matrixMulCUDA,14.654,(64 64 1) (32 32 1),131072.0,0.990866,0.9852,1.0,13.463207,1.0,407371776,2729.4,1342177280,2.500000,1.0662,524288,4.000000,0.9523999999999999,14332135,29.153,534246,1.2414,63457891,129.08,524323,1.077,0,0.0,0.000000,0,0.0,0.000000,129.0,63444498,1.0662,1.0663,0.9523999999999999,4370.2,537264128,0,0,1.7180e+10,8589934592,0,2.7993e+10,8589934592,0,1816657920,1.3860e+04,1.961750
matrixMulGlobal,945,877,input00,matrixMulCUDA,12.353,(64 64 1) (32 32 1),131072.0,0.991618,0.9843000000000001,1.0,13.369626,1.0,407371776,3237.5,1342177280,2.500000,1.2648,524288,4.000000,0.9521,15015019,37.062,534329,1.4688,63599933,153.36,526279,1.2775,0,0.0,0.000000,0,0.0,0.000000,153.71,63639105,1.2647,1.2647,0.9521999999999999,5184.3,537264128,0,0,1.7180e+10,8589934592,0,2.7993e+10,8589934592,0,1816657920,1.3860e+04,1.959238
quasirandomGenerator,1087,877,input00,quasirandomGeneratorKernel,2.2287,(128 1 1) (128 3 1),1536.0,0.320489,0.7979999999999999,1.0,8.694755,1.0,18945024,0.0,0,0.000000,168.15,12582912,4.000000,0.3882,146,0.0006890199999999999,8153571,137.31,249,0.0044467,13695329,168.2,0,0.0,0.000000,0,0.0,0.000000,0.0,0,168.02,168.09,0.0,0.16815000000000002,3072,0,0,100663296,0,0,9966354432,100663296,0,324089856,2.1100e+05,2.090081
quasirandomGenerator,1237,877,input00,quasirandomGeneratorKernel,1.9583,(128 1 1) (128 3 1),1536.0,0.320456,0.7987000000000001,1.0,8.694654,1.0,18945024,0.0,0,0.000000,191.01,12582912,4.000000,0.3836,63,0.00099026,8240004,145.02,273,0.0031989,13447359,191.37,0,0.0,0.000000,0,0.0,0.000000,0.0,0,191.32,191.0,0.0,0.19144,3072,0,0,100663296,0,0,9966354432,100663296,0,324089856,2.1100e+05,2.090288
quasirandomGenerator,1380,877,input00,quasirandomGeneratorKernel,1.7566,(128 1 1) (128 3 1),1536.0,0.320502,0.7946,1.0,8.695504,1.0,18945024,0.0,0,0.000000,213.4,12582912,4.000000,0.3839,107,0.0008366799999999999,8187539,151.81,260,0.0048774,12629349,213.35,0,0.0,0.000000,0,0.0,0.000000,0.0,0,213.73,213.7,0.0,0.21333000000000002,3072,0,0,100663296,0,0,9966354432,100663296,0,324089856,2.1100e+05,2.090107
quasirandomGenerator,802,877,input00,quasirandomGeneratorKernel,3.0239,(128 1 1) (128 3 1),1536.0,0.320464,0.7983,1.0,8.692722,1.0,18945024,0.0,0,0.000000,124.02,12582912,4.000000,0.384,606,0.00038051999999999997,8188716,117.98,367,0.0029358,15649557,123.92,0,0.0,0.000000,0,0.0,0.000000,0.0,0,124.01,124.03,0.0,0.12402,3072,0,0,100663296,0,0,9966354432,100663296,0,324089856,2.1100e+05,2.090502
quasirandomGenerator,945,877,input00,quasirandomGeneratorKernel,2.5447,(128 1 1) (128 3 1),1536.0,0.320419,0.7986,1.0,8.691947,1.0,18945024,0.0,0,0.000000,146.09,12582912,4.000000,0.3847,98,0.0010529,8197032,132.38,239,0.0028363,14143431,147.26,0,0.0,0.000000,0,0.0,0.000000,0.0,0,146.11,146.13,0.0,0.14613,3072,0,0,100663296,0,0,9966354432,100663296,0,324089856,2.1100e+05,2.090378
