appName,coreF,memF,argNo,kernel,power/W
matrixMulGlobal,1087,877,input00,matrixMulCUDA,129.62925999999996
matrixMulGlobal,1237,877,input00,matrixMulCUDA,164.04074
matrixMulGlobal,1380,877,input00,matrixMulCUDA,212.11238999999998
matrixMulGlobal,802,877,input00,matrixMulCUDA,99.71140000000001
matrixMulGlobal,945,877,input00,matrixMulCUDA,115.07193
quasirandomGenerator,1087,877,input00,quasirandomGeneratorKernel,102.31584999999997
quasirandomGenerator,1237,877,input00,quasirandomGeneratorKernel,122.59807000000002
quasirandomGenerator,1380,877,input00,quasirandomGeneratorKernel,153.69011000000003
quasirandomGenerator,802,877,input00,quasirandomGeneratorKernel,76.92439
quasirandomGenerator,945,877,input00,quasirandomGeneratorKernel,89.76531999999999
