appName,coreF,memF,argNo,sparsity,N,kernel,time/ms,blocks,warps,achieved_occupancy,sm_activity,warp_execution_efficiency,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,flop_count_sp_special,inst_integer,inst_fp_32,inst_fp_64,inst_executed,inst_per_warp,executed_ipc
cusparse,1417,5005,input00,0.98,500,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",0.062756,(8 1 83) (2 64 1),2656,0.92183,0.8293,0.7039,1.155544,0.9475,383543,111.9,323700,7.303371,13.377,35109,4.40625,0.1074,32071,12.43,22900,8.7703,1895261,743.67,77618,30.224,168656,256.39,0.984496,138776,216.09,0.995238,719.21,1889616,29.731,29.767,0.3262,354.07,910842,0,0,6458064,2719080,0,25642601,3987984,0,2449994,922.4375,0.967717
cusparse,1417,5005,input01,0.98,1000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",0.55715,(16 1 166) (2 64 1),10624,0.966709,0.9714,0.6727,0.931063,0.9623,2938034,91.147,2452152,8.107574,6.6133,124500,3.90625,0.3003,148764,7.9367,210253,11.196,16741912,888.92,294497,15.657,1779520,377.66,0.994065,1320032,281.14,0.997992,887,16729428,15.656,15.615,0.2427,353.87,6658260,0,0,54278016,21019584,0,183999546,34254432,0,18875528,1.78E+03,0.882889
cusparse,1417,5005,input02,0.98,1500,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",1.9247,(24 1 250) (2 64 1),24000,0.976344,0.9924,0.6942,0.621379,0.9594,6783250,87.312,8126000,8.644681,4.8932,316500,4.489362,0.3044,381414,5.8906,575617,8.8988,58872901,910.16,700514,10.828,4018500,248.34,0.994063,2982000,184.34,0.997992,909.42,58866491,10.828,10.828,0.2045,335.58,21649500,0,0,167730000,70041000,0,475814000,99939000,0,46734750,1.95E+03,0.621277
cusparse,1417,5005,input03,0.98,2000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",3.6251,(63 1 333) (4 32 1),83916,0.969183,0.9978,0.7252,0.513347,0.9586,12851136,84.275,18946035,8.873206,3.2149,499500,3.968254,0.3092,599271,3.8613,1424396,9.1335,135964358,884.15,1842173,11.656,7153839,181.08,0.982709,5349645,135.47,0.992218,860.02,135980168,11.662,11.661,0.223,320.89,50699583,0,0,376331292,163997838,0,1024156818,216329454,0,94838067,1.13E+03,0.514271
cusparse,1417,5005,input04,0.98,3000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",12.274,(94 1 500) (4 32 1),188000,0.975729,0.9992,0.7523,0.38665,0.9548,29948500,106.42,63585000,9.321947,2.7232,1125000,3.989362,0.3105,2310080,4.4229,3735411,7.119,473197756,1099.2,4133020,7.8706,16027000,151.24,0.982709,11985000,115.64,0.992218,1141.1,473133344,9.9661,9.967,0.1936,402.69,166948000,0,0,1207506000,549609000,0,2780874000,666897000,0,245223000,1.30E+03,0.392157
cusparse,1417,5005,input05,0.98,4000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",29.739,(125 1 666) (4 32 1),333000,0.980164,0.9995,0.7055,0.486853,0.9739,100260972,79.138,129365838,8.319471,2.0014,1998000,4,0.3895,18749199,18.779,7326507,7.3388,1176519091,1178.8,7326026,7.3398,71012250,284.59,0.993015,49200750,181.1,0.996627,1138.8,1176384205,7.3398,7.3388,0.1356,389.33,388627650,0,0,3099561336,1294036668,0,7741635948,1821508668,0,747126126,2.24E+03,0.500541
cusparse,1417,5005,input06,0.98,5000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",59.559,(157 1 833) (4 32 1),523124,0.982995,0.9997,0.7228,0.410823,0.9736,160196729,76.492,251241963,8.487,1.5628,3123750,3.980892,0.3916,84394838,42.279,11492997,5.75,2307130207,1154.6,11493752,5.1418,111556193,223.29,0.993015,77291571,154.72,0.996627,1154.3,2306947254,5.7165,5.7509,0.1274,375.99,751326849,0,0,5833355724,2514918630,0,1.34E+10,3343427094,0,1256523023,2.40E+03,0.423053
cusparse,1417,5005,input07,0.98,6000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",102.31,(188 1 1000) (4 32 1),752000,0.985426,0.9998,0.7392,0.367936,0.9732,234383000,77.04,433560000,8.603747,1.3094,4500000,3.989362,0.3901,170996686,49.114,16531770,4.7553,4015955262,1166.9,16532170,4.8149,160364000,186.51,0.993015,111108000,126.21,0.996627,1164.5,4015632971,4.7851,4.7749,0.1209,374.65,1294210000,0,0,9853440000,4349184000,0,2.13E+10,5540256000,0,1931895000,2.57E+03,0.378682
cusparse,1417,5005,input08,0.98,7000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",166.25,(438 1 1166) (8 16 1),2042832,0.980628,0.9999,0.7649,0.343742,0.9735,335452370,74.916,687282376,8.690926,1.641,9178752,5.990868,0.3922,313154919,56.144,38809250,6.9458,6353426164,1136.5,41864225,7.5046,221136564,156.9,0.986333,153723108,108.91,0.990132,1116,6352906914,7.4124,7.4459,0.1273,369.21,2059433508,0,0,1.54E+10,6898951488,0,3.32E+10,8516818464,0,2909175830,1.42E+03,0.35309
cusparse,1417,5005,input09,0.98,8000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",244.66,(500 1 1333) (8 16 1),2666000,0.982646,0.9999,0.7767,0.323204,0.9734,444950068,74.787,1025434244,8.758203,0.9613,7998000,4,0.392,465843330,49.974,50658281,5.4361,9553981456,1167.4,50914249,6.1328,288594500,137.31,0.986333,200616500,94.134,0.990132,1120.1,9552519351,5.9959,5.967,0.1215,368.93,3068291402,0,0,2.27E+10,1.03E+10,0,4.69E+10,1.24E+10,0,4018959009,1.51E+03,0.331315
