appName,coreF,memF,argNo,sparsity,N,kernel,time/ms,blocks,warps,achieved_occupancy,warp_execution_efficiency,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,flop_count_sp_special,inst_integer,inst_fp_32,inst_fp_64,inst_executed,inst_per_warp,executed_ipc
cusparse,1417,5005,input00,0.8,4000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",159.73,(500 1 666) (16 8 1),1332000,0.993036,0.8556,0.46331,0.9887,273025368,121.77,1270660068,9.323465,0.63515,3330000,5,0.4865,547615950,102.16,23343030,4.3521,6010460284,1121.6,24642377,4.597,175824000,131.23,0.988764,116217000,78.888,0.991477,1120.4,6004233434,4.597,4.597,0.3681,701.57,3762204696,0,0,2.69E+10,1.28E+10,1.41E+10,0,3384295650,2.54E+03,0.427537,,
cusparse,1417,5005,input01,0.82,4000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",152.69,(500 1 666) (16 8 1),1332000,0.992219,0.8461,0.449892,0.9884,266345388,114.71,1142409780,9.294864,0.66471,3330000,5,0.4856,494184171,95.048,23342805,4.0112,5747640370,1115,24642249,4.8084,175824000,137.31,0.988764,116217000,90.739,0.991477,1121.3,5744283435,4.8084,4.8093,0.3497,661.31,3388650624,0,0,2.44E+10,1.15E+10,1.28E+10,0,3170247246,2.38E+03,0.419034,,
cusparse,1417,5005,input02,0.84,4000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",144.4,(500 1 666) (16 8 1),1332000,0.991209,0.835,0.439216,0.9881,259631442,107.81,1016314668,9.28042,0.69714,3330000,5,0.486,440500951,90.905,23341649,4.8168,5436818184,1122.5,24642359,5.085,175824000,145.21,0.988764,116217000,95.966,0.991477,1122.1,5434702045,5.085,5.0841,0.3313,622.34,3013740576,0,0,2.18E+10,1.03E+10,1.15E+10,0,2955896478,2.22E+03,0.413111,,
cusparse,1417,5005,input03,0.86,4000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",135.46,(500 1 666) (16 8 1),1332000,0.989944,0.822,0.429245,0.9877,252996750,100.59,889581528,9.242631,0.74959,3330000,5,0.4862,386995289,85.132,23340690,5.1335,5105705677,1123.6,24642261,5.4212,175824000,154.8,0.988764,116217000,102.27,0.991477,1119.5,5104229518,5.4222,5.4212,0.3083,581.25,2641533156,0,0,1.92E+10,8975839176,1.03E+10,0,2743668918,2.06E+03,0.408501,,
cusparse,1417,5005,input04,0.88,4000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",125.37,(250 1 666) (8 16 1),666000,0.992981,0.8025,0.395538,0.9869,236667096,91.305,764105796,9.235189,0.47493,1998000,4,0.4862,318112898,73.933,12682601,2.9476,4938723597,1089.2,12654128,2.942,173326500,161.21,0.994269,114052500,106.1,0.99564,1147.6,4936846203,2.942,2.942,0.2465,525.74,2260102968,0,0,1.67E+10,7696224072,8990928072,0,2446102782,3.67E+03,0.385245,,
cusparse,1417,5005,input05,0.9,4000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",114.59,(250 1 666) (8 16 1),666000,0.991597,0.7836,0.398477,0.9864,230001768,85.059,635527836,9.158183,0.5312,1998000,4,0.4853,263528415,68.588,12680982,3.2382,4415602353,1147.7,12654238,3.2764,173326500,181.42,0.994269,114052500,119.38,0.99564,1155.5,4414720082,3.3099,3.3109,0.2222,493.68,1886480964,0,0,1.41E+10,6414515064,7709219064,0,2232605826,3.35E+03,0.393444,,
cusparse,1417,5005,input06,0.92,4000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",98.229,(250 1 666) (8 16 1),666000,0.989682,0.7606,0.412715,0.9859,223359084,79.649,509021136,9.074132,0.61989,1998000,4,0.4842,209714335,63.554,12677580,3.8436,3809251411,1155.3,12654146,3.837,173326500,210.31,0.994269,114052500,138.39,0.99564,1155,3807861893,3.838,3.8361,0.196,459.34,1513668816,0,0,1.16E+10,5136350508,6431054508,0,2019833478,3.03E+03,0.41265,,
cusparse,1417,5005,input07,0.94,4000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",73.653,(250 1 666) (8 16 1),666000,0.986745,0.8136,0.337165,0.9738,118099782,94.549,384067548,8.966044,0.80204,1998000,4,0.3914,156577277,63.352,12674158,5.1269,2794260725,1130.5,12654243,5.1185,72094500,116.68,0.986333,50116500,81.114,0.990132,1130.7,2794181876,5.1185,4.9919,0.2477,458.31,1141079112,0,0,8229754008,3859133004,4386605004,0,1221531246,1.83E+03,0.332951,,
cusparse,1417,5005,input00,0.95,4000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",64.277,(250 1 666) (8 16 1),666000,0.984581,0.7971,0.348477,0.9738,114595290,89.933,319561452,8.871792,0.94223,1998000,4,0.3931,129400318,60.005,12671629,5.8729,2442127668,1124.7,12654049,5.8645,72094500,131.84,0.986333,50116500,92.362,0.990132,1116.9,2441865541,5.818,5.7891,0.2286,439.39,953453592,0,0,6943889160,3216200580,0,1.34E+10,3743672580,0,1112381172,1.67E+03,0.347028
cusparse,1417,5005,input01,0.955,4000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",59.497,(250 1 666) (8 16 1),666000,0.983231,0.7873,0.357284,0.9735,112891662,87.609,288459252,8.838142,0.9965,1998000,4,0.3918,115824969,57.808,12669567,6.3255,2255118315,1126.2,12654065,6.319,72094500,143.6,0.986333,50116500,100.12,0.990132,1118.4,2254812392,6.2883,6.319,0.2178,429.42,859824648,0,0,6302107584,2895309792,0,1.26E+10,3422781792,0,1058257350,1.59E+03,0.357798
