appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,achieved_occupancy,sm_activity,warp_execution_efficiency,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,inst_fp_32,inst_fp_64,inst_executed,inst_per_warp,executed_ipc,void
cusparse,1417,5005,input00,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",159.73,(500 1 666) (16 8 1),1332000.0,0.993036,0.9998999999999999,0.8556,0.463310,0.9887,273025368,121.77,1270660068,9.323465,0.63515,3330000,5.000000,0.4865,547615950,102.16,23343030,4.3521,6010460284,1121.6,24642377,4.597,175824000,131.23,0.988764,116217000,78.888,0.991477,1120.4,6004233434,4.597,4.597,0.36810000000000004,701.57,3762204696,0,0,2.6915e+10,1.2818e+10,1.4113e+10,0,3384295650,2.5408e+03,0.427537,int)
cusparse,1417,5005,input01,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",152.69,(500 1 666) (16 8 1),1332000.0,0.992219,0.9998999999999999,0.8461,0.449892,0.9884000000000001,266345388,114.71,1142409780,9.294864,0.66471,3330000,5.000000,0.48560000000000003,494184171,95.048,23342805,4.0112,5747640370,1115.0,24642249,4.8084,175824000,137.31,0.988764,116217000,90.739,0.991477,1121.3,5744283435,4.8084,4.8093,0.3497,661.31,3388650624,0,0,2.4353e+10,1.1537e+10,1.2832e+10,0,3170247246,2.3801e+03,0.419034,int)
cusparse,1417,5005,input02,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",144.4,(500 1 666) (16 8 1),1332000.0,0.991209,0.9998999999999999,0.835,0.439216,0.9881,259631442,107.81,1016314668,9.280420,0.69714,3330000,5.000000,0.486,440500951,90.905,23341649,4.8168,5436818184,1122.5,24642359,5.085,175824000,145.21,0.988764,116217000,95.966,0.991477,1122.1,5434702045,5.085,5.0841,0.33130000000000004,622.34,3013740576,0,0,2.1783e+10,1.0252e+10,1.1547e+10,0,2955896478,2.2191e+03,0.413111,int)
cusparse,1417,5005,input03,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",135.46,(500 1 666) (16 8 1),1332000.0,0.989944,0.9998999999999999,0.8220000000000001,0.429245,0.9876999999999999,252996750,100.59,889581528,9.242631,0.7495900000000001,3330000,5.000000,0.48619999999999997,386995289,85.132,23340690,5.1335,5105705677,1123.6,24642261,5.4212,175824000,154.8,0.988764,116217000,102.27,0.991477,1119.5,5104229518,5.4222,5.4212,0.30829999999999996,581.25,2641533156,0,0,1.9230e+10,8975839176,1.0271e+10,0,2743668918,2.0598e+03,0.408501,int)
cusparse,1417,5005,input04,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",148.81,(250 1 666) (8 16 1),666000.0,0.992981,0.9998,0.8025,0.395538,0.9869,236667096,91.305,764105796,9.235189,0.47493,1998000,4.000000,0.48619999999999997,318112898,73.933,12682601,2.9476,4938723597,1089.2,12654128,2.942,173326500,161.21,0.994269,114052500,106.1,0.995640,1147.6,4936846203,2.942,2.942,0.2465,525.74,2260102968,0,0,1.6671e+10,7696224072,8990928072,0,2446102782,3.6728e+03,0.385245,int)
cusparse,1417,5005,input05,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",114.59,(250 1 666) (8 16 1),666000.0,0.991597,0.9998,0.7836,0.398477,0.9864,230001768,85.059,635527836,9.158183,0.5312,1998000,4.000000,0.4853,263528415,68.588,12680982,3.2382,4415602353,1147.7,12654238,3.2764,173326500,181.42,0.994269,114052500,119.38,0.995640,1155.5,4414720082,3.3099,3.3109,0.22219999999999998,493.68,1886480964,0,0,1.4108e+10,6414515064,7709219064,0,2232605826,3.3523e+03,0.393444,int)
cusparse,1417,5005,input06,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",98.229,(250 1 666) (8 16 1),666000.0,0.989682,0.9998,0.7606,0.412715,0.9859,223359084,79.649,509021136,9.074132,0.61989,1998000,4.000000,0.4842,209714335,63.554,12677580,3.8436,3809251411,1155.3,12654146,3.837,173326500,210.31,0.994269,114052500,138.39,0.995640,1155.0,3807861893,3.838,3.8361,0.196,459.34,1513668816,0,0,1.1551e+10,5136350508,6431054508,0,2019833478,3.0328e+03,0.412650,int)
cusparse,1417,5005,input07,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",73.653,(250 1 666) (8 16 1),666000.0,0.986745,0.9998,0.8136,0.337165,0.9738,118099782,94.549,384067548,8.966044,0.80204,1998000,4.000000,0.3914,156577277,63.352,12674158,5.1269,2794260725,1130.5,12654243,5.1185,72094500,116.68,0.986333,50116500,81.114,0.990132,1130.7,2794181876,5.1185,4.9919,0.2477,458.31,1141079112,0,0,8229754008,3859133004,4386605004,0,1221531246,1.8341e+03,0.332951,int)
cusparse,1417,5005,input08,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",4419.01,(1750 1 1597) (16 8 1),11179000.0,0.997794,int),0.884,0.269631,0.9963,3580621909,89.512,2.7207e+10,9.395648,0.13256,20413750,5.000000,0.4861,1.2394e+10,82.077,142914116,0.98038,9.7613e+10,969.85,170864259,1.0142,3692847375,95.709,0.996694,3392765250,94.179,1.003018,985.93,9.7606e+10,0.9965900000000001,0.9985,0.2404,534.86,8.0535e+10,0,0,5.8844e+11,2.7448e+11,3.1406e+11,0,5.7823e+10,7.0814e+03,0.295811,int)
cusparse,1417,5005,input09,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",4201.96,(1750 1 1597) (16 8 1),11179000.0,0.997652,1.0,0.8649,0.268886,0.9906999999999999,3587624409,86.334,2.4541e+10,9.209654,0.14019,20413750,5.000000,0.4853,1.1106e+10,78.388,142933730,1.0468,9.2891e+10,1008.7,157305919,1.0673,3692847375,101.3,0.996694,3392765250,95.373,1.003018,997.13,9.2882e+10,1.0151,1.0142,0.2231,507.5,7.2740e+10,0,0,5.3358e+11,2.4705e+11,2.8663e+11,0,5.4916e+10,6.7254e+03,0.294991,int)
