appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,achieved_occupancy,warp_execution_efficiency,sm_activity,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,flop_count_sp_special,inst_executed,inst_per_warp,executed_ipc
BlackScholes,1809,4500,input04,BlackScholesGPU,1.5958,(224000 1 1) (128 1 1),896000.0,0.871829,1.0,0.9974,3.690998,1.0,15232000,200.52,21504000,8.000000,133.67,7168000,4.000000,0.5,10752078,200.46,7166848,133.86,10752257,200.63,7168038,133.75,0,0.0,0.000000,0,0.0,0.000000,200.45,10752000,133.63,133.71,0.5,200.57,10752000,0,0,2907097257,974848000,258048000,146048000,163.000000,2.306350
SobolQRNG,1809,4500,input03,sobolGPU_kernel,1.7571,(1 1000 1) (64 1 1),2000.0,0.956291,1.0,0.8756999999999999,1.735216,1.0,4119000,0.069618,8000,8.000000,280.25,16384000,4.000000,0.5,3710,0.06389600000000001,16380290,282.09,4362,0.07438700000000001,16384013,278.07,4108000,281.56,1.000000,1000,0.068665,1.000000,0.069618,4000,282.36,280.86,0.5,0.069618,4000,0,0,131072000,0,0,86183000,4.3092e+04,1.428206
backpropBackward,1809,4500,input04,bpnn_adjust_weights_cuda,1.0282,(1 32768 1) (16 16 1),262144.0,0.968702,1.0,0.9964,0.316177,1.0,262145,141.5,14811161,8.071420,60.214,2621446,4.999992,0.5841,2293860,52.702,2226740,51.15,6160614,141.52,2621459,60.217,0,0.0,0.000000,0,0.0,0.000000,141.51,6160399,60.218,60.22,0.5563,168.62,7340042,75497584,16777248,0,0,0,15204379,58.000103,0.296487
backpropForward,1809,4500,input04,bpnn_layerforward_CUDA,0.47922000000000003,(1 32768 1) (16 16 1),262144.0,0.961940,0.9265000000000001,0.9936,4.997810,1.0,4423680,84.103,3014656,5.750000,80.774,1572864,3.000000,0.45649999999999996,1179693,60.612,1178871,60.572,1638517,84.199,1572877,80.818,1769472,363.6,1.000000,1277952,261.25,1.000000,83.752,1638400,80.402,80.401,0.46740000000000004,80.401,1572864,0,0,49807360,0,67108864,70189056,267.750000,3.062335
binomialOptions,1809,4500,input04,binomialOptionsKernel,41.829,(1024 1 1) (256 1 1),8192.0,0.967382,0.9997,0.9375,0.317452,1.0,54239232,10.669,19243008,7.813721,12.075,17106944,6.266317,0.0,3799607,2.1057,12606571,6.9896,19253320,13.407,17106957,11.914,344982528,972.91,1.993462,175319040,502.71,2.000000,10.67,19243008,9.4855,9.4874,0.0,10.708,19308544,8178892800,2726297600,27276288,8392704,4196352,713354240,8.7079e+04,0.353668
cfd,1809,4500,input02,cuda_compute_flux,0.13293000000000002,(1212 1 1) (192 1 1),7272.0,0.359536,0.9693999999999999,0.9656999999999999,1.811029,0.9934999999999999,1353878,549.71,4168816,13.983591,27.119,145440,4.000000,0.29309999999999997,613315,116.3,146615,27.785,2949213,551.48,145453,27.197,0,0.0,0.000000,0,0.0,0.000000,550.42,2946838,27.165,27.194,0.3066,222.97,1192453,0,0,151716930,55771603,5610519,8855624,1.2178e+03,1.466796
conjugateGradient,1809,4500,input04,csrMv_kernel,1.1273,(262144 1 1) (4 32 1),1048576.0,0.902028,0.8764,0.9968,2.623107,1.0,14680064,267.89,22020094,6.999999,26.793,1048576,1.000000,0.5238,8388751,214.24,1083204,27.687,12835141,328.02,1048589,26.797,6291456,642.87,1.000000,2097152,219.67,1.000000,327.99,12834597,26.796,26.781,0.6217,535.63,20971520,0,0,134217722,25165822,0,95420416,91.000000,2.073372
convolutionSeparable,1809,4500,input03,convolutionRowsKernel,2.3746,(80 2560 1) (16 4 1),409600.0,0.950955,1.0,0.9984000000000001,2.015371,1.0,1228800,205.78,32686080,8.000000,163.16,13107200,4.000000,0.5,13107558,148.22,13103932,155.34,16343275,207.5,13107213,166.41,105676800,5214.6,2.000000,8192000,405.3,2.000000,184.73,16343040,148.16,165.74,0.5,206.66,16343040,0,0,3565158400,1782579200,0,133928960,326.975000,1.161545
convolutionTexture,1809,4500,input03,convolutionRowsKernel,5.5555,(640 854 1) (16 12 1),3279360.0,0.827962,1.0,0.9994,1.287254,1.0,6556160,0.0,0,0.000000,71.127,13107200,4.000000,0.0,13107498,61.453,13106180,61.459,26194450,140.53,13107213,70.315,0,0.0,0.000000,0,0.0,0.000000,142.04,26193920,71.076,70.829,0.95,2408.2,445644800,0,0,5557452800,1782579200,0,311347200,94.941452,1.176591
dxtc,1809,4500,input01,compress,1.1436,(16384 1 1) (64 1 1),32768.0,0.306699,0.9627,0.9962000000000001,4.024363,0.9895,22937651,43.396,4128759,7.875000,0.35191000000000006,16383,1.000000,0.5,15,0.0,0,0.0,2067336,43.447,16398,0.35191000000000006,3555321,299.01,1.391026,1378415,115.93,0.751179,43.401,2064379,0.35191000000000006,0.35191000000000006,0.498,43.401,2064379,0,0,3660571608,1413149985,20971478,166757284,5.0890e+03,2.965780
eigenvalues,1809,4500,input01,bisectKernel,1.7295,(1 1 1) (512 1 1),16.0,0.249997,0.7147,0.035699999999999996,1.536772,0.9989,524489,0.045776000000000004,6656,8.000000,0.0009765599999999999,128,4.000000,0.5,1,0.0,0,0.0,3498,0.049591,150,0.0019073,258578,14.244,1.011089,6955,0.39101,1.256095,0.045776000000000004,3328,0.0009765599999999999,0.0009765599999999999,0.5,0.045776000000000004,3328,0,0,51391406,19969330,2851891,4478945,2.7993e+05,1.448695
fastWalshTransform,1809,4500,input04,fwtBatch2Kernel,6.0715,(262144 1 1) (256 1 1),2097152.0,0.842280,1.0,0.9992,0.610811,1.0,2097152,165.19,67108864,8.000000,165.04,33554432,4.000000,0.5,33554716,166.02,33553809,165.62,33554901,165.38,33554462,165.37,0,0.0,0.000000,0,0.0,0.000000,165.77,33554432,165.77,165.63,0.5,165.63,33554432,0,0,536870912,0,0,136314880,65.000000,0.515308
gaussian,1809,4500,input03,Fan2,8.9038,(2048 2048 1) (4 4 1),2097152.0,0.401940,0.4999,0.9732,0.472424,1.0,12582092,134.46,80175936,6.371619,121.35,37304056,8.893833,0.48469999999999996,10728781,33.731,10011626,31.82,41404253,136.1,37304069,122.62,0,0.0,0.000000,0,0.0,0.000000,135.84,41403755,122.39,119.96,0.33159999999999995,80.906,25160297,0,0,134144026,67072013,0,209684696,49.992727,0.470949
histogram,1809,4500,input03,histogram256Kernel,2.3777,(240 1 1) (192 1 1),1440.0,0.803236,0.6607,0.9379000000000001,2.210513,0.7728,43015520,88.539,16777216,8.000000,0.087738,7680,4.000000,0.5,8388825,86.42,9267,0.096321,8388957,93.991,7693,0.087738,69275392,2856.1,2.130009,34643456,1428.5,2.129609,86.527,8388608,0.080109,0.080109,0.5,86.509,8388608,0,0,0,0,0,196738368,1.3662e+05,1.827557
hotspot,1809,4500,input02,calculate_temp,0.265,(64 64 1) (16 16 1),32768.0,0.734442,0.8401000000000001,0.9738,1.047227,1.0,1031680,34.596,516128,7.937500,2.9346,32768,2.000000,0.252,17169,1.5441,29152,2.6179,386289,34.642,32781,2.9355,684544,243.83,0.975912,244224,86.951,0.935294,34.437,386080,2.9216,2.916,0.2799,23.155,260096,20449840,6134952,39637216,13631488,4194304,11922176,363.835938,0.925354
matrixMulGlobal,1809,4500,input03,matrixMulCUDA,36.562,(64 64 1) (32 32 1),131072.0,0.969703,1.0,0.9959,3.977769,1.0,67764224,1106.7,3221225472,6.000000,0.43488,524288,4.000000,0.5832999999999999,34997072,28.785,525687,0.44345999999999997,1342179909,1114.1,524301,0.44441,0,0.0,0.000000,0,0.0,0.000000,1094.9,1342177280,0.43678,0.43869,0.5832999999999999,1758.2,2147483648,0,0,1.7180e+10,8589934592,0,4635099136,3.5363e+04,2.615894
matrixMulShared,1809,4500,input03,matrixMulCUDA,10.064,(64 64 1) (32 32 1),131072.0,0.997136,1.0,0.9945999999999999,1.809546,1.0,8650752,193.44,134217728,8.000000,1.3663,524288,4.000000,0.5,34428503,82.919,525709,1.2666,67109511,161.95,524301,1.2638,402653184,4544.5,1.200000,16777216,189.34,1.000000,162.0,67108864,1.2647,1.2629,0.5,161.8,67108864,0,0,1.7180e+10,8589934592,0,777650176,5.9330e+03,1.587899
mergeSort,1809,4500,input03,mergeSortSharedKernel,0.78174,(4096 1 1) (512 1 1),65536.0,0.985910,1.0,0.9919,4.681234,1.0,9306112,32.532,2097152,8.000000,32.549,1048576,4.000000,0.5,1048648,32.548,1041919,32.324,1048977,32.57,1048589,32.559,15151601,1881.5,1.501267,5716098,710.11,1.982289,32.566,1048576,32.566,32.557,0.5,32.557,1048576,0,0,0,0,0,99483648,1.5180e+03,2.623031
nn,1809,4500,input03,euclid,0.5649,(65536 1 1) (256 1 1),524288.0,0.883893,1.0,0.9933,1.310414,1.0,2621472,438.6,8388608,8.000000,109.64,2097152,4.000000,0.0,4194369,219.32,2094751,109.58,8388838,438.45,2097165,109.61,0,0.0,0.000000,0,0.0,0.000000,438.62,8388608,109.65,109.62,0.16670000000000001,219.25,4194304,0,0,201326536,50331632,16777208,21495880,41.000137,0.952283
pathfinder,1809,4500,input03,dynproc_kernel,2.1681,(9143 1 1) (256 1 1),73144.0,0.988148,0.9406,0.9971,2.738158,1.0,34852668,317.38,36696572,6.849762,1.0086,73143,3.999945,0.36619999999999997,6468136,89.21,65839,0.84209,23257789,321.2,73156,1.0096,21136856,1174.6,0.914533,10623278,589.57,0.843211,290.89,23257551,0.93555,0.9947,0.3664,261.92,19235163,0,0,0,0,0,259452078,3.5471e+03,2.492768
quasirandomGenerator,1809,4500,input03,quasirandomGeneratorKernel,1.5888,(128 1 1) (128 3 1),1536.0,0.655081,1.0,0.9025,8.866458,1.0,3196416,0.0,0,0.000000,189.22,12582912,4.000000,0.0,54,0.0,9147395,137.55,280,0.0057220000000000005,12582925,189.31,0,0.0,0.000000,0,0.0,0.000000,0.0,0,189.35,189.46,0.5,0.0,0,0,0,100663296,0,0,229725696,1.4956e+05,3.232037
reduction,1809,4500,input03,reduce2,2.0183,(262144 1 1) (256 1 1),2097152.0,0.913700,0.9541,0.9984999999999999,2.249802,1.0,64225280,109.77,16777216,8.000000,3.4291,262144,1.000000,0.5,8388804,109.81,34557,0.46253,8388868,109.77,262157,3.4291,6553600,388.07,1.000000,5242880,274.46,1.000000,109.8,8388608,3.4301,3.4301,0.49229999999999996,109.79,8388608,0,0,66846720,0,0,189005824,90.125000,2.081841
