appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,achieved_occupancy,sm_activity,warp_execution_efficiency,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,flop_count_sp_special,inst_integer,inst_fp_32,inst_fp_64,inst_executed,inst_per_warp,executed_ipc
cusparse,1417,5005,input00,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",10.493,(128 1 341) (8 16 1),174592.0,0.989976,0.9992,0.7996,0.805370,0.9741,30134511,148.27,85875394,8.911323,1.4883,523776,4.000000,0.39280000000000004,19375776,55.065,3345447,9.5051,275315058,781.44,3317261,9.4194,18899584,214.6,0.986333,13138048,149.17,0.990132,781.61,275319681,9.4185,9.4054,0.5677,725.5,255677708,0,0,1858844196,862378770,0,3568567728,1000655634,0,294711637,1.6880e+03,0.711997
cusparse,1417,5005,input01,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",9.1363,(128 1 341) (8 16 1),174592.0,0.986790,0.9990000000000001,0.7743000000000001,0.794537,0.9743999999999999,28957720,127.46,64291458,8.738320,1.708,523776,4.000000,0.39149999999999996,4055791,13.208,3278422,10.7,240138466,784.43,3317261,10.821,18899584,246.37,0.986333,13138048,171.17,0.990132,784.09,240578482,10.811,10.82,0.539,629.24,193103526,0,0,1430235840,648074592,0,2997089920,786351456,0,258206564,1.4789e+03,0.717859
cusparse,1417,5005,input02,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",7.4372,(64 1 341) (4 32 1),87296.0,0.985769,0.9983,0.7256,0.772426,0.9734,26814535,105.71,43317912,8.510787,2.1001,523776,4.000000,0.3922,872471,3.5241,1670681,6.7009,222748189,893.64,1920525,7.6909,18615872,298.68,0.993015,12897984,206.99,0.996627,893.06,222824425,7.7002,7.7048,0.419,519.66,129519984,0,0,1001271480,433592412,0,2281099040,571869276,0,212097908,2.4296e+03,0.725361
cusparse,1417,5005,input03,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",4.5057,(64 1 341) (4 32 1),87296.0,0.976548,0.9982,0.7429000000000001,0.634924,0.9565,13664211,114.99,25249004,9.216331,3.4571,523776,4.000000,0.3107,395607,2.5714,1501207,9.9475,126245472,834.67,1920537,12.711,7441984,196.81,0.982709,5565120,147.06,0.992218,834.16,125991821,12.708,12.681,0.41859999999999997,439.49,66610258,0,0,486448776,218083140,0,1192408800,272555844,0,106999662,1.2257e+03,0.603559
cusparse,1417,5005,input04,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",3.149,(32 1 341) (2 64 1),43648.0,0.980457,0.9962000000000001,0.6967,0.718823,0.9589,12388530,101.71,15427522,8.663730,4.949,523776,4.000000,0.3019,370815,3.5074,1078830,10.191,95644597,904.26,1222157,11.572,7311040,276.52,0.994065,5423264,205.17,0.997992,901.62,95492416,11.556,11.553,0.3056,389.66,41197574,0,0,316933584,133325544,0,882344320,187798248,0,86239923,1.9758e+03,0.696273
cusparse,1417,5005,input05,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",1.2773,(32 1 341) (2 64 1),43648.0,0.966634,0.9948,0.7101000000000001,0.864881,0.9462999999999999,6320776,117.0,5531020,7.392890,12.189,523776,4.000000,0.0916,296227,7.0492,979065,22.765,37763662,878.2,1222157,28.445,2771648,257.96,0.984496,2280608,212.28,0.995238,877.57,37697378,28.451,28.461,0.2488,368.27,15820354,0,0,111110076,47174622,0,429123948,68125662,0,40597755,930.117188,0.810074
spgemm,1417,5005,input00,"void column_major_dense_sparse_groupcoo_mat_mul_kernel<int=128, int=4>",8.1724,(16 512 1) (128 1 1),32768.0,0.980848,0.9945,1.0,3.275614,1.0,161991552,301.36,165324992,8.031340,15.278,4194304,32.000000,0.4999,50888839,185.38,1222186,4.4713,82802479,301.8,4194321,15.278,100414016,1463.7,1.000000,1350128,19.692,0.843223,301.23,82671456,15.281,15.28,0.4876,300.01,82316064,0,0,1718054912,859027456,0,1.4653e+10,859027456,0,811737760,2.4772e+04,2.530075
spgemm,1417,5005,input01,"void column_major_dense_sparse_groupcoo_mat_mul_kernel<int=128, int=4>",6.4466,(16 512 1) (128 1 1),32768.0,0.981130,0.9953,1.0,3.218553,1.0,122696192,308.26,133342416,8.018640,19.392,4194304,32.000000,0.4999,41399187,191.22,1185011,5.479,66789952,308.58,4194317,19.376,76502656,1414.1,1.000000,1004944,18.571,0.851624,308.15,66683168,19.385,19.376,0.48469999999999996,307.09,66485456,0,0,1289027584,644513792,0,1.1371e+10,644513792,0,626758464,1.9127e+04,2.478994
spgemm,1417,5005,input02,"void column_major_dense_sparse_groupcoo_mat_mul_kernel<int=128, int=4>",4.5997,(16 512 1) (128 1 1),32768.0,0.979701,0.9937,1.0,3.124289,1.0,82816448,309.91,95750256,8.010150,27.163,4194304,32.000000,0.5002,29814225,192.98,1131397,7.3304,47909930,310.43,4194317,27.146,51857152,1342.9,1.000000,736496,19.067,0.824042,309.88,47853152,27.155,27.15,0.4792,309.37,47784080,0,0,859643904,429821952,0,7862768448,429821952,0,431514272,1.3169e+04,2.398633
spgemm,1417,5005,input03,"void column_major_dense_sparse_groupcoo_mat_mul_kernel<int=128, int=4>",2.5095,(16 512 1) (128 1 1),32768.0,0.976308,0.9909,1.0,2.968607,1.0,41759936,304.98,51456736,7.980798,49.784,4194304,32.000000,0.5008,16112955,191.02,966317,11.453,25725142,305.22,4194317,49.761,26285184,1248.3,1.000000,382928,18.162,0.833902,304.92,25689088,49.779,49.795,0.46299999999999997,305.56,25758496,0,0,428204032,214102016,0,4075498176,214102016,0,222606624,6.7934e+03,2.273394
