appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,achieved_occupancy,sm_activity,warp_execution_efficiency,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,flop_count_sp_special,inst_integer,inst_fp_32,inst_fp_64,inst_executed,inst_per_warp,executed_ipc
cusparse,1417,5005,input00,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",64.277,(250 1 666) (8 16 1),666000.0,0.984581,0.9998,0.7970999999999999,0.348477,0.9738,114595290,89.933,319561452,8.871792,0.94223,1998000,4.000000,0.3931,129400318,60.005,12671629,5.8729,2442127668,1124.7,12654049,5.8645,72094500,131.84,0.986333,50116500,92.362,0.990132,1116.9,2441865541,5.818,5.7891,0.2286,439.39,953453592,0,0,6943889160,3216200580,0,1.3417e+10,3743672580,0,1112381172,1.6702e+03,0.347028
cusparse,1417,5005,input01,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",59.497,(250 1 666) (8 16 1),666000.0,0.983231,0.9998,0.7873,0.357284,0.9734999999999999,112891662,87.609,288459252,8.838142,0.9965,1998000,4.000000,0.3918,115824969,57.808,12669567,6.3255,2255118315,1126.2,12654065,6.319,72094500,143.6,0.986333,50116500,100.12,0.990132,1118.4,2254812392,6.2883,6.319,0.21780000000000002,429.42,859824648,0,0,6302107584,2895309792,0,1.2561e+10,3422781792,0,1058257350,1.5890e+03,0.357798
cusparse,1417,5005,input02,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",54.472,(250 1 666) (8 16 1),666000.0,0.981632,0.9998,0.7770999999999999,0.369340,0.9736,111126762,85.159,256342068,8.770405,1.0924,1998000,4.000000,0.39280000000000004,101889235,55.744,12668071,6.929,2059902409,1127.0,12654064,6.9207,72094500,156.78,0.986333,50116500,109.66,0.990132,1126.8,2059935863,6.9216,6.9216,0.20629999999999998,419.45,766787112,0,0,5663107224,2575809612,0,1.1709e+10,3103281612,0,1003638690,1.5070e+03,0.371734
cusparse,1417,5005,input03,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",48.914,(250 1 666) (8 16 1),666000.0,0.979733,0.9997,0.7656999999999999,0.386868,0.9738,109349874,83.542,225069372,8.722885,1.2163,1998000,4.000000,0.3907,87094855,53.072,12665464,7.7141,1851605433,1128.0,12654064,7.7076,72094500,175.49,0.986333,50116500,122.14,0.990132,1127.9,1851392117,7.7076,7.7086,0.1948,410.05,673111548,0,0,5020878096,2254695048,0,1.0853e+10,2782167048,0,948760290,1.4246e+03,0.391292
cusparse,1417,5005,input04,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",42.947,(125 1 666) (4 32 1),333000.0,0.985165,0.9995,0.7397,0.394019,0.9732,103832064,81.452,192946194,8.618701,1.3858,1998000,4.000000,0.39159999999999995,56824614,39.522,7332789,5.0869,1667666993,1157.0,7326061,5.0822,71012250,196.14,0.993015,49200750,136.56,0.996627,1157.1,1667490875,5.0832,5.0832,0.1602,393.72,575344746,0,0,4378648968,1933580484,0,9447086124,2461052484,0,856673136,2.5726e+03,0.402420
cusparse,1417,5005,input05,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",36.686,(125 1 666) (4 32 1),333000.0,0.982949,0.9995999999999999,0.7236,0.430508,0.9734,102059838,80.445,160837002,8.480125,1.6307,1998000,4.000000,0.3883,38057266,31.035,7330235,5.9931,1427019448,1167.0,7326066,5.9903,71012250,229.43,0.993015,49200750,160.91,0.996627,1166.7,1426919479,5.9884,5.2499,0.14859999999999998,345.35,481797054,0,0,3737043216,1612777608,0,8591611788,2140249608,0,801881982,2.4081e+03,0.441134
cusparse,1417,5005,input06,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",30.163,(125 1 666) (4 32 1),333000.0,0.980174,0.9995,0.7055,0.486655,0.9739,100260972,77.829,129365838,8.319471,1.9856,1998000,4.000000,0.3895,18742240,18.421,7326717,7.2001,1176550865,1158.7,7326043,7.2867,71012250,282.48,0.993015,49200750,195.72,0.996627,1169.9,1176442495,7.2848,7.2084,0.1356,386.47,388627650,0,0,3099561336,1294036668,0,7741635948,1821508668,0,747126126,2.2436e+03,0.499934
cusparse,1417,5005,input07,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",23.369,(125 1 666) (4 32 1),333000.0,0.975159,0.9995,0.7537999999999999,0.366533,0.9562,52964982,98.318,112372182,9.331213,2.5071,1998000,4.000000,0.31120000000000003,6328520,8.1165,7238024,9.2862,884030952,1122.2,7326017,9.4706,28388250,146.33,0.982709,21228750,108.98,0.992218,1134.4,883842511,8.2115,8.7647,0.1597,330.68,295707330,0,0,2140185672,974188836,0,4928004396,1181980836,0,433681218,1.3023e+03,0.374792
cusparse,1417,5005,input08,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",16.083,(125 1 666) (4 32 1),333000.0,0.968430,0.9995,0.7273999999999999,0.458929,0.9589,50996286,78.125,76095162,8.964146,3.689,1998000,4.000000,0.3093,3617222,6.7586,6002916,8.936,616817683,1125.3,7326031,10.911,28388250,208.98,0.982709,21228750,158.67,0.992218,1152.5,616788487,12.607,13.18,0.1409,378.34,202491306,0,0,1504398096,656295048,0,4080287628,864087048,0,376628994,1.1310e+03,0.470321
cusparse,1417,5005,input09,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",8.2767,(63 1 666) (2 64 1),167832.0,0.968772,0.9987999999999999,0.6754000000000001,0.714284,0.9632,46387566,97.244,39276018,8.200946,6.1886,1998000,4.000000,0.3005,3039624,10.655,4350495,15.252,329446122,1127.2,4683341,13.528,28107864,393.21,0.994064,20853126,302.83,0.997992,1195.9,329424881,17.002,17.002,0.10400000000000001,316.77,106467426,0,0,865829304,336243420,0,2920802940,545569884,0,298332702,1.7776e+03,0.725422
