appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,achieved_occupancy,warp_execution_efficiency,sm_activity,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,flop_count_sp_special,inst_integer,inst_fp_32,inst_fp_64,inst_executed,inst_per_warp,executed_ipc
cachebench-l2-only,1809,4513,input00,benchmark_func,2.1529,(224 1 1) (256 1 1),1792.0,0.355574,1.0,0.9192,1.059023,1.0,7804160,321.12,58720256,8.000000,321.24,29360128,4.000000,0.5,112,0.0009765599999999999,329936,3.6256,29365331,321.34,29360141,321.28,0,0.0,0.000000,0,0.0,0.000000,321.3,29360128,321.3,321.27,0.5,321.27,29360128,0,0,0,0,57344,2017476608,57344,0,101998848,5.6919e+04,1.023873
cachebench-l2-only,1809,4513,input01,benchmark_func,2.1488,(224 1 1) (256 1 1),1792.0,0.354864,1.0,0.9228000000000001,1.054934,1.0,7804160,321.71,58720256,8.000000,321.87,29360128,4.000000,0.5,238,0.0019073,786961,8.6688,29365351,321.96,29360141,321.91,0,0.0,0.000000,0,0.0,0.000000,321.85,29360128,321.85,321.88,0.5,321.88,29360128,0,0,0,0,57344,2015641600,57344,0,101998848,5.6919e+04,1.021970
cachebench-l2-only,1809,4513,input02,benchmark_func,2.1509,(224 1 1) (256 1 1),1792.0,0.357106,1.0,0.9177,1.057341,1.0,7804160,322.58,58720256,8.000000,322.53,29360128,4.000000,0.5,271,0.0028610000000000003,451693,4.9882,29365346,322.61,29360141,322.55,0,0.0,0.000000,0,0.0,0.000000,322.53,29360128,322.53,322.6,0.5,322.6,29360128,0,0,0,0,57344,2015068160,57344,0,101998848,5.6919e+04,1.030770
cachebench-l2-only,1809,4513,input03,benchmark_func,2.1507,(224 1 1) (256 1 1),1792.0,0.359645,1.0,0.9125,1.067493,1.0,7804160,322.84,58720256,8.000000,322.94,29360128,4.000000,0.5,309,0.0028610000000000003,108474,1.1986,29365360,322.99,29360141,322.94,0,0.0,0.000000,0,0.0,0.000000,322.88,29360128,322.88,322.88,0.5,322.88,29360128,0,0,0,0,57344,2014724096,57344,0,101998848,5.6919e+04,1.039165
cachebench-l2-only,1809,4513,input04,benchmark_func,2.1448,(224 1 1) (256 1 1),1792.0,0.359715,1.0,0.9126000000000001,1.073548,1.0,7804160,322.86,58720256,8.000000,322.84,29360128,4.000000,0.5,343,0.0028610000000000003,304088,3.3639,29365336,322.89,29360141,322.83,0,0.0,0.000000,0,0.0,0.000000,322.82,29360128,322.82,322.97,0.5,322.97,29360128,0,0,0,0,57344,2014609408,57344,0,101998848,5.6919e+04,1.040413
cachebench-l2-only,1809,4513,input05,benchmark_func,2.1428,(224 1 1) (256 1 1),1792.0,0.362204,1.0,0.9064,1.074627,1.0,7804160,322.45,58720256,8.000000,322.43,29360128,4.000000,0.5,434,0.0038147000000000003,133190,1.4715,29365333,322.53,29360141,322.47,0,0.0,0.000000,0,0.0,0.000000,322.3,29360128,322.3,322.5,0.5,322.5,29360128,0,0,0,0,57344,2014494720,57344,0,101998848,5.6919e+04,1.044699
cachebench-l2-only,1809,4513,input06,benchmark_func,2.1496,(224 1 1) (256 1 1),1792.0,0.363175,1.0,0.9044,1.075491,1.0,7804160,322.96,58720256,8.000000,322.9,29360128,4.000000,0.5,6713,0.07534,90245,0.9956,29365333,322.93,29360141,322.88,0,0.0,0.000000,0,0.0,0.000000,322.91,29360128,322.91,323.03,0.5,323.03,29360128,0,0,0,0,57344,2014380032,57344,0,101998848,5.6919e+04,1.044803
cachebench-l2-only,1809,4513,input07,benchmark_func,2.1657,(224 1 1) (256 1 1),1792.0,0.362627,1.0,0.9057999999999999,1.074921,1.0,7804160,322.58,58720256,8.000000,322.58,29360128,4.000000,0.5,45473,0.51117,108858,1.1967,29365366,322.69,29360142,322.63,0,0.0,0.000000,0,0.0,0.000000,322.67,29360128,322.67,322.57,0.5,322.57,29360128,0,0,0,0,57344,2014265344,57344,0,101998848,5.6919e+04,1.040346
cachebench-l2-only,1809,4513,input08,benchmark_func,2.1515,(224 1 1) (256 1 1),1792.0,0.360975,1.0,0.91,1.067164,1.0,7804160,322.76,58720256,8.000000,322.83,29360128,4.000000,0.5,60904,0.68569,108964,1.1977,29365349,322.85,29360141,322.79,0,0.0,0.000000,0,0.0,0.000000,322.88,29360128,322.88,322.82,0.5,322.82,29360128,0,0,0,0,57344,2014265344,57344,0,101998848,5.6919e+04,1.033497
cachebench-l2-only,1809,4513,input09,benchmark_func,2.1541,(224 1 1) (256 1 1),1792.0,0.362412,1.0,0.9068999999999999,1.076678,1.0,7804160,322.92,58720256,8.000000,323.06,29360128,4.000000,0.5,70702,0.79632,114685,1.2619,29365349,323.12,29360142,323.06,0,0.0,0.000000,0,0.0,0.000000,323.08,29360128,323.08,322.97,0.5,322.97,29360128,0,0,0,0,57344,2014265344,57344,0,101998848,5.6919e+04,1.041297
