appName,n_dm,n_l2,n_shm,tex_trans,n_flop_sp,n_flop_dp,n_int,act_util,inst_per_warp,real_cycle
int,0.005873023,0.076467176,0,0.040458241,0,0,0.87720156,0.715443,217700,12.4990897
int,0.013271223,0.088685285,0,0.044342383,0,0,0.853701108,0.715065,219860,12.73284925
int,0.023741387,0.104624559,0,0.052311928,0,0,0.819322126,0.724758,227650,13.40287598
int,0.04294025,0.134790277,0,0.067394755,0,0,0.754874719,0.723098,243750,14.86370238
int,0.051514229,0.149048685,0,0.074524092,0,0,0.724912994,0.726761,252090,15.86858519
int,0.059724871,0.163139534,0,0.081569542,0,0,0.695566054,0.732009,259050,17.59173988
int,0.067488144,0.17585389,0,0.087926714,0,0,0.668731252,0.732931,267240,19.78028172
int,0.075085761,0.187247024,0,0.093623229,0,0,0.644043986,0.735519,276970,21.84524212
int,0.08936573,0.212804071,0,0.106401716,0,0,0.591428484,0.737326,290660,25.85423212
int,0.104365586,0.236211728,0,0.11810551,0,0,0.541317176,0.735851,306530,30.10946875
int,0.118255528,0.258397587,0,0.129198397,0,0,0.494148488,0.729425,321380,34.08903358
int,0.142369615,0.241603021,0,0.120801043,0,0,0.495226321,0.72535,332900,41.57018511
float,0.010253854,0.105711602,0,0.055893077,0.76751005,0,0.060631417,0.70904,92789,6.530664179
float,0.021890378,0.120231386,0,0.060115542,0.719200483,0,0.078562211,0.72299,99034,7.488835824
float,0.035120815,0.137769484,0,0.068884571,0.641300279,0,0.11692485,0.735555,114760,10.14861241
float,0.055340074,0.168596856,0,0.084298207,0.504846322,0,0.18691854,0.732725,146990,15.69096091
float,0.063968746,0.181990008,0,0.09099479,0.444142803,0,0.218903653,0.73319,163520,18.29653297
float,0.071663123,0.194826177,0,0.097412858,0.389082746,0,0.247015097,0.73723,178410,20.78070868
float,0.07890502,0.2053434,0,0.102671379,0.335584762,0,0.277495439,0.738185,194790,23.03269422
float,0.085457136,0.213999053,0,0.10699924,0.284995608,0,0.308548964,0.733858,212460,24.73777486
float,0.098167911,0.234180154,0,0.117089692,0.200534061,0,0.350028181,0.733947,242280,28.18649568
float,0.110595912,0.251116163,0,0.12555773,0.125469687,0,0.387260508,0.732276,274280,31.90899105
float,0.121693402,0.266050385,0,0.133024751,0.059103283,0,0.420128179,0.73075,305260,35.22669299
float,0.14249469,0.241574265,0,0.120786675,3.31E-05,0,0.495111228,0.726267,332910,41.68939781
double,0.08185577,0.168518361,0,0.089159759,0,0.612159993,0.048306117,0.724643,102510,116.8791738
double,0.089143162,0.189080489,0,0.094538809,0,0.565513968,0.061723571,0.722369,108260,107.1919512
double,0.102424301,0.210091612,0,0.105044339,0,0.488969898,0.093469851,0.723765,121700,93.79841933
double,0.124733811,0.242205996,0,0.121101563,0,0.362627396,0.149331234,0.725974,150620,70.50483054
double,0.13440146,0.254236465,0,0.127117395,0,0.310228071,0.174016609,0.72783,166150,60.49254582
double,0.145210054,0.265484564,0,0.132741539,0,0.265095614,0.191468229,0.731648,178780,52.48633876
double,0.154446652,0.274219825,0,0.137109292,0,0.224073103,0.210151127,0.732628,194140,44.32356769
double,0.16741834,0.279361411,0,0.13968013,0,0.186021057,0.227519062,0.724645,209500,42.61051397
double,0.181567168,0.29604215,0,0.148020529,0,0.126753932,0.247616221,0.723061,236130,45.75024129
double,0.193800542,0.307441464,0,0.153720232,0,0.07680622,0.268231543,0.722882,264800,47.79537922
double,0.205303103,0.316413766,0,0.158206204,0,0.035145738,0.284931188,0.721982,292450,50.19879865
double,0.233748417,0.287499139,0,0.143748986,0,1.97E-05,0.334983737,0.718878,316770,56.16306186
shmem,0.153008835,0.153020842,0.174858664,0.131143998,0.027321666,0,0.360645995,0.887666,129,40.47524832
shmem,0.13658712,0.136599625,0.253652948,0.117070591,0.024389707,0,0.331700009,0.895446,154,36.62083927
shmem,0.112452959,0.112462028,0.369470576,0.096383628,0.020079923,0,0.289150885,0.911002,204,31.6289773
shmem,0.083089491,0.083095377,0.510377946,0.071215527,0.014836568,0,0.237385091,0.938526,304,37.72148404
shmem,0.065884995,0.065890309,0.592933939,0.056469899,0.011764562,0,0.207056296,0.951949,404,43.10270962
shmem,0.054583521,0.054587864,0.647166521,0.046783122,0.009746484,0,0.187132488,0.959515,504,46.73771439
shmem,0.046591189,0.046594998,0.685517965,0.039933085,0.008319393,0,0.17304337,0.963715,604,49.19554995
shmem,0.040640734,0.040644455,0.714072175,0.034832789,0.007256831,0,0.162553016,0.966412,704,51.1342919
shmem,0.036038412,0.03604124,0.736158722,0.030887779,0.006434954,0,0.154438893,0.969071,804,52.48532416
shmem,0.034790714,0.034831465,0.809888303,0.029811839,0.0062108,0,0.084466878,0.971562,814,58.03394381
shmem,0.019355536,0.01937827,0.892851131,0.01658547,0.003455306,0,0.048374287,0.979462,1521,63.63090174
