appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,achieved_occupancy,warp_execution_efficiency,sm_activity,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,flop_count_sp_special,inst_integer,inst_fp_32,inst_fp_64,inst_executed,inst_per_warp,executed_ipc
BlackScholes,1700,4000,input00,BlackScholesGPU,1.9868,(224000 1 1) (128 1 1),896000.0,0.889716,1.0,0.9976999999999999,2.588000,1.0,15232000,160.26,21504000,8.000000,106.55,7168000,4.000000,0.5,10752113,160.6,7165132,107.39,10752396,161.43,7168013,107.62,0,0.0,0.000000,0,0.0,0.000000,161.4,10752000,107.6,107.73,0.5,161.6,10752000,0,0,2907097257,974848000,258048000,688128000,2505689257,0,146048000,163.000000,1.787710
BlackScholes,1700,4500,input00,BlackScholesGPU,1.7409,(224000 1 1) (128 1 1),896000.0,0.886568,1.0,0.9976999999999999,2.736497,1.0,15232000,183.28,21504000,8.000000,122.28,7168000,4.000000,0.5,10752110,183.87,7165719,122.23,10752376,183.14,7168024,122.08,0,0.0,0.000000,0,0.0,0.000000,183.67,10752000,122.45,122.77,0.5,184.16,10752000,0,0,2907097257,974848000,258048000,688128000,2505689257,0,146048000,163.000000,1.739748
BlackScholes,1700,5000,input00,BlackScholesGPU,1.5892,(224000 1 1) (128 1 1),896000.0,0.882869,1.0,0.9976,3.013079,1.0,15232000,200.63,21504000,8.000000,134.13,7168000,4.000000,0.5,10752135,200.47,7165160,133.98,10752400,201.55,7168013,134.36,0,0.0,0.000000,0,0.0,0.000000,201.19,10752000,134.13,134.0,0.5,201.0,10752000,0,0,2907097257,974848000,258048000,688128000,2505689257,0,146048000,163.000000,1.917268
BlackScholes,1700,5500,input00,BlackScholesGPU,1.4271,(224000 1 1) (128 1 1),896000.0,0.878740,1.0,0.9974,3.786807,1.0,15232000,224.18,21504000,8.000000,149.69,7168000,4.000000,0.5,10752204,224.03,7165182,149.03,10752376,225.1,7168025,150.06,0,0.0,0.000000,0,0.0,0.000000,223.82,10752000,149.21,149.2,0.5,223.81,10752000,0,0,2907097257,974848000,258048000,688128000,2505689257,0,146048000,163.000000,2.136805
BlackScholes,1600,4000,input00,BlackScholesGPU,1.9886,(224000 1 1) (128 1 1),896000.0,0.887490,1.0,0.9979,2.639414,1.0,15232000,161.35,21504000,8.000000,106.91,7168000,4.000000,0.5,10752190,159.68,7165435,107.78,10752415,161.61,7168488,107.74,0,0.0,0.000000,0,0.0,0.000000,162.04,10752000,108.03,107.64,0.5,161.46,10752000,0,0,2907097257,974848000,258048000,688128000,2505689257,0,146048000,163.000000,1.774491
BlackScholes,1600,4500,input00,BlackScholesGPU,1.7418,(224000 1 1) (128 1 1),896000.0,0.884462,1.0,0.9976999999999999,3.203058,1.0,15232000,184.01,21504000,8.000000,122.37,7168000,4.000000,0.5,10752146,183.49,7165230,122.83,10752408,183.74,7168157,122.49,0,0.0,0.000000,0,0.0,0.000000,183.68,10752000,122.45,122.79,0.5,184.19,10752000,0,0,2907097257,974848000,258048000,688128000,2505689257,0,146048000,163.000000,2.023576
BlackScholes,1600,5000,input00,BlackScholesGPU,1.5894,(224000 1 1) (128 1 1),896000.0,0.880204,1.0,0.9976,3.227750,1.0,15232000,201.31,21504000,8.000000,134.2,7168000,4.000000,0.5,10752204,201.34,7166353,134.17,10752438,201.4,7168297,134.26,0,0.0,0.000000,0,0.0,0.000000,201.19,10752000,134.13,134.82,0.5,202.23,10752000,0,0,2907097257,974848000,258048000,688128000,2505689257,0,146048000,163.000000,2.224926
BlackScholes,1600,5500,input00,BlackScholesGPU,1.4294,(224000 1 1) (128 1 1),896000.0,0.876181,1.0,0.9974,4.030893,1.0,15232000,224.39,21504000,8.000000,149.26,7168000,4.000000,0.5,10752107,223.92,7165952,149.4,10752400,224.5,7168013,149.66,0,0.0,0.000000,0,0.0,0.000000,224.13,10752000,149.42,149.41,0.5,224.11,10752000,0,0,2907097257,974848000,258048000,688128000,2505689257,0,146048000,163.000000,2.272501
BlackScholes,1800,4000,input00,BlackScholesGPU,1.9859,(224000 1 1) (128 1 1),896000.0,0.890919,1.0,0.998,2.749871,1.0,15232000,160.04,21504000,8.000000,106.75,7168000,4.000000,0.5,10752114,160.36,7165141,107.42,10752432,161.47,7168017,107.64,0,0.0,0.000000,0,0.0,0.000000,161.18,10752000,107.45,107.45,0.5,161.17,10752000,0,0,2907097257,974848000,258048000,688128000,2505689257,0,146048000,163.000000,1.444715
BlackScholes,1800,4500,input00,BlackScholesGPU,1.7422,(224000 1 1) (128 1 1),896000.0,0.888335,1.0,0.9978,3.129095,1.0,15232000,183.56,21504000,8.000000,122.03,7168000,4.000000,0.5,10752133,182.91,7164923,122.95,10752462,184.0,7168021,122.66,0,0.0,0.000000,0,0.0,0.000000,184.1,10752000,122.74,122.4,0.5,183.6,10752000,0,0,2907097257,974848000,258048000,688128000,2505689257,0,146048000,163.000000,1.639910
BlackScholes,1800,5000,input00,BlackScholesGPU,1.5882,(224000 1 1) (128 1 1),896000.0,0.885170,1.0,0.9976999999999999,3.039322,1.0,15232000,201.13,21504000,8.000000,134.25,7168000,4.000000,0.5,10752117,201.06,7164342,134.79,10752438,201.8,7168288,134.53,0,0.0,0.000000,0,0.0,0.000000,201.64,10752000,134.43,134.73,0.5,202.1,10752000,0,0,2907097257,974848000,258048000,688128000,2505689257,0,146048000,163.000000,1.805540
BlackScholes,1800,5500,input00,BlackScholesGPU,1.4279,(224000 1 1) (128 1 1),896000.0,0.881376,1.0,0.9974,3.801065,1.0,15232000,223.67,21504000,8.000000,149.54,7168000,4.000000,0.5,10752172,222.58,7164677,148.49,10752442,224.33,7168294,149.55,0,0.0,0.000000,0,0.0,0.000000,223.33,10752000,148.88,148.9,0.5,223.35,10752000,0,0,2907097257,974848000,258048000,688128000,2505689257,0,146048000,163.000000,2.018602
BlackScholes,1900,4000,input00,BlackScholesGPU,1.9942,(224000 1 1) (128 1 1),896000.0,0.892069,1.0,0.998,2.490850,1.0,15232000,160.49,21504000,8.000000,106.28,7168000,4.000000,0.5,10752130,159.37,7165250,107.23,10752469,161.18,7168292,107.45,0,0.0,0.000000,0,0.0,0.000000,161.35,10752000,107.57,107.57,0.5,161.36,10752000,0,0,2907097257,974848000,258048000,688128000,2505689257,0,146048000,163.000000,1.374939
BlackScholes,1900,4500,input00,BlackScholesGPU,1.7511,(224000 1 1) (128 1 1),896000.0,0.888966,1.0,0.9979,2.742624,1.0,15232000,182.77,21504000,8.000000,121.25,7168000,4.000000,0.5,10752221,182.35,7165886,121.97,10752490,183.42,7168570,122.28,0,0.0,0.000000,0,0.0,0.000000,183.14,10752000,122.09,122.49,0.5,183.74,10752000,0,0,2907097257,974848000,258048000,688128000,2505689257,0,146048000,163.000000,1.568909
BlackScholes,1900,5000,input00,BlackScholesGPU,1.5923,(224000 1 1) (128 1 1),896000.0,0.886361,1.0,0.9976999999999999,3.285188,1.0,15232000,200.88,21504000,8.000000,133.53,7168000,4.000000,0.5,10752155,200.99,7165308,134.79,10752430,202.35,7168292,134.9,0,0.0,0.000000,0,0.0,0.000000,201.57,10752000,134.38,134.74,0.5,202.1,10752000,0,0,2907097257,974848000,258048000,688128000,2505689257,0,146048000,163.000000,1.730016
BlackScholes,1900,5500,input00,BlackScholesGPU,1.4281,(224000 1 1) (128 1 1),896000.0,0.883127,1.0,0.9975,3.260576,1.0,15232000,224.2,21504000,8.000000,149.39,7168000,4.000000,0.5,10752149,224.12,7165147,149.34,10752459,223.64,7168013,149.09,0,0.0,0.000000,0,0.0,0.000000,224.05,10752000,149.37,149.36,0.5,224.04,10752000,0,0,2907097257,974848000,258048000,688128000,2505689257,0,146048000,163.000000,1.927234
BlackScholes,2000,4000,input00,BlackScholesGPU,1.9955,(224000 1 1) (128 1 1),896000.0,0.893541,1.0,0.9981,2.197217,1.0,15232000,160.28,21504000,8.000000,106.57,7168000,4.000000,0.5,10752123,160.11,7165158,107.46,10752415,161.19,7168025,107.46,0,0.0,0.000000,0,0.0,0.000000,162.32,10752000,108.21,108.08,0.5,162.12,10752000,0,0,2907097257,974848000,258048000,688128000,2505689257,0,146048000,163.000000,1.304484
BlackScholes,2000,4500,input00,BlackScholesGPU,1.7451,(224000 1 1) (128 1 1),896000.0,0.891207,1.0,0.9979,2.658372,1.0,15232000,183.42,21504000,8.000000,121.7,7168000,4.000000,0.5,10752134,182.32,7165108,122.24,10752379,183.69,7168025,122.45,0,0.0,0.000000,0,0.0,0.000000,183.49,10752000,122.32,122.09,0.5,183.14,10752000,0,0,2907097257,974848000,258048000,688128000,2505689257,0,146048000,163.000000,1.492384
BlackScholes,2000,5000,input00,BlackScholesGPU,1.5911,(224000 1 1) (128 1 1),896000.0,0.887765,1.0,0.9975,3.545441,1.0,15232000,199.67,21504000,8.000000,133.71,7168000,4.000000,0.5,10770403,200.94,7162275,134.28,10784962,202.34,7168013,134.53,0,0.0,0.000000,0,0.0,0.000000,201.18,10752000,134.12,133.93,0.5,200.89,10752000,0,0,2907097257,974848000,258048000,688128000,2505689257,0,146048000,163.000000,1.629867
BlackScholes,2000,5500,input00,BlackScholesGPU,1.4328,(224000 1 1) (128 1 1),896000.0,0.884662,1.0,0.9975,4.025293,1.0,15232000,223.49,21504000,8.000000,149.47,7168000,4.000000,0.5,10758777,222.23,7163413,148.8,10761192,224.38,7168013,149.44,0,0.0,0.000000,0,0.0,0.000000,223.64,10752000,149.09,148.89,0.5,223.33,10752000,0,0,2907097257,974848000,258048000,688128000,2505689257,0,146048000,163.000000,1.817792
SobolQRNG,1700,4000,input00,sobolGPU_kernel,2.1419,(1 1000 1) (64 1 1),2000.0,0.966052,1.0,0.8861,1.063441,1.0,4119000,0.056267000000000005,8000,8.000000,228.11,16384000,4.000000,0.5,3832,0.052452,16378336,222.23,4428,0.065804,16384013,223.93,4108000,228.07,1.000000,1000,0.056267000000000005,1.000000,0.05722,4000,232.67,230.41,0.5,0.056267000000000005,4000,0,0,131072000,0,0,1838208000,131072000,0,86183000,4.3092e+04,0.943073
SobolQRNG,1700,4500,input00,sobolGPU_kernel,1.9143,(1 1000 1) (64 1 1),2000.0,0.970409,1.0,0.8365,1.371182,1.0,4119000,0.061988999999999995,8000,8.000000,254.18,16384000,4.000000,0.5,3731,0.058174000000000003,16378330,255.93,4332,0.068665,16384013,255.37,4108000,254.05,1.000000,1000,0.061988999999999995,1.000000,0.061035,4000,247.33,247.66,0.5,0.061035,4000,0,0,131072000,0,0,1838208000,131072000,0,86183000,4.3092e+04,1.075996
