abbr.,appName,coreF,memF,time/ms,warps,achieved_occupancy,dram_read_transactions,dram_write_transactions,l2_read_transactions,l2_write_transactions,shared_load_transactions,shared_store_transactions,flop_count_sp,inst_issued,inst_per_warp
BP,backprop,400,400,0.54352,32768,0.969048,150928,147911,214281,196614,221184,159744,6225920,8742877,266.75
BP,backprop,400,500,0.47997,32768,0.965677,148364,148839,206936,196614,221184,159744,6225920,8742862,266.75
BP,backprop,400,600,0.46833,32768,0.964985,149562,148733,211815,196614,221184,159744,6225920,8742785,266.75
BP,backprop,400,700,0.46693,32768,0.964803,148101,148746,210079,196614,221184,159744,6225920,8742851,266.75
BP,backprop,400,800,0.46596,32768,0.964803,149372,148714,211764,196614,221184,159744,6225920,8742852,266.75
BP,backprop,400,900,0.46527,32768,0.9648,147184,148885,207079,196614,221184,159744,6225920,8742787,266.75
BP,backprop,400,1000,0.46463,32768,0.964737,148770,148481,208725,196622,221184,159744,6225920,8742782,266.75
BP,backprop,500,400,0.51003,32768,0.971259,149552,146952,208474,196614,221184,159744,6225920,8742685,266.75
BP,backprop,500,500,0.43198,32768,0.966543,147418,148668,209190,196614,221184,159744,6225920,8742631,266.75
BP,backprop,500,600,0.39201,32768,0.963326,144464,149784,204964,196614,221184,159744,6225920,8742614,266.75
BP,backprop,500,700,0.3902,32768,0.9632,150067,148519,209033,196614,221184,159744,6225920,8742612,266.75
BP,backprop,500,800,0.38887,32768,0.963186,148006,148674,206605,196614,221184,159744,6225920,8742602,266.75
BP,backprop,500,900,0.38789,32768,0.963094,144484,149793,204985,196614,221184,159744,6225920,8742610,266.75
BP,backprop,500,1000,0.38769,32768,0.963015,148201,148561,208885,196614,221184,159744,6225920,8742600,266.75
BP,backprop,600,400,0.5007,32768,0.972136,147576,145726,211942,196614,221184,159744,6225920,8742544,266.75
BP,backprop,600,500,0.40197,32768,0.968018,144622,149670,204986,196614,221184,159744,6225920,8742516,266.75
BP,backprop,600,600,0.33502,32768,0.962483,145958,143814,205803,196614,221184,159744,6225920,8742493,266.75
BP,backprop,600,700,0.32696,32768,0.961319,146349,148680,208624,196614,221184,159744,6225920,8742500,266.75
BP,backprop,600,800,0.32524,32768,0.961174,144466,149798,204999,196614,221184,159744,6225920,8742506,266.75
BP,backprop,600,900,0.32411,32768,0.961124,144461,149781,205004,196614,221184,159744,6225920,8742513,266.75
BP,backprop,600,1000,0.32364,32768,0.96106,144468,149781,204958,196614,221184,159744,6225920,8742501,266.75
BP,backprop,700,400,0.48951,32768,0.973238,144450,144436,204983,196614,221184,159744,6225920,8742510,266.75
BP,backprop,700,500,0.39177,32768,0.969209,149572,146058,208887,196614,221184,159744,6225920,8742462,266.75
BP,backprop,700,600,0.31767,32768,0.963701,146461,142429,209396,196614,221184,159744,6225920,8742443,266.75
BP,backprop,700,700,0.28606,32768,0.960031,144634,149473,204990,196614,221184,159744,6225920,8742430,266.75
BP,backprop,700,800,0.27964,32768,0.95921,144614,149476,205003,196614,221184,159744,6225920,8742411,266.75
BP,backprop,700,900,0.27833,32768,0.95902,144591,149480,205038,196614,221184,159744,6225920,8742425,266.75
BP,backprop,700,1000,0.27759,32768,0.95889,144589,149453,204977,196614,221184,159744,6225920,8742418,266.75
BP,backprop,800,400,0.48737,32768,0.974979,144608,145171,205016,196614,221184,159744,6225920,8742506,266.75
BP,backprop,800,500,0.38169,32768,0.969909,144618,146768,204983,196614,221184,159744,6225920,8742430,266.75
BP,backprop,800,600,0.30895,32768,0.964853,144604,142643,204982,196614,221184,159744,6225920,8742397,266.75
BP,backprop,800,700,0.26275,32768,0.960062,144617,143370,205005,196614,221184,159744,6225920,8742451,266.75
BP,backprop,800,800,0.24954,32768,0.957841,144675,149468,204973,196614,221184,159744,6225920,8742429,266.75
BP,backprop,800,900,0.24635,32768,0.957122,144641,149434,204978,196614,221184,159744,6225920,8742441,266.75
BP,backprop,800,1000,0.245,32768,0.957055,144643,149480,205014,196614,221184,159744,6225920,8742422,266.75
BP,backprop,900,400,0.4852,32768,0.976258,144644,144364,204991,196620,221184,159744,6225920,8742516,266.75
BP,backprop,900,500,0.38153,32768,0.97083,144656,145449,204960,196626,221184,159744,6225920,8742463,266.75
BP,backprop,900,600,0.30771,32768,0.966774,144634,141706,205011,196614,221184,159744,6225920,8742445,266.75
