appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,achieved_occupancy,sm_efficiency,warp_execution_efficiency,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,flop_count_sp_special,inst_integer,inst_fp_32,inst_fp_64,inst_executed,inst_per_warp,ipc
BlackScholes,1100,2100,input00,BlackScholesGPU,0.080747,(3584 1 1) (128 1 1),14336.0,0.872695,0.9404,1.0,2.640596,1.0,243712,62.096,344064,8.000000,41.251,114688,4.000000,0.5,173498,62.2,113012,41.154,172832,64.91,114694,42.487,0,0.0,0.000000,0,0.0,0.000000,62.978,172032,42.143,42.048,0.5,62.029,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.000000,1.702739
BlackScholes,1100,2600,input00,BlackScholesGPU,0.06455899999999999,(3584 1 1) (128 1 1),14336.0,0.856753,0.93,1.0,3.452766,1.0,243712,77.255,344064,8.000000,51.226,114688,4.000000,0.5,172338,78.194,112659,50.676,173891,78.241,114694,52.265,0,0.0,0.000000,0,0.0,0.000000,77.578,172032,51.923,51.884,0.5,77.488,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.000000,2.162045
BlackScholes,1100,3100,input00,BlackScholesGPU,0.054343,(3584 1 1) (128 1 1),14336.0,0.844897,0.9201,1.0,4.261814,1.0,243712,91.094,344064,8.000000,60.392,114688,4.000000,0.5,172432,91.177,112481,59.753,172738,92.55,114694,61.511,0,0.0,0.000000,0,0.0,0.000000,91.215,172032,61.057,61.09,0.5,91.574,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.000000,2.588056
BlackScholes,1100,3600,input00,BlackScholesGPU,0.048982,(3584 1 1) (128 1 1),14336.0,0.841159,0.9103,1.0,5.049239,1.0,243712,102.69,344064,8.000000,68.35,114688,4.000000,0.5,172503,102.92,111501,67.079,172652,102.81,114694,68.628,0,0.0,0.000000,0,0.0,0.000000,102.23,172032,68.287,68.262,0.5,102.91,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.000000,2.936885
BlackScholes,1100,3900,input00,BlackScholesGPU,0.046981999999999996,(3584 1 1) (128 1 1),14336.0,0.836894,0.9011,1.0,5.407431,1.0,243712,107.65,344064,8.000000,71.489,114688,4.000000,0.5,173375,108.15,111489,70.387,172608,107.66,114694,71.819,0,0.0,0.000000,0,0.0,0.000000,106.95,172032,71.537,71.581,0.5,108.2,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.000000,3.091476
BlackScholes,1300,2100,input00,BlackScholesGPU,0.080661,(3584 1 1) (128 1 1),14336.0,0.876647,0.9414,1.0,2.199020,1.0,243712,62.462,344064,8.000000,41.427,114688,4.000000,0.5,175023,63.11,113348,41.48,172996,64.112,114694,42.477,0,0.0,0.000000,0,0.0,0.000000,63.482,172032,42.57,42.509,0.5,61.963,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.000000,1.452389
BlackScholes,1300,2600,input00,BlackScholesGPU,0.06402,(3584 1 1) (128 1 1),14336.0,0.864242,0.9328,1.0,2.858194,1.0,243712,77.78,344064,8.000000,51.619,114688,4.000000,0.5,173350,78.171,112769,51.184,172614,79.866,114694,53.068,0,0.0,0.000000,0,0.0,0.000000,78.803,172032,52.646,52.721,0.5,78.063,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.000000,1.847104
BlackScholes,1300,3100,input00,BlackScholesGPU,0.053509,(3584 1 1) (128 1 1),14336.0,0.852980,0.9184,1.0,3.547599,1.0,243712,92.79,344064,8.000000,61.502,114688,4.000000,0.5,173246,93.007,112483,60.978,173490,94.469,114694,62.841,0,0.0,0.000000,0,0.0,0.000000,93.154,172032,62.326,62.227,0.5,93.326,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.000000,2.219553
BlackScholes,1300,3600,input00,BlackScholesGPU,0.046969000000000004,(3584 1 1) (128 1 1),14336.0,0.845540,0.9089,1.0,4.194792,1.0,243712,104.84,344064,8.000000,69.812,114688,4.000000,0.5,172220,106.03,113179,69.709,172322,106.0,114694,70.326,0,0.0,0.000000,0,0.0,0.000000,105.44,172032,70.534,70.568,0.5,105.43,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.000000,2.544130
BlackScholes,1300,3900,input00,BlackScholesGPU,0.04375,(3584 1 1) (128 1 1),14336.0,0.839912,0.9070999999999999,1.0,4.656045,1.0,243712,113.34,344064,8.000000,75.081,114688,4.000000,0.5,172903,113.5,111981,74.16,174339,113.84,114694,75.652,0,0.0,0.000000,0,0.0,0.000000,112.94,172032,75.619,75.52,0.5,113.52,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.000000,2.768417
BlackScholes,1500,2100,input00,BlackScholesGPU,0.080708,(3584 1 1) (128 1 1),14336.0,0.881143,0.943,1.0,1.906182,1.0,243712,62.51,344064,8.000000,41.588,114688,4.000000,0.5,175059,62.378,114120,42.046,174053,64.11,114694,42.806,0,0.0,0.000000,0,0.0,0.000000,63.985,172032,42.683,42.735,0.5,62.029,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.000000,1.272191
BlackScholes,1500,2600,input00,BlackScholesGPU,0.063987,(3584 1 1) (128 1 1),14336.0,0.872351,0.9303,1.0,2.444226,1.0,243712,78.103,344064,8.000000,51.806,114688,4.000000,0.5,173925,78.639,113086,51.907,172750,80.251,114694,53.338,0,0.0,0.000000,0,0.0,0.000000,79.305,172032,53.043,53.029,0.5,78.395,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.000000,1.600349
BlackScholes,1500,3100,input00,BlackScholesGPU,0.053085,(3584 1 1) (128 1 1),14336.0,0.860791,0.9234,1.0,3.039080,1.0,243712,93.405,344064,8.000000,61.926,114688,4.000000,0.5,173396,93.21,113005,61.529,172661,94.926,114694,62.835,0,0.0,0.000000,0,0.0,0.000000,93.925,172032,62.975,62.92,0.5,94.046,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.000000,1.961536
BlackScholes,1500,3600,input00,BlackScholesGPU,0.046411,(3584 1 1) (128 1 1),14336.0,0.849847,0.9153,1.0,3.586091,1.0,243712,106.43,344064,8.000000,70.661,114688,4.000000,0.5,173020,106.75,112511,70.012,172560,107.71,114694,71.976,0,0.0,0.000000,0,0.0,0.000000,106.91,172032,71.467,71.54,0.5,106.93,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.000000,2.200659
BlackScholes,1500,3900,input00,BlackScholesGPU,0.042961,(3584 1 1) (128 1 1),14336.0,0.845588,0.9085,1.0,3.954739,1.0,243712,114.37,344064,8.000000,75.92,114688,4.000000,0.5,172324,114.65,112563,75.331,172331,115.79,114694,77.478,0,0.0,0.000000,0,0.0,0.000000,114.68,172032,76.914,76.818,0.5,115.0,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.000000,2.437844
BlackScholes,700,2100,input00,BlackScholesGPU,0.083068,(3584 1 1) (128 1 1),14336.0,0.851970,0.9337000000000001,1.0,4.405227,1.0,243712,60.118,344064,8.000000,39.919,114688,4.000000,0.5,173361,60.471,112628,39.47,173778,60.676,114694,40.568,0,0.0,0.000000,0,0.0,0.000000,60.326,172032,40.387,40.329,0.5,60.185,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.000000,2.623553
BlackScholes,700,2600,input00,BlackScholesGPU,0.072009,(3584 1 1) (128 1 1),14336.0,0.843532,0.9267,1.0,5.487749,1.0,243712,71.181,344064,8.000000,47.18,114688,4.000000,0.5,174049,71.454,111690,46.588,172825,72.018,114694,47.621,0,0.0,0.000000,0,0.0,0.000000,70.757,172032,47.269,47.261,0.5,71.252,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.000000,3.128950
BlackScholes,700,3100,input00,BlackScholesGPU,0.07004,(3584 1 1) (128 1 1),14336.0,0.845181,0.9248999999999999,1.0,5.850034,1.0,243712,73.872,344064,8.000000,48.961,114688,4.000000,0.5,173795,74.376,112877,48.704,173620,73.925,114694,49.175,0,0.0,0.000000,0,0.0,0.000000,73.33,172032,49.068,49.145,0.5,73.853,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.000000,3.261407
BlackScholes,700,3600,input00,BlackScholesGPU,0.070404,(3584 1 1) (128 1 1),14336.0,0.845182,0.9233,1.0,5.779365,1.0,243712,73.33,344064,8.000000,48.719,114688,4.000000,0.5,173803,74.127,112275,48.37,173398,73.936,114694,48.928,0,0.0,0.000000,0,0.0,0.000000,73.004,172032,48.816,48.82,0.5,72.96,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.000000,3.239293
BlackScholes,700,3900,input00,BlackScholesGPU,0.070345,(3584 1 1) (128 1 1),14336.0,0.846817,0.9234,1.0,5.789304,1.0,243712,73.405,344064,8.000000,48.824,114688,4.000000,0.5,173322,73.71,112147,48.26,173957,73.63,114694,49.046,0,0.0,0.000000,0,0.0,0.000000,72.975,172032,48.82,48.807,0.5,73.25,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.000000,3.230500
