appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,achieved_occupancy,sm_efficiency,warp_execution_efficiency,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,flop_count_sp_special,inst_integer,inst_fp_32,inst_fp_64,inst_executed,inst_per_warp,ipc
BlackScholes,1000,1000,input00,BlackScholesGPU,0.16391999999999998,(3584 1 1) (128 1 1),14336.0,0.886978,0.9561,1.0,1.304350,1.0,243712,31.132,344064,8.000000,20.773,114688,4.000000,0.5,174135,31.359,113267,20.357,172496,32.271,114694,20.936,0,0.0,0.000000,0,0.0,0.000000,31.689,172032,21.223,21.229,0.5,30.993,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.000000,0.925026
BlackScholes,1000,500,input00,BlackScholesGPU,0.35869999999999996,(3584 1 1) (128 1 1),14336.0,0.902185,0.9734999999999999,1.0,0.561589,1.0,243712,14.36,344064,8.000000,9.5489,114688,4.000000,0.5,175510,14.464,112239,9.1428,175400,14.689,114694,9.7072,0,0.0,0.000000,0,0.0,0.000000,14.558,172032,9.7463,9.7454,0.5,14.273,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.000000,0.417736
BlackScholes,1000,600,input00,BlackScholesGPU,0.28914999999999996,(3584 1 1) (128 1 1),14336.0,0.897777,0.9718000000000001,1.0,0.724840,1.0,243712,17.831,344064,8.000000,11.865,114688,4.000000,0.5,173664,17.996,111254,11.306,172457,18.334,114694,12.076,0,0.0,0.000000,0,0.0,0.000000,18.238,172032,12.177,12.16,0.5,17.665,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.000000,0.524351
BlackScholes,1000,700,input00,BlackScholesGPU,0.24258000000000002,(3584 1 1) (128 1 1),14336.0,0.893693,0.9653,1.0,0.873241,1.0,243712,21.198,344064,8.000000,14.122,114688,4.000000,0.5,172896,21.333,112248,13.528,173248,21.879,114694,14.477,0,0.0,0.000000,0,0.0,0.000000,21.621,172032,14.468,14.474,0.5,21.129,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.000000,0.614465
BlackScholes,1000,800,input00,BlackScholesGPU,0.20893,(3584 1 1) (128 1 1),14336.0,0.893480,0.9643999999999999,1.0,1.030752,1.0,243712,24.588,344064,8.000000,16.343,114688,4.000000,0.5,175307,25.194,112381,15.79,174856,25.508,114694,16.779,0,0.0,0.000000,0,0.0,0.000000,25.082,172032,16.742,16.782,0.5,24.041,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.000000,0.725697
BlackScholes,1000,900,input00,BlackScholesGPU,0.18364,(3584 1 1) (128 1 1),14336.0,0.891693,0.9605,1.0,1.171219,1.0,243712,27.905,344064,8.000000,18.577,114688,4.000000,0.5,174517,27.839,113406,18.028,174196,28.555,114694,18.887,0,0.0,0.000000,0,0.0,0.000000,28.432,172032,19.009,18.975,0.5,27.709,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.000000,0.818497
BlackScholes,500,1000,input00,BlackScholesGPU,0.167,(3584 1 1) (128 1 1),14336.0,0.860716,0.9504,1.0,2.831658,1.0,243712,30.069,344064,8.000000,20.036,114688,4.000000,0.5,172097,30.119,114317,20.326,172354,30.571,114694,20.399,0,0.0,0.000000,0,0.0,0.000000,30.432,172032,20.306,20.34,0.5,30.145,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.000000,1.787066
BlackScholes,500,500,input00,BlackScholesGPU,0.35499,(3584 1 1) (128 1 1),14336.0,0.896668,0.9706,1.0,1.173672,1.0,243712,14.517,344064,8.000000,9.6401,114688,4.000000,0.5,178136,14.695,112289,9.2657,175409,14.903,114704,9.6681,0,0.0,0.000000,0,0.0,0.000000,14.567,172032,9.7482,9.7398,0.5,14.286,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.000000,0.830075
BlackScholes,500,600,input00,BlackScholesGPU,0.28872000000000003,(3584 1 1) (128 1 1),14336.0,0.881057,0.9679000000000001,1.0,1.517061,1.0,243712,17.628,344064,8.000000,11.745,114688,4.000000,0.5,172102,17.661,113183,11.657,172354,17.883,114694,11.896,0,0.0,0.000000,0,0.0,0.000000,17.852,172032,11.891,11.898,0.5,17.573,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.000000,1.018428
BlackScholes,500,700,input00,BlackScholesGPU,0.24336000000000002,(3584 1 1) (128 1 1),14336.0,0.873793,0.9631000000000001,1.0,1.837268,1.0,243712,20.841,344064,8.000000,13.91,114688,4.000000,0.5,172098,20.828,113975,13.915,172342,21.129,114694,14.079,0,0.0,0.000000,0,0.0,0.000000,21.093,172032,14.074,14.06,0.5,20.811,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.000000,1.213006
