appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,achieved_occupancy,sm_efficiency,warp_execution_efficiency,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,flop_count_sp_special,inst_integer,inst_fp_32,inst_fp_64,inst_executed,inst_per_warp,ipc
BlackScholes,1087,877,input00,BlackScholesGPU,0.76522,(224000 1 1) (128 1 1),896000.0,0.851993,0.9931,1.0,8.568211,1.0,73472000,421.56,10752000,4.000000,274.91,7168000,4.000000,0.0,10752022,421.46,7167433,300.44,10752116,413.09,7819204,280.77,0,0.0,0.000000,0,0.0,0.000000,421.08,10752000,275.45,276.9,0.0,560.83,3584000,0,0,2849755420,974848000,258048000,688128000,2391003420,0,141568000,158.000000,2.156619
BlackScholes,1237,877,input00,BlackScholesGPU,0.73776,(224000 1 1) (128 1 1),896000.0,0.863435,0.9934999999999999,1.0,7.411750,1.0,73472000,434.59,10752000,4.000000,279.24,7168000,4.000000,0.0,10752016,434.85,7167439,311.69,10752132,424.43,7918503,290.09,0,0.0,0.000000,0,0.0,0.000000,434.8,10752000,283.05,286.39,0.0,579.6,3584000,0,0,2849755420,974848000,258048000,688128000,2391003420,0,141568000,158.000000,1.954370
BlackScholes,1380,877,input00,BlackScholesGPU,0.7295,(224000 1 1) (128 1 1),896000.0,0.871798,0.9937,1.0,6.513803,1.0,73472000,439.23,10752000,4.000000,279.95,7168000,4.000000,0.0,10752028,439.52,7167455,317.7,10752143,428.29,7874689,292.96,0,0.0,0.000000,0,0.0,0.000000,439.62,10752000,287.96,288.84,0.0,585.96,3584000,0,0,2849755420,974848000,258048000,688128000,2391003420,0,141568000,158.000000,1.763468
BlackScholes,510,877,input00,BlackScholesGPU,1.5631,(224000 1 1) (128 1 1),896000.0,0.858464,0.9929000000000001,1.0,10.103195,1.0,73472000,206.46,10752000,4.000000,135.62,7168000,4.000000,0.0,10752044,206.7,7167522,150.44,10752127,203.76,7925034,137.42,0,0.0,0.000000,0,0.0,0.000000,206.0,10752000,135.86,135.7,0.0,275.23,3584000,0,0,2849755420,974848000,258048000,688128000,2391003420,0,141568000,158.000000,2.223460
BlackScholes,652,877,input00,BlackScholesGPU,1.2438,(224000 1 1) (128 1 1),896000.0,0.852785,0.9929000000000001,1.0,9.637037,1.0,73472000,252.16,10752000,4.000000,165.31,7168000,4.000000,0.0,10752026,251.88,7167411,181.47,10752160,248.83,7839353,168.09,0,0.0,0.000000,0,0.0,0.000000,252.17,10752000,165.91,166.01,0.0,335.91,3584000,0,0,2849755420,974848000,258048000,688128000,2391003420,0,141568000,158.000000,2.149182
BlackScholes,720,877,input00,BlackScholesGPU,1.0985,(224000 1 1) (128 1 1),896000.0,0.848832,0.9933,1.0,9.631820,1.0,73472000,295.59,10752000,4.000000,193.12,7168000,4.000000,0.0,10752016,292.16,7167433,209.1,10752105,288.95,7764688,194.93,0,0.0,0.000000,0,0.0,0.000000,292.78,10752000,195.18,195.66,0.0,394.08,3584000,0,0,2849755420,974848000,258048000,688128000,2391003420,0,141568000,158.000000,2.259366
BlackScholes,735,877,input00,BlackScholesGPU,1.0695,(224000 1 1) (128 1 1),896000.0,0.847494,0.9926,1.0,9.651244,1.0,73472000,303.05,10752000,4.000000,199.7,7168000,4.000000,0.0,10752037,302.08,7167554,216.43,10752159,298.48,7786626,201.16,0,0.0,0.000000,0,0.0,0.000000,301.38,10752000,198.8,199.17,0.0,402.42,3584000,0,0,2849755420,974848000,258048000,688128000,2391003420,0,141568000,158.000000,2.266222
BlackScholes,802,877,input00,BlackScholesGPU,0.973,(224000 1 1) (128 1 1),896000.0,0.844461,0.9932,1.0,9.747258,1.0,73472000,333.11,10752000,4.000000,220.03,7168000,4.000000,0.0,10752039,332.09,7167469,239.44,10752110,329.91,7798440,221.83,0,0.0,0.000000,0,0.0,0.000000,332.29,10752000,220.28,220.25,0.0,443.45,3584000,0,0,2849755420,974848000,258048000,688128000,2391003420,0,141568000,158.000000,2.299101
BlackScholes,945,877,input00,BlackScholesGPU,0.82913,(224000 1 1) (128 1 1),896000.0,0.844812,0.993,1.0,9.473800,1.0,73472000,387.49,10752000,4.000000,257.11,7168000,4.000000,0.0,10752044,387.78,7167400,279.48,10752128,385.0,7803703,258.06,0,0.0,0.000000,0,0.0,0.000000,387.53,10752000,256.56,256.83,0.0,517.05,3584000,0,0,2849755420,974848000,258048000,688128000,2391003420,0,141568000,158.000000,2.277782
SobolQRNG,1087,877,input00,sobolGPU_kernel,0.67108,(1 1000 1) (64 1 1),2000.0,0.382390,0.9179,1.0,2.518200,1.0,24664000,0.18208000000000002,4000,4.000000,702.72,16384000,4.000000,0.0,3646,0.16066999999999998,16380772,704.01,4157,0.17667,16975302,701.37,4373706,774.4,1.067932,1001,0.18087,1.001455,0.17594,4000,684.5,686.86,0.0,725.98,4111000,0,0,131072000,0,0,2100320000,131072000,0,86170000,4.3085e+04,1.592289
