Fc,delta,t0,p0,cg,benchmark_argNo
1.0698645,0.4349759,1.0016285,0.5302107,0.4959053,BlackScholes_input000
1.086357,0.44352952,1.0036839,0.54023165,0.48038343,SobolQRNG_input000
0.99402994,1.1476964,1.0002848,0.44361055,0.58075136,binomialOptions_input000
1.0489414,0.5924194,0.99811053,0.49835265,0.5326777,cfd_input000
1.0625334,0.57487637,1.0023952,0.526683,0.5032403,convolutionSeparable_input000
1.0333347,0.730217,0.99595183,0.46556377,0.56627846,convolutionTexture_input000
1.0033698,1.043153,0.9955189,0.40204298,0.6259591,eigenvalues_input000
1.0994415,0.24542488,1.0005211,0.5816918,0.4299834,fastWalshTransform_input000
1.0181661,0.8100241,0.995178,0.44444543,0.5863563,gaussian_input000
1.0403308,0.79971117,0.99995327,0.46016353,0.5687456,histogram_input000
0.99329066,1.117327,0.9977549,0.42924857,0.59692436,hotspot_input000
1.010084,0.95897794,0.99842685,0.4272772,0.60540855,matrixMul_input000
1.0575734,0.61941636,1.0004591,0.49817008,0.5292202,mergeSort_input000
1.0425141,0.70042264,1.0004351,0.47405374,0.55798393,nnForward_input000
1.0502882,0.75886494,0.9993736,0.45786095,0.5683194,quasirandomGenerator_input000
1.0246273,0.82162863,0.9969183,0.4465143,0.5834824,reduction_input000
1.1040137,0.28224775,1.0032645,0.577335,0.43600273,scalarProd_input000
1.0194886,0.9817186,0.99815106,0.42344487,0.60419637,sortingNetworks_input000
1.0683718,0.49762,1.0014343,0.5215705,0.5023907,transpose_input000
1.0961365,0.2678884,1.0009365,0.57512724,0.43839294,vectorAdd_input000
