Fc,delta,t0,p0,cg,benchmark_argNo
1.0862616,0.32563505,0.9959228,0.5654531,0.45257378,BlackScholes_input000
1.0771772,0.4195973,0.997591,0.55621696,0.46323675,SobolQRNG_input000
1.0154486,1.0916952,0.99398935,0.47427124,0.5587923,binomialOptions_input000
1.055084,0.60973036,0.9962284,0.49986023,0.5200769,cfd_input000
1.073792,0.45000073,0.99748135,0.5454512,0.47454703,convolutionSeparable_input000
1.0337309,0.8150545,0.9960434,0.45794427,0.5643138,convolutionTexture_input000
1.0097533,1.0232189,0.9894091,0.40309078,0.6159198,eigenvalues_input000
1.0892761,0.30681974,0.9970596,0.5838486,0.43485102,fastWalshTransform_input000
1.0264426,0.881166,0.9952376,0.44451594,0.57715476,gaussian_input000
1.0400349,0.756367,0.99654895,0.4755991,0.5460528,histogram_input000
1.0144273,1.1009042,0.99388397,0.4699334,0.56282556,hotspot_input000
1.025368,0.8974351,0.99522024,0.43796146,0.58498466,matrixMul_input000
1.0629776,0.54838943,0.99752635,0.52430165,0.4962385,mergeSort_input000
1.0621775,0.55117005,0.9970525,0.5169235,0.50338423,nnForward_input000
1.0193236,0.9505236,0.99410844,0.4276107,0.594183,quasirandomGenerator_input000
1.03768,0.7806467,0.996465,0.46845686,0.5539694,reduction_input000
1.0936888,0.2575308,0.9963748,0.59295326,0.4239008,scalarProd_input000
1.0229713,0.9252818,0.9951671,0.437622,0.5855595,sortingNetworks_input000
1.0687861,0.4986204,0.9978645,0.53852814,0.48202574,transpose_input000
1.0911846,0.287425,0.99680996,0.5883757,0.42996693,vectorAdd_input000
