Fc,delta,t0,p0,cg,benchmark_argNo
1.0358521,0.8755194,0.9953239,0.47164017,0.53991246,BlackScholes_input000
1.0252122,0.91537297,0.99688303,0.45905036,0.56826293,SobolQRNG_input000
1.0078787,0.95039487,0.99756354,0.45641363,0.5610768,binomialOptions_input000
1.0467114,0.8402254,0.99394304,0.4889975,0.5062491,cfd_input000
1.0402807,0.9098306,0.9989269,0.46692494,0.5281002,convolutionSeparable_input000
1.0445513,0.8479764,0.9936933,0.48516172,0.51368064,convolutionTexture_input000
1.0197214,0.9451614,0.9960943,0.4473301,0.57330453,eigenvalues_input000
1.0420454,0.85026467,0.9950674,0.4837828,0.5268587,fastWalshTransform_input000
1.0414543,0.84859526,0.9949788,0.48454586,0.5292458,gaussian_input000
1.024598,0.93225294,0.99766695,0.45577544,0.56909615,histogram_input000
1.0297583,0.89245296,0.99678063,0.47095534,0.550035,hotspot_input000
1.0358611,0.92070687,0.9986831,0.46112713,0.5425832,matrixMul_input000
1.0238425,0.92030984,0.9961094,0.4575527,0.5677772,mergeSort_input000
1.0298334,0.9119258,0.9964631,0.4598536,0.55856186,nnForward_input000
1.0339993,0.878124,0.9972582,0.4753572,0.5466434,quasirandomGenerator_input000
1.0283394,0.90916157,0.99594307,0.46077737,0.5610828,reduction_input000
1.0368658,0.89085025,0.9969276,0.47066528,0.5425699,scalarProd_input000
1.0116477,0.9788223,0.99639904,0.43420684,0.591887,sortingNetworks_input000
1.0320799,0.88477707,0.99598724,0.46947864,0.55417967,transpose_input000
1.037918,0.8625455,0.99531347,0.4807751,0.5360752,vectorAdd_input000
