Fc,delta,t0,p0,cg,benchmark_argNo
1.2113192,1.1336414,1.0289719,0.46691984,0.57943225,BlackScholes_input000
1.3186628,1.1744046,1.0246372,0.52675086,0.53597367,SobolQRNG_input000
1.0571,1.0439234,1.0154268,0.41510576,0.6195675,binomialOptions_input000
1.1954637,1.1222728,1.0272413,0.4634347,0.5821091,cfd_input000
1.2519274,1.1310285,1.0299122,0.48913187,0.56208706,convolutionSeparable_input000
1.1926495,1.1266978,1.0321702,0.4554137,0.5861461,convolutionTexture_input000
1.0481125,1.0313423,1.0126998,0.42082268,0.6157076,eigenvalues_input000
1.4425391,1.2538843,1.0331893,0.55789655,0.4991635,fastWalshTransform_input000
1.1513819,1.105186,1.0222626,0.45235032,0.59273297,gaussian_input000
1.1438599,1.0805483,1.0190915,0.45965624,0.5902719,histogram_input000
1.0511191,1.0528005,1.0206405,0.40499192,0.62569225,hotspot_input000
1.0473819,1.0331634,1.0210402,0.40767175,0.6239546,matrixMul_input000
1.1772645,1.1067711,1.0259724,0.4653296,0.58440536,mergeSort_input000
1.1529907,1.0920779,1.0258417,0.450431,0.5939679,nnForward_input000
1.1704684,1.1146343,1.0222886,0.4635601,0.585927,quasirandomGenerator_input000
1.1170582,1.081141,1.0253999,0.434811,0.6062316,reduction_input000
1.3672026,1.1949722,1.026582,0.5414571,0.5203024,scalarProd_input000
1.0486064,1.0295348,1.0187985,0.42062706,0.61825013,sortingNetworks_input000
1.3003885,1.1784488,1.029617,0.5088827,0.5460574,transpose_input000
1.4100907,1.2402976,1.034043,0.5442892,0.5117953,vectorAdd_input000
