Fc,delta,t0,p0,cg,benchmark_argNo
1.2182422,1.0816271,1.0119774,0.5192932,0.5171911,BlackScholes_input000
1.2513138,1.0835395,1.014007,0.55113685,0.48736435,SobolQRNG_input000
1.1010232,1.0304228,0.9952967,0.4267707,0.60038763,binomialOptions_input000
1.1328583,1.037237,1.0009812,0.45588118,0.57252574,cfd_input000
1.2348025,1.0855942,1.0133135,0.5337161,0.5042293,convolutionSeparable_input000
1.1148044,1.0359133,0.9996375,0.43919677,0.58898556,convolutionTexture_input000
1.0682976,0.99838614,0.9922316,0.41191953,0.6111703,eigenvalues_input000
1.2688545,1.0950832,1.0164268,0.56332594,0.47757208,fastWalshTransform_input000
1.0792248,1.0068402,0.9936023,0.41818714,0.60580456,gaussian_input000
1.1406447,1.0370584,1.0010288,0.4630071,0.56553316,histogram_input000
1.0569788,1.0098095,0.9915803,0.39583933,0.6285072,hotspot_input000
1.1155071,1.0413396,1.0006598,0.43779218,0.5909059,matrixMul_input000
1.183962,1.0621111,1.0072011,0.49410737,0.53895473,mergeSort_input000
1.1905689,1.0682629,1.0085676,0.49801475,0.53593147,nnForward_input000
1.0778413,1.0098128,0.993851,0.4155932,0.6087924,quasirandomGenerator_input000
1.1595606,1.0574024,1.005261,0.47268182,0.55884534,reduction_input000
1.2474062,1.0785582,1.013027,0.5493526,0.48833954,scalarProd_input000
1.1202701,1.0373722,1.0001092,0.44367075,0.584933,sortingNetworks_input000
1.224625,1.0782046,1.0116286,0.52677566,0.50995195,transpose_input000
1.2665958,1.0936953,1.0161159,0.56167763,0.47895736,vectorAdd_input000
