Fc,delta,t0,p0,cg,benchmark_argNo
1.1923211,1.0901669,1.0286747,0.46894583,0.5762423,BlackScholes_input000
1.1196336,1.0468751,1.0227554,0.4554816,0.5901129,SobolQRNG_input000
1.2115067,1.1038922,1.019155,0.48814273,0.5605978,binomialOptions_input000
1.3169101,1.1705155,1.0353832,0.5046069,0.54574883,cfd_input000
1.2258884,1.098066,1.0291021,0.48748094,0.5639709,convolutionSeparable_input000
1.3147033,1.1704469,1.034966,0.5011488,0.55051494,convolutionTexture_input000
1.112166,1.030605,1.0231751,0.44928417,0.59464,eigenvalues_input000
1.2535079,1.1342974,1.0330456,0.48926866,0.56041276,fastWalshTransform_input000
1.2498263,1.1335979,1.0328275,0.4849758,0.5641068,gaussian_input000
1.132555,1.0493706,1.02391,0.45937848,0.5886315,histogram_input000
1.2356708,1.1227436,1.0284963,0.48115274,0.5677028,hotspot_input000
1.1810691,1.0715297,1.026524,0.47442245,0.575341,matrixMul_input000
1.1197608,1.0429269,1.0247366,0.45460305,0.5919514,mergeSort_input000
1.1411095,1.0537462,1.0250139,0.45766228,0.58787787,nnForward_input000
1.2471887,1.1371318,1.0272208,0.4895599,0.5629922,quasirandomGenerator_input000
1.142286,1.0566291,1.0264915,0.4577467,0.58871496,reduction_input000
1.2113639,1.1002804,1.0305564,0.4772941,0.5726017,scalarProd_input000
1.0388236,0.9798878,1.017761,0.435335,0.60552454,sortingNetworks_input000
1.1589427,1.0743035,1.0256284,0.46378377,0.5833638,transpose_input000
1.2385482,1.1259549,1.0313652,0.4829447,0.5660212,vectorAdd_input000
