,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,mem_del,mem_lat,shm_del,shm_lat,compute_del,compute_lat,sm_del,sm_lat,insts,abe
55,BlackScholes,400,1000,366.432,0.4,4413.020426039127,4379.717466875001,4046.588426039127,7438.428979654053,28.0,0.0,2006.7559706186526,571.5281982421875,2034.7559706186526,571.5281982421875,142.88204956054688,0.007603905826347367
54,BlackScholes,400,900,376.3333333333333,0.4444444444444444,4933.459757078989,4776.8572578125,4557.126423745656,7648.84081461694,28.0,0.0,2012.8867067895508,571.5150146484375,2040.8867067895508,571.5150146484375,142.87875366210938,0.032783583602036065
53,BlackScholes,400,800,388.71,0.5,5606.618746233338,5385.673937812501,5217.908746233338,7898.69895675044,28.0,0.0,2025.8994538424074,571.6676940917969,2053.8994538424076,571.6676940917969,142.91692352294922,0.0410245423269308
62,BlackScholes,500,1000,388.71,0.5,5490.3599642186855,5256.55606875,5101.649964218685,7919.855122180405,28.0,0.0,2019.3028153535156,571.3760681152344,2047.3028153535156,571.3760681152344,142.8440170288086,0.04447853164900865
61,BlackScholes,500,900,401.08666666666664,0.5555555555555556,6111.1123578881625,5831.250609374999,5710.025691221495,8120.686453876636,28.0,0.0,2030.384561151367,571.9906921386719,2058.384561151367,571.9906921386719,142.99767303466797,0.047993435244101004
52,BlackScholes,400,700,404.62285714285713,0.5714285714285714,6508.181727536736,6272.691885,6103.558870393878,8267.839889043193,28.0,0.0,2034.5614510820312,571.15380859375,2062.5614510820315,571.15380859375,142.7884521484375,0.03754207074954002
69,BlackScholes,600,1000,410.988,0.6,6525.367442199222,6237.479990624999,6114.379442199222,8325.07880529991,28.0,0.0,2033.3981471276854,571.9901428222656,2061.3981471276857,571.9901428222656,142.9975357055664,0.04615444891317018
60,BlackScholes,500,800,416.5575,0.625,6989.991090592593,6742.196136328125,6573.433590592593,8492.746149282992,28.0,0.0,2038.7221457635496,571.5428161621094,2066.7221457635496,571.5428161621094,142.88570404052734,0.036752854597229094
51,BlackScholes,400,600,425.84000000000003,0.6666666666666666,7731.217438038501,7528.779764999999,7305.377438038501,8714.147406336466,28.0,0.0,2046.5051815898435,571.1141357421875,2074.5051815898432,571.1141357421875,142.77853393554688,0.02688851040371773
68,BlackScholes,600,900,425.84000000000003,0.6666666666666666,7319.845451874341,7014.447496875001,6894.005451874341,8634.880775474661,28.0,0.0,2043.1515087036134,571.9894409179688,2071.151508703613,571.9894409179688,142.9973602294922,0.043538419117884565
76,BlackScholes,700,1000,433.26599999999996,0.7,7604.816580124566,7289.276295000001,7171.550580124566,8787.795699352919,28.0,0.0,2044.430141359375,571.9925537109375,2072.430141359375,571.9925537109375,142.99813842773438,0.04328828711582887
59,BlackScholes,500,700,436.4485714285714,0.7142857142857143,8118.351676025341,7863.022661328126,7681.9031045967695,8927.091902230555,28.0,0.0,2048.1978931418457,571.4142456054688,2076.1978931418457,571.4142456054688,142.8535614013672,0.032472119907904204
67,BlackScholes,600,800,444.405,0.75,8321.29584977768,8017.1384718750005,7876.890849777679,9021.266159607267,28.0,0.0,2050.3138181567383,571.9922790527344,2078.3138181567383,571.9922790527344,142.9980697631836,0.037938396470223984
75,BlackScholes,700,900,450.59333333333336,0.7777777777777778,8528.29316056115,8204.90009828125,8077.699827227816,9148.26458418516,28.0,0.0,2052.5083960605466,571.990478515625,2080.5083960605466,571.990478515625,142.99761962890625,0.039414625212517054
50,BlackScholes,400,500,455.544,0.8,9638.149578828403,9302.629883750002,9182.605578828403,9343.408053759644,28.0,0.0,2081.124818382324,571.3443908691406,2109.124818382324,571.3443908691406,142.83609771728516,0.036067187372948464
83,BlackScholes,800,1000,455.544,0.8,8682.017815310643,8347.524982500001,8226.473815310643,9249.240011077149,28.0,0.0,2052.6813048500976,571.9908447265625,2080.6813048500976,571.9908447265625,142.99771118164062,0.040070899279952124
58,BlackScholes,500,600,462.97,0.8333333333333334,9573.256533061896,9274.91696328125,9110.286533061897,9411.164930793973,28.0,0.0,2059.7366161485597,571.9906311035156,2087.7366161485597,571.9906311035156,142.9976577758789,0.03216627932754028
66,BlackScholes,600,700,468.2742857142857,0.8571428571428571,9751.420265349805,9450.699253593752,9283.14597963552,9619.878067545178,28.0,0.0,2057.6897911503906,571.11474609375,2085.6897911503906,571.11474609375,142.7786865234375,0.0318199747644811
74,BlackScholes,700,800,472.2525,0.875,9700.8487866019,9366.064624765626,9228.5962866019,9598.491558102703,28.0,0.0,2059.759495773804,571.9906311035156,2087.759495773804,571.9906311035156,142.9976577758789,0.035744378802495404
82,BlackScholes,800,900,475.3466666666667,0.8888888888888888,9736.459549882618,9392.869125625,9261.112883215952,9661.263547651126,28.0,0.0,2059.6514283831784,571.9911193847656,2087.6514283831784,571.9911193847656,142.9977798461914,0.03657992245630864
90,BlackScholes,900,1000,477.822,0.9,9762.250637226725,9413.60160375,9284.428637226725,9712.139305736502,28.0,0.0,2059.280603230957,571.9929809570312,2087.280603230957,571.9929809570312,142.9982452392578,0.03703673133329099
49,BlackScholes,400,400,500.1,1.0,12492.29279862928,12001.764937499998,11992.19279862928,10292.14601752758,28.0,0.0,2087.7634065509033,571.3229675292969,2115.7634065509033,571.3229675292969,142.83074188232422,0.04087131048506103
57,BlackScholes,500,500,500.1,1.0,12016.931641896987,11685.377578125,11516.831641896986,10304.693815839692,28.0,0.0,2083.773635723877,571.0682983398438,2111.773635723877,571.0682983398438,142.76707458496094,0.028373414684747064
65,BlackScholes,600,600,500.1,1.0,11577.422470408932,11337.586164843751,11077.322470408932,10269.03272120158,28.0,0.0,2067.3588686779785,571.3364868164062,2095.3588686779785,571.3364868164062,142.83412170410156,0.02115408889317897
73,BlackScholes,700,700,500.1,1.0,11258.3035869901,10922.658296484375,10758.2035869901,10179.172392919705,28.0,0.0,2069.0411759020994,571.9923706054688,2097.0411759020994,571.9923706054688,142.9980926513672,0.03072926767412998
81,BlackScholes,800,800,500.1,1.0,11075.939031015383,10729.336227499998,10575.839031015383,10177.077874327852,28.0,0.0,2065.584098399414,571.990478515625,2093.584098399414,571.990478515625,142.99761962890625,0.03230421679087836
89,BlackScholes,900,900,500.1,1.0,10951.222138068573,10589.242594218751,10451.122138068573,10175.363354623583,28.0,0.0,2066.203190984131,571.9914855957031,2094.203190984131,571.9914855957031,142.99787139892578,0.03418370489004065
97,BlackScholes,1000,1000,500.1,1.0,10839.527188619875,10478.4631875,10339.427188619875,10174.692715981673,28.0,0.0,2064.1024592016597,571.9932861328125,2092.1024592016597,571.9932861328125,142.99832153320312,0.03445772482653728
96,BlackScholes,1000,900,524.8533333333334,1.1111111111111112,12158.091779258866,11772.518875000002,11633.238445925534,10688.56576201507,28.0,0.0,2070.338566296875,571.9898681640625,2098.338566296875,571.9898681640625,142.99746704101562,0.032751946151274657
88,BlackScholes,900,800,527.9475,1.125,12452.491481672085,12079.85175421875,11924.543981672085,10754.077304832745,28.0,0.0,2070.863004786255,571.9887390136719,2098.863004786255,571.9887390136719,142.99718475341797,0.03084803812457346
80,BlackScholes,800,700,531.9257142857143,1.1428571428571428,12857.12335382236,12496.077457500001,12325.197639536646,10839.638141479245,28.0,0.0,2074.6465089501953,571.988525390625,2102.6465089501953,571.988525390625,142.99713134765625,0.028892738345316797
72,BlackScholes,700,600,537.23,1.1666666666666667,13522.19049550616,13252.073449999996,12984.96049550616,11070.609514010748,28.0,0.0,2073.2566345965574,571.1035461425781,2101.2566345965574,571.1035461425781,142.77588653564453,0.02038300244299988
64,BlackScholes,600,500,544.656,1.2,14400.154972449185,14100.722506406251,13855.498972449186,11245.91185593512,28.0,0.0,2087.76217699939,571.1522521972656,2115.76217699939,571.1522521972656,142.7880630493164,0.02123525698111536
