appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,achieved_occupancy,sm_efficiency,warp_execution_efficiency,eligible_warps_per_cycle,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_store_transactions,shared_store_throughput,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,branch_efficiency,cf_executed,cf_issued,flop_count_sp,flop_sp_efficiency,gld_throughput,gld_transactions,gst_throughput,gst_transactions,inst_issued,inst_per_warp,ipc
BlackScholes,1012,715,input00,BlackScholesGPU,0.166147,(16384 1 1) (128 1 1),2097152,0.894046,1.0,0.9681000000000001,5.175235,1572890,295.4,1047426,197.77,1573024,296.94,1048599,197.94,0,0.0,0,0.0,0.0,296.93,1572864,1.0,524288,524288,309923268,0.2612,295.46,1572864,196.98,1048576,16323017,249.000000,1.834965
BlackScholes,1202,715,input00,BlackScholesGPU,0.167023,(16384 1 1) (128 1 1),2097152,0.872364,1.0,0.9666,4.262786,1572891,296.02,1046604,198.35,1573011,298.06,1048599,198.69,0,0.0,0,0.0,0.0,297.99,1572864,1.0,524288,524288,309923268,0.2223,296.1,1572864,197.4,1048576,16323041,249.000000,1.561900
BlackScholes,1328,715,input00,BlackScholesGPU,0.165564,(16384 1 1) (128 1 1),2097152,0.875047,1.0,0.9666,3.687323,1572896,297.88,1045950,199.31,1573019,299.65,1048599,199.75,0,0.0,0,0.0,0.0,299.59,1572864,1.0,524288,524288,309923268,0.2034,297.72,1572864,198.48,1048576,16323115,249.000000,1.432025
BlackScholes,607,715,input00,BlackScholesGPU,0.25657,(16384 1 1) (128 1 1),2097152,0.931480,1.0,0.9740000000000001,5.707434,1572895,191.87,1049268,128.71,1573028,192.2,1048598,128.12,0,0.0,0,0.0,0.0,191.52,1572864,1.0,524288,524288,309923268,0.2843,192.01,1572864,128.0,1048576,16322864,249.000000,1.967626
BlackScholes,810,715,input00,BlackScholesGPU,0.19371,(16384 1 1) (128 1 1),2097152,0.919539,1.0,0.9731000000000001,5.628110,1572897,252.65,1048096,168.53,1573011,252.04,1048599,168.01,0,0.0,0,0.0,0.0,252.44,1572864,1.0,524288,524288,309923268,0.27899999999999997,252.36,1572864,168.24,1048576,16323191,249.000000,1.948395
SobolQRNG,1012,715,input00,sobolGPU_kernel,0.93591,(1 1000 1) (64 1 1),64000,0.531390,1.0,0.9395,1.924212,1324,0.042915,12483041,395.09,4173,0.13447,12500025,395.89,3137000,401.29,1000,0.12875,0.5,0.12875,4000,1.0,3148000,3148000,100000000,0.0146,0.26131,8000,400.51,12500000,65793751,3.2896e+04,1.309033
SobolQRNG,1202,715,input00,sobolGPU_kernel,0.901752,(1 1000 1) (64 1 1),64000,0.541452,1.0,0.9395,1.632404,1101,0.03624,12483849,416.62,4166,0.14114,12500025,417.15,3137000,418.03,1000,0.13541999999999998,0.5,0.13541999999999998,4000,1.0,3148000,3148000,100000000,0.0129,0.27180000000000004,8000,416.53,12500000,65793819,3.2896e+04,1.152871
SobolQRNG,1328,715,input00,sobolGPU_kernel,0.884622,(1 1000 1) (64 1 1),64000,0.545065,1.0,0.9399,1.481883,829,0.027657,12486992,428.26,4172,0.14591,12500025,428.61,3137000,424.54,1000,0.13924,0.5,0.13924,4000,1.0,3148000,3148000,100000000,0.012,0.27752,8000,424.8,12500000,65793838,3.2896e+04,1.068881
SobolQRNG,607,715,input00,sobolGPU_kernel,1.159749,(1 1000 1) (64 1 1),64000,0.463356,1.0,0.9854,2.715751,1424,0.037193,12482758,324.97,4172,0.11062999999999999,12500025,324.78,3137000,326.21,1000,0.10490000000000001,0.5,0.10490000000000001,4000,1.0,3148000,3148000,100000000,0.0197,0.21172,8000,324.42,12500000,65793595,3.2896e+04,1.684586
SobolQRNG,810,715,input00,sobolGPU_kernel,1.002259,(1 1000 1) (64 1 1),64000,0.497176,1.0,0.9462999999999999,2.354340,1175,0.035286000000000005,12482220,363.28,4195,0.12302,12500025,364.22,3137000,376.43,1000,0.11826,0.5,0.11826,4000,1.0,3148000,3148000,100000000,0.0171,0.24414,8000,374.2,12500000,65793783,3.2896e+04,1.523031
backprop,1012,715,input00,bpnn_layerforward_CUDA,0.07757,(1 4096 1) (16 16 1),1048576,0.926290,0.9158,0.9289000000000001,2.781875,140346,59.318,152137,64.235,155744,65.743,196659,83.017,253952,427.51,159744,269.71,0.5326,82.987,196608,1.0,323584,323584,2031616,0.0038,159.36,376832,83.146,196608,5940388,181.125000,1.535741
backprop,1202,715,input00,bpnn_layerforward_CUDA,0.066662,(1 4096 1) (16 16 1),1048576,0.926500,0.9158,0.9326000000000001,2.772928,140264,69.759,152162,75.669,155751,77.476,196654,97.822,253952,504.14,159744,317.72,0.5326,97.758,196608,1.0,323584,323584,2031616,0.0038,187.33,376832,97.739,196608,5940494,181.125000,1.533573
backprop,1328,715,input00,bpnn_layerforward_CUDA,0.06151,(1 4096 1) (16 16 1),1048576,0.926498,0.9158,0.9290999999999999,2.767370,140289,76.457,152162,82.918,155748,84.875,196658,107.17,253952,552.52,159744,348.28,0.5326,107.16,196608,1.0,323584,323584,2031616,0.0038,205.35,376832,107.14,196608,5940638,181.125000,1.532141
backprop,607,715,input00,bpnn_layerforward_CUDA,0.123952,(1 4096 1) (16 16 1),1048576,0.931132,0.9158,0.9445,2.810342,140480,36.239,152235,39.16,155752,40.08,196658,50.611,253952,260.47,159744,164.31,0.5326,50.555,196608,1.0,323584,323584,2031616,0.0039000000000000003,97.05,376832,50.634,196608,5939924,181.125000,1.541999
backprop,810,715,input00,bpnn_layerforward_CUDA,0.094657,(1 4096 1) (16 16 1),1048576,0.928148,0.9158,0.9383,2.793294,140557,47.747,152020,51.734,155749,52.964,196655,66.879,253952,345.07,159744,217.19,0.5326,66.827,196608,1.0,323584,323584,2031616,0.0039000000000000003,128.01,376832,66.79,196608,5940633,181.125000,1.538118
bfs,1012,715,input00,bfs,0.015789,(1954 1 1) (512 1 1),1000448,0.607921,0.9431,0.6377,0.949028,138438,134.12,49071,47.672,191804,186.12,65650,63.738,0,0.0,0,0.0,0.7201000000000001,243.21,250118,0.9937999999999999,95895,95895,0,0.0,319.21,329059,39.836,41065,743893,23.639090,0.994382
bfs,1202,715,input00,bfs,0.016154,(1954 1 1) (512 1 1),1000448,0.607832,0.9431,0.5882999999999999,0.878625,138280,144.42,48935,51.147,191812,200.35,65638,68.536,0,0.0,0,0.0,0.72,261.67,250118,0.9937999999999999,95895,95895,0,0.0,343.6,329059,42.881,41065,743864,23.639090,0.993350
bfs,1328,715,input00,bfs,0.013905,(1954 1 1) (512 1 1),1000448,0.607300,0.9431,0.6229,0.845680,138581,150.13,49054,52.93,191737,207.64,65669,71.078,0,0.0,0,0.0,0.72,270.23,250118,0.9937999999999999,95895,95895,0,0.0,356.34,329059,44.471,41065,743869,23.639090,0.987360
bfs,607,715,input00,bfs,0.021386,(1954 1 1) (512 1 1),1000448,0.621302,0.9431,0.6844,1.139076,138120,107.52,49102,38.21,191591,148.72,65633,50.922,0,0.0,0,0.0,0.7201000000000001,194.38,250118,0.9937999999999999,95895,95895,0,0.0,256.17,329059,31.969,41065,743618,23.639090,1.072416
bfs,810,715,input00,bfs,0.018623,(1954 1 1) (512 1 1),1000448,0.618991,0.9431,0.6317,1.020592,138523,119.71,49057,42.601,191656,166.65,65644,57.054,0,0.0,0,0.0,0.7201000000000001,216.66,250118,0.9937999999999999,95895,95895,0,0.0,285.44,329059,35.622,41065,744249,23.639090,1.011109
conjugateGradient,1012,715,input00,csrMv_kernel,0.311998,(32768 1 1) (4 32 1),4194304,0.891353,0.8764,0.9690000000000001,2.290790,1048622,219.93,178510,37.381,1212209,254.04,131099,27.472,786432,659.83,262144,219.95,0.7071999999999999,549.88,2621440,1.0,1835008,1835008,16777210,0.0159,577.15,2752510,27.482,131072,11930107,91.000000,1.496194
conjugateGradient,1202,715,input00,csrMv_kernel,0.292597,(32768 1 1) (4 32 1),4194304,0.883176,0.8764,0.9631000000000001,2.159084,1048618,248.32,178533,42.228,1211998,286.7,131099,31.01,786432,745.14,262144,248.06,0.7073,620.14,2621440,1.0,1835008,1835008,16777210,0.0151,651.3,2752510,31.013,131072,11930135,91.000000,1.429659
conjugateGradient,1328,715,input00,csrMv_kernel,0.279582,(32768 1 1) (4 32 1),4194304,0.890149,0.8764,0.9695,2.064872,1048626,263.74,178548,44.892,1211979,304.79,131099,32.97,786432,792.49,262144,263.52,0.7073,658.79,2621440,1.0,1835008,1835008,16777210,0.0146,692.52,2752510,32.976,131072,11930096,91.000000,1.384192
conjugateGradient,607,715,input00,csrMv_kernel,0.427788,(32768 1 1) (4 32 1),4194304,0.897541,0.8764,0.9765999999999999,2.420346,1048624,136.94,178541,23.347,1212389,158.64,131099,17.154,786432,411.38,262144,137.33,0.7071999999999999,343.34,2621440,1.0,1835008,1835008,16777210,0.016399999999999998,359.06,2752510,17.097,131072,11930101,91.000000,1.542171
conjugateGradient,810,715,input00,csrMv_kernel,0.354871,(32768 1 1) (4 32 1),4194304,0.889649,0.8764,0.971,2.400079,1048626,181.36,178438,30.855,1212294,209.68,131100,22.675,786432,545.0,262144,181.87,0.7071999999999999,454.68,2621440,1.0,1835008,1835008,16777210,0.016399999999999998,475.82,2752510,22.657,131072,11930098,91.000000,1.539832
convolutionSeparable,1012,715,input00,convolutionRowsKernel,0.34062,(24 768 1) (16 4 1),1179648,0.738175,1.0,0.9743999999999999,1.602752,1180428,186.59,1187592,187.73,1461969,230.8,1179670,186.23,9510912,6045.1,737280,466.01,0.5001,231.06,1462272,1.0,110592,110592,320864256,0.22769999999999999,461.58,2924544,186.18,1179648,12054049,326.916667,1.142099
convolutionSeparable,1202,715,input00,convolutionRowsKernel,0.31323,(24 768 1) (16 4 1),1179648,0.736769,1.0,0.9729000000000001,1.542751,1183677,219.35,1187707,220.01,1461680,270.88,1179670,218.62,9510912,7104.9,737280,546.33,0.5002,270.89,1462272,1.0,110592,110592,320864256,0.2255,541.98,2924544,218.61,1179648,12054069,326.916667,1.135568
convolutionSeparable,1328,715,input00,convolutionRowsKernel,0.304036,(24 768 1) (16 4 1),1179648,0.729536,1.0,0.9711,1.384089,1202328,237.98,1187688,235.15,1460954,289.51,1179670,233.76,9510912,7594.4,737280,584.0,0.5003,289.57,1462272,1.0,110592,110592,320864256,0.21850000000000003,579.17,2924544,233.61,1179648,12054080,326.916667,1.108601
convolutionSeparable,607,715,input00,convolutionRowsKernel,0.516643,(24 768 1) (16 4 1),1179648,0.740772,1.0,0.9804,1.632042,1179739,113.87,1187391,113.77,1462094,140.96,1179670,113.73,9510912,3670.0,737280,284.74,0.5001,141.18,1462272,1.0,110592,110592,320864256,0.2329,280.93,2924544,113.32,1179648,12054234,326.916667,1.149655
convolutionSeparable,810,715,input00,convolutionRowsKernel,0.403373,(24 768 1) (16 4 1),1179648,0.739496,1.0,0.977,1.623253,1179877,149.94,1187516,151.49,1462038,186.06,1179670,150.12,9510912,4855.9,737280,375.26,0.5001,186.07,1462272,1.0,110592,110592,320864256,0.2305,372.11,2924544,150.1,1179648,12054113,326.916667,1.144801
convolutionTexture,1012,715,input00,convolutionRowsKernel,0.419527,(192 128 1) (16 12 1),4718592,0.881875,1.0,0.988,0.728287,589867,42.911,593771,43.211,1148072,83.305,589852,42.796,0,0.0,0,0.0,0.9509000000000001,1461.5,20054016,1.0,294912,294912,250085376,0.0827,0.0,0,42.761,589824,14012908,95.000000,0.603550
convolutionTexture,1202,715,input00,convolutionRowsKernel,0.366842,(192 128 1) (16 12 1),4718592,0.882159,1.0,0.9849,0.709952,589863,49.691,593772,49.876,1146207,96.063,589852,49.456,0,0.0,0,0.0,0.9509000000000001,1687.3,20054016,1.0,294912,294912,250085376,0.0806,0.0,0,49.436,589824,14012927,95.000000,0.589050
convolutionTexture,1328,715,input00,convolutionRowsKernel,0.343541,(192 128 1) (16 12 1),4718592,0.882620,1.0,0.986,0.686937,589856,52.602,593778,53.071,1145286,102.38,589853,52.731,0,0.0,0,0.0,0.9509000000000001,1795.5,20054016,1.0,294912,294912,250085376,0.0785,0.0,0,52.887,589824,14013032,95.000000,0.571758
convolutionTexture,607,715,input00,convolutionRowsKernel,0.640527,(192 128 1) (16 12 1),4718592,0.884989,1.0,0.9895999999999999,0.776192,589870,27.953,593781,28.04,1167409,55.321,589853,27.955,0,0.0,0,0.0,0.9503,947.03,20054016,1.0,294912,294912,250085376,0.0895,0.0,0,27.882,589824,14012286,95.000000,0.649914
convolutionTexture,810,715,input00,convolutionRowsKernel,0.500135,(192 128 1) (16 12 1),4718592,0.881664,1.0,0.987,0.779079,589863,36.403,593798,36.431,1149759,70.664,589852,36.246,0,0.0,0,0.0,0.9508,1230.6,20054016,1.0,294912,294912,250085376,0.0877,0.0,0,36.26,589824,14013054,95.000000,0.636020
fastWalshTransform,1012,715,input00,fwtBatch1Kernel,3.2842,(4096 1 1) (512 1 1),2097152,0.956411,1.0,0.9734999999999999,2.475304,1048597,127.81,1048534,128.55,1048681,128.62,1048598,128.61,3407872,1668.2,3407872,1660.8,0.5,127.75,1048576,1.0,1638400,1638400,92274688,0.0513,256.23,2097152,128.11,1048576,20131931,307.000000,1.474910
fastWalshTransform,1202,715,input00,fwtBatch1Kernel,3.178317,(4096 1 1) (512 1 1),2097152,0.957432,1.0,0.9684,2.434136,1048598,149.65,1048572,149.59,1048683,149.59,1048598,149.58,3407872,1947.8,3407872,1944.1,0.5,149.55,1048576,1.0,1638400,1638400,92274688,0.050300000000000004,299.16,2097152,149.58,1048576,20131919,307.000000,1.454274
fastWalshTransform,1328,715,input00,fwtBatch1Kernel,3.135834,(4096 1 1) (512 1 1),2097152,0.958616,1.0,0.972,2.385013,1048595,160.94,1048616,160.94,1048677,160.99,1048598,160.98,3407872,2094.4,3407872,2090.8,0.5,160.83,1048576,1.0,1638400,1638400,92274688,0.0495,321.87,2097152,160.93,1048576,20131921,307.000000,1.425746
