Fc,delta,t0,p0,cg,benchmark_argNo
1.2447588,1.1253897,1.0220902,0.4841308,0.5711908,BlackScholes_input000
1.3141779,1.1659116,1.0315707,0.5416967,0.50038487,SobolQRNG_input000
1.1025417,1.0430555,1.0004293,0.4269456,0.6249215,binomialOptions_input000
1.2485751,1.125722,1.0202237,0.48940462,0.5615,cfd_input000
1.2837138,1.1345023,1.0282749,0.51186144,0.5403836,convolutionSeparable_input000
1.23054,1.1144987,1.0195998,0.4768189,0.5784484,convolutionTexture_input000
1.0801178,1.0291507,1.0121433,0.44248447,0.5996632,eigenvalues_input000
1.4266915,1.2259394,1.0350592,0.5731363,0.47627935,fastWalshTransform_input000
1.1849492,1.0980769,1.0164274,0.46953958,0.57875705,gaussian_input000
1.1620778,1.0790783,1.0195719,0.476614,0.5682028,histogram_input000
1.0945796,1.041887,1.0057654,0.41931403,0.6369427,hotspot_input000
1.0882536,1.0282243,1.0117421,0.42856258,0.6268357,matrixMul_input000
1.1961129,1.0985792,1.0220349,0.4816956,0.5691726,mergeSort_input000
1.1770505,1.083678,1.0196718,0.46633893,0.58800846,nnForward_input000
1.1970667,1.1053836,1.020561,0.48635432,0.55714434,quasirandomGenerator_input000
1.1466684,1.070045,1.0167724,0.45143646,0.60347295,reduction_input000
1.3607206,1.1866608,1.0325298,0.5563737,0.4867323,scalarProd_input000
1.0624627,1.0170965,1.0141692,0.43767297,0.61102456,sortingNetworks_input000
1.2951084,1.1566556,1.027832,0.5197664,0.5303039,transpose_input000
1.4031225,1.2122213,1.0338049,0.5591007,0.49128774,vectorAdd_input000
