,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,mem_del,mem_lat,shm_del,shm_lat,compute_del,compute_lat,sm_del,sm_lat,insts,abe
7,BlackScholes,1609,5000,571.690604,0.3218,5562.600020938575,4061.628549464062,4990.909416938574,14170.929491025901,28.0,0.0,1813.7492799999998,524.0,1841.7492799999998,524.0,131.0,0.36954917299676954
3,BlackScholes,1709,5000,576.146204,0.3418,5825.865190765402,4318.959950338906,5249.718986765402,14264.729115970391,28.0,0.0,1813.0974240000003,524.0,1841.0974240000003,524.0,131.0,0.3489046570826038
6,BlackScholes,1609,4500,579.6562266666667,0.35755555555555557,6075.596936691097,4527.958510556249,5495.94071002443,14338.979246440224,28.0,0.0,1822.8417279999999,524.0,1850.8417279999999,524.0,131.0,0.34179607046459526
11,BlackScholes,1809,5000,580.601804,0.3618,6097.818924871657,4574.577994103497,5517.217120871657,14358.628549500083,28.0,0.0,1815.3443359999999,524.0,1843.3443359999999,524.0,131.0,0.3329795519349708
2,BlackScholes,1709,4500,584.6068933333333,0.37977777777777777,6372.713236239112,4804.619634865723,5788.106342905779,14443.100891736218,28.0,0.0,1822.9612,524.0,1850.9612,524.0,131.0,0.32637205867332164
15,BlackScholes,1909,5000,585.057404,0.3818,6362.708083619267,4823.886014242559,5777.650679619267,14452.415727989259,28.0,0.0,1815.189232,524.0,1843.189232,524.0,131.0,0.31900050391599727
10,BlackScholes,1809,4500,589.55756,0.402,6671.086573743167,5092.615395741973,6081.529013743167,14547.4069086969,28.0,0.0,1823.418128,524.0,1851.418128,524.0,131.0,0.30995295252827887
5,BlackScholes,1609,4000,589.613255,0.40225,6738.921286541185,5158.916867943671,6149.308031541184,14548.750578525558,28.0,0.0,1837.8595679999999,524.0,1865.8595679999999,524.0,131.0,0.3062666949365476
14,BlackScholes,1909,4500,594.5082266666667,0.4242222222222222,6967.095511244419,5374.011811878282,6372.587284577752,14651.769799140753,28.0,0.0,1823.1477439999999,524.0,1851.1477439999999,524.0,131.0,0.29644216558008174
1,BlackScholes,1709,4000,595.182755,0.42725,7078.942973731554,5484.202034986171,6483.760218731554,14666.121176458124,28.0,0.0,1838.528192,524.0,1866.528192,524.0,131.0,0.2907881453986959
9,BlackScholes,1809,4000,600.752255,0.45225,7413.297213843401,5802.703921885254,6812.5449588434,14783.315962469842,28.0,0.0,1837.6332,524.0,1865.6332,524.0,131.0,0.27755910238392395
4,BlackScholes,1609,3500,602.4151485714285,0.45971428571428574,7599.365550268659,6042.356865722599,6996.9504016972305,14818.955066833367,28.0,0.0,1853.8310880000001,524.0,1881.8310880000001,524.0,131.0,0.2576823446789019
13,BlackScholes,1909,4000,606.321755,0.47725,7755.478471921165,6125.772027437342,7149.156716921165,14900.69866401452,28.0,0.0,1838.800672,524.0,1866.800672,524.0,131.0,0.26604098833328516
0,BlackScholes,1709,3500,608.7802914285714,0.48828571428571427,7994.626789481492,6424.212016613672,7385.846498052921,14952.948363527714,28.0,0.0,1854.9985600000002,524.0,1882.9985600000002,524.0,131.0,0.24445251321198086
8,BlackScholes,1809,3500,615.1454342857143,0.5168571428571429,8384.765622836918,6829.038162047636,7769.620188551204,15086.857155691312,28.0,0.0,1854.8455520000002,524.0,1882.8455520000002,524.0,131.0,0.2278106263097537
12,BlackScholes,1909,3500,621.5105771428572,0.5454285714285714,8779.277028649243,7213.117722393516,8157.766451506386,15221.09857126117,28.0,0.0,1855.646224,524.0,1883.646224,524.0,131.0,0.2171265417440091
23,SobolQRNG,1609,5000,571.690604,0.3218,1450067.946016884,1670745.6684610047,1449496.255412884,3597871.1249304386,95839.123072,43932.0,382805.77040000004,100300.0,478644.893472,144232.0,25075.0,0.13208337247846735
19,SobolQRNG,1709,5000,576.146204,0.3418,1541023.376376325,1776629.4368331265,1540447.230172325,3627180.5683459137,95894.351872,43932.0,383026.4304,100300.0,478920.782272,144232.0,25075.0,0.13261406997554506
22,SobolQRNG,1609,4500,579.6562266666667,0.35755555555555557,1613534.411815881,1796566.9055943168,1612954.7555892144,3650378.6421738355,95748.949504,43932.0,382445.49280000007,100300.0,478194.4423040001,144232.0,25075.0,0.10187903005921582
27,SobolQRNG,1809,5000,580.601804,0.3618,1631035.326682213,1881524.035141632,1630454.724878213,3656527.70970714,95886.921088,43932.0,382996.7416,100300.0,478883.662688,144232.0,25075.0,0.13313075133827
18,SobolQRNG,1709,4500,584.6068933333333,0.37977777777777777,1718686.1036445578,1930100.4928154883,1718101.4967512244,3682958.346843762,96023.888512,43932.0,383543.9784,100300.0,479567.866912,144232.0,25075.0,0.10953543090522441
